,Roraima - PIB - Estadual,Roraima - PIB - Construção Civil,Roraima - PIB - Per Capita,Roraima - PIB - Preços de Mercado
2003-1,6128460.111199017,332580.20282068977,12.101540149290196,5339135.99993909
2003-2,6136622.305355945,332914.7555428277,12.103484594579648,5342057.139001624
2003-3,6144784.499512873,333249.30826496566,12.105429039869101,5344978.278064159
2003-4,6152946.693669801,333583.8609871036,12.107373485158554,5347899.417126693
2003-5,6161108.887826729,333918.41370924155,12.109317930448006,5350820.556189227
2003-6,6169271.081983657,334252.9664313795,12.111262375737457,5353741.695251762
2003-7,6177433.276140584,334587.51915351744,12.11320682102691,5356662.834314296
2003-8,6185595.470297512,334922.0718756554,12.115151266316364,5359583.97337683
2003-9,6193757.66445444,335256.6245977933,12.117095711605815,5362505.112439365
2003-10,6201919.858611368,335591.1773199313,12.119040156895267,5365426.251501899
2003-11,6210082.052768296,335925.7300420692,12.12098460218472,5368347.390564433
2003-12,6218244.246925224,336260.28276420716,12.122929047474173,5371268.529626968
2004-1,6226406.441082152,336594.8354863451,12.124873492763625,5374189.668689502
2004-2,6234321.127199355,336876.79201822815,12.128237707540519,5377105.477323671
2004-3,6242235.813316558,337158.7485501112,12.131601922317412,5380021.285957839
2004-4,6250150.49943376,337440.7050819943,12.134966137094306,5382937.094592009
2004-5,6258065.185550963,337722.66161387734,12.1383303518712,5385852.903226177
2004-6,6265979.871668166,338004.6181457604,12.141694566648093,5388768.711860346
2004-7,6273894.5577853685,338286.5746776434,12.145058781424988,5391684.520494514
2004-8,6281809.2439025715,338568.53120952647,12.148422996201882,5394600.329128683
2004-9,6289723.9300197745,338850.4877414095,12.151787210978775,5397516.137762851
2004-10,6297638.616136977,339132.44427329255,12.155151425755669,5400431.94639702
2004-11,6305553.3022541795,339414.40080517565,12.158515640532563,5403347.755031189
2004-12,6313467.9883713825,339696.3573370587,12.161879855309456,5406263.563665357
2005-1,6321382.674488585,339978.31386894174,12.16524407008635,5409179.372299526
2005-2,6328778.085009439,340238.4647975956,12.168149442227548,5411738.909069627
2005-3,6336173.495530292,340498.6157262494,12.171054814368746,5414298.445839727
2005-4,6343568.906051146,340758.76665490324,12.173960186509944,5416857.982609828
2005-5,6350964.316571999,341018.9175835571,12.176865558651143,5419417.519379929
2005-6,6358359.727092853,341279.0685122109,12.17977093079234,5421977.056150029
2005-7,6365755.137613706,341539.21944086475,12.18267630293354,5424536.59292013
2005-8,6373150.548134561,341799.37036951864,12.185581675074738,5427096.129690231
2005-9,6380545.958655414,342059.5212981725,12.188487047215936,5429655.6664603315
2005-10,6387941.369176268,342319.6722268263,12.191392419357134,5432215.203230432
2005-11,6395336.779697121,342579.82315548015,12.194297791498332,5434774.740000533
2005-12,6402732.190217975,342839.974084134,12.19720316363953,5437334.276770634
2006-1,6410127.600738828,343100.1250127878,12.200108535780728,5439893.813540734
2006-2,6416485.061766729,342847.46319276356,12.201145752903932,5441450.443485014
2006-3,6422842.52279463,342594.8013727393,12.202182970027135,5443007.073429294
2006-4,6429199.983822532,342342.13955271506,12.203220187150338,5444563.703373574
2006-5,6435557.444850433,342089.4777326908,12.204257404273541,5446120.333317853
2006-6,6441914.905878333,341836.81591266656,12.205294621396744,5447676.963262132
2006-7,6448272.366906235,341584.1540926423,12.206331838519947,5449233.593206412
2006-8,6454629.827934137,341331.49227261805,12.207369055643152,5450790.223150692
2006-9,6460987.288962037,341078.8304525938,12.208406272766355,5452346.853094972
2006-10,6467344.749989938,340826.16863256955,12.209443489889559,5453903.483039251
2006-11,6473702.21101784,340573.5068125453,12.210480707012762,5455460.11298353
2006-12,6480059.672045741,340320.84499252104,12.211517924135965,5457016.74292781
2007-1,6486417.133073642,340068.1831724968,12.212555141259168,5458573.37287209
2007-2,6492201.750346102,340299.92727514537,12.214460420797236,5459861.700443506
2007-3,6497986.367618561,340531.67137779394,12.216365700335306,5461150.0280149225
2007-4,6503770.984891021,340763.41548044246,12.218270979873374,5462438.355586338
2007-5,6509555.602163481,340995.15958309104,12.220176259411442,5463726.683157754
2007-6,6515340.2194359405,341226.9036857396,12.22208153894951,5465015.01072917
2007-7,6521124.8367084,341458.6477883882,12.223986818487578,5466303.338300586
2007-8,6526909.453980859,341690.39189103676,12.225892098025648,5467591.665872002
2007-9,6532694.071253319,341922.13599368534,12.227797377563716,5468879.993443418
2007-10,6538478.688525779,342153.8800963339,12.229702657101784,5470168.321014835
2007-11,6544263.305798238,342385.62419898243,12.231607936639854,5471456.648586251
2007-12,6550047.923070698,342617.368301631,12.233513216177922,5472744.976157666
2008-1,6555832.540343158,342849.1124042796,12.23541849571599,5474033.303729082
2008-2,6560484.5518921325,343056.3101445557,12.234838815704402,5474722.663233675
