,Santa Catarina - PIB - Estadual,Santa Catarina - PIB - Construção Civil,Santa Catarina - PIB - Per Capita,Santa Catarina - PIB - Preços de Mercado
2003-1,132006541.53463073,6638363.257953425,19.725168296275115,122186034.17445843
2003-2,132174301.81613463,6642079.962128286,19.73227718328098,122251295.40319423
2003-3,132342062.09763853,6645796.666303148,19.739386070286848,122316556.63193002
2003-4,132509822.37914243,6649513.37047801,19.746494957292715,122381817.86066583
2003-5,132677582.66064632,6653230.074652871,19.75360384429858,122447079.08940162
2003-6,132845342.94215022,6656946.778827732,19.760712731304448,122512340.31813742
2003-7,133013103.22365412,6660663.483002594,19.767821618310315,122577601.54687321
2003-8,133180863.50515802,6664380.187177455,19.774930505316178,122642862.77560902
2003-9,133348623.78666192,6668096.891352316,19.782039392322044,122708124.00434482
2003-10,133516384.06816581,6671813.595527178,19.78914827932791,122773385.23308061
2003-11,133684144.34966971,6675530.29970204,19.796257166333778,122838646.46181642
2003-12,133851904.63117361,6679247.003876901,19.803366053339644,122903907.6905522
2004-1,134019664.91267751,6682963.708051763,19.81047494034551,122969168.91928801
2004-2,134172786.00601101,6686265.293304482,19.816242129250437,123021285.39710446
2004-3,134325907.09934452,6689566.8785572015,19.82200931815536,123073401.8749209
2004-4,134479028.192678,6692868.4638099205,19.827776507060285,123125518.35273734
2004-5,134632149.28601152,6696170.0490626395,19.833543695965208,123177634.83055378
2004-6,134785270.37934503,6699471.6343153585,19.839310884870134,123229751.30837023
2004-7,134938391.4726785,6702773.2195680775,19.845078073775056,123281867.78618668
2004-8,135091512.56601202,6706074.804820797,19.850845262679982,123333984.26400313
2004-9,135244633.6593455,6709376.390073516,19.85661245158491,123386100.74181958
2004-10,135397754.75267902,6712677.975326235,19.86237964048983,123438217.21963602
2004-11,135550875.84601253,6715979.560578955,19.868146829394757,123490333.69745246
2004-12,135703996.93934602,6719281.145831674,19.87391401829968,123542450.1752689
2005-1,135857118.03267953,6722582.731084393,19.879681207204605,123594566.65308535
2005-2,136001270.38079613,6726679.283446195,19.885571607803737,123644406.12610042
2005-3,136145422.72891277,6730775.835807995,19.891462008402872,123694245.59911549
2005-4,136289575.0770294,6734872.388169796,19.897352409002004,123744085.07213056
2005-5,136433727.425146,6738968.940531597,19.90324280960114,123793924.54514563
2005-6,136577879.77326262,6743065.492893398,19.90913321020027,123843764.0181607
2005-7,136722032.12137926,6747162.045255199,19.915023610799402,123893603.49117577
2005-8,136866184.4694959,6751258.597616999,19.920914011398537,123943442.96419084
2005-9,137010336.8176125,6755355.149978801,19.92680441199767,123993282.43720591
2005-10,137154489.1657291,6759451.702340601,19.932694812596804,124043121.91022098
2005-11,137298641.51384574,6763548.254702402,19.938585213195935,124092961.38323605
2005-12,137442793.86196238,6767644.807064203,19.94447561379507,124142800.85625112
2006-1,137586946.21007898,6771741.359426004,19.950366014394202,124192640.32926619
2006-2,137716201.52546886,6775866.730391135,19.95512117501349,124232646.20255217
2006-3,137845456.8408587,6779992.101356268,19.959876335632774,124272652.07583813
2006-4,137974712.15624857,6784117.4723214,19.96463149625206,124312657.94912411
2006-5,138103967.47163844,6788242.843286532,19.969386656871343,124352663.82241009
2006-6,138233222.78702828,6792368.214251664,19.97414181749063,124392669.69569606
2006-7,138362478.10241815,6796493.585216796,19.978896978109915,124432675.56898203
2006-8,138491733.41780803,6800618.9561819285,19.9836521387292,124472681.44226801
2006-9,138620988.73319787,6804744.32714706,19.988407299348488,124512687.31555398
2006-10,138750244.04858774,6808869.698112192,19.99316245996777,124552693.18883996
2006-11,138879499.3639776,6812995.069077324,19.997917620587057,124592699.06212594
2006-12,139008754.67936745,6817120.440042457,20.002672781206343,124632704.9354119
2007-1,139138009.99475732,6821245.811007588,20.00742794182563,124672710.80869788
2007-2,139246864.59663087,6820432.075686,20.01039204839871,124697699.60119602
2007-3,139355719.19850442,6819618.340364412,20.013356154971795,124722688.39369418
2007-4,139464573.80037796,6818804.6050428245,20.016320261544877,124747677.18619233
2007-5,139573428.40225154,6817990.869721238,20.019284368117958,124772665.97869048
2007-6,139682283.0041251,6817177.13439965,20.02224847469104,124797654.77118862
2007-7,139791137.60599864,6816363.399078062,20.02521258126412,124822643.56368677
2007-8,139899992.20787218,6815549.663756474,20.028176687837206,124847632.35618493
2007-9,140008846.80974573,6814735.928434886,20.031140794410287,124872621.14868307
2007-10,140117701.4116193,6813922.193113299,20.03410490098337,124897609.94118121
2007-11,140226556.01349285,6813108.457791711,20.037069007556454,124922598.73367937
2007-12,140335410.6153664,6812294.722470123,20.040033114129535,124947587.52617753
2008-1,140444265.21723995,6811480.987148535,20.042997220702617,124972576.31867567
2008-2,140524068.03223917,6814089.959578094,20.04308489080723,124981134.5634266
2008-3,140603870.84723842,6816698.932007652,20.043172560911838,124989692.80817753
2008-4,140683673.66223764,6819307.90443721,20.04326023101645,124998251.05292846
2008-5,140763476.47723687,6821916.876866768,20.043347901121063,125006809.2976794
2008-6,140843279.29223612,6824525.849296327,20.04343557122567,125015367.54243033
2008-7,140923082.10723534,6827134.821725884,20.043523241330284,125023925.78718126
2008-8,141002884.92223457,6829743.794155443,20.043610911434897,125032484.03193218
2008-9,141082687.73723382,6832352.766585002,20.043698581539505,125041042.2766831
2008-10,141162490.55223304,6834961.739014559,20.043786251644118,125049600.52143404
2008-11,141242293.36723226,6837570.711444118,20.04387392174873,125058158.76618497
2008-12,141322096.18223152,6840179.683873676,20.04396159185334,125066717.0109359
2009-1,141401898.99723074,6842788.656303234,20.04404926195795,125075275.25568683
2009-2,141708539.78069472,6847351.954693767,20.048115940357402,125151806.70455939
2009-3,142015180.56415868,6851915.2530843,20.052182618756852,125228338.15343194
