,São Paulo - PIB - Estadual,São Paulo - PIB - Construção Civil,São Paulo - PIB - Per Capita,São Paulo - PIB - Preços de Mercado
2003-1,1034902942.4423203,47309401.212131776,23.895558977974,981912876.2041788
2003-2,1036091709.0028114,47329937.45574318,23.901471823030963,982266609.3742543
2003-3,1037280475.5633025,47350473.69935459,23.90738466808792,982620342.5443299
2003-4,1038469242.1237936,47371009.94296599,23.913297513144883,982974075.7144054
2003-5,1039658008.6842847,47391546.186577395,23.919210358201845,983327808.884481
2003-6,1040846775.2447758,47412082.4301888,23.925123203258803,983681542.0545565
2003-7,1042035541.8052669,47432618.6738002,23.931036048315764,984035275.224632
2003-8,1043224308.3657578,47453154.91741161,23.936948893372726,984389008.3947076
2003-9,1044413074.9262489,47473691.16102301,23.942861738429684,984742741.5647831
2003-10,1045601841.48674,47494227.404634416,23.948774583486646,985096474.7348586
2003-11,1046790608.0472311,47514763.64824583,23.954687428543608,985450207.9049342
2003-12,1047979374.6077222,47535299.89185723,23.960600273600566,985803941.0750097
2004-1,1049168141.1682132,47555836.13546863,23.966513118657527,986157674.2450852
2004-2,1050285998.2301269,47575817.2713937,23.973169783062918,986492263.972734
2004-3,1051403855.2920405,47595798.40731876,23.979826447468305,986826853.7003827
2004-4,1052521712.3539541,47615779.54324383,23.986483111873696,987161443.4280314
2004-5,1053639569.4158676,47635760.679168895,23.993139776279087,987496033.1556802
2004-6,1054757426.4777812,47655741.815093964,23.999796440684474,987830622.8833289
2004-7,1055875283.5396948,47675722.951019034,24.006453105089864,988165212.6109776
2004-8,1056993140.6016084,47695704.086944096,24.013109769495255,988499802.3386263
2004-9,1058110997.663522,47715685.222869165,24.019766433900642,988834392.066275
2004-10,1059228854.7254355,47735666.35879423,24.026423098306033,989168981.7939237
2004-11,1060346711.7873491,47755647.4947193,24.033079762711424,989503571.5215725
2004-12,1061464568.8492627,47775628.63064436,24.03973642711681,989838161.2492212
2005-1,1062582425.9111763,47795609.76656943,24.0463930915222,990172750.97687
2005-2,1063554568.9977064,47812547.60548282,24.050823578057557,990390680.9300575
2005-3,1064526712.0842366,47829485.4443962,24.055254064592912,990608610.8832451
2005-4,1065498855.1707667,47846423.28330959,24.059684551128267,990826540.8364327
2005-5,1066470998.2572969,47863361.12222297,24.064115037663623,991044470.7896203
