,Sergipe - PIB - Estadual,Sergipe - PIB - Construção Civil,Sergipe - PIB - Per Capita,Sergipe - PIB - Preços de Mercado
2003-1,21597319.77433002,1260978.4155712097,9.960678449257069,20296420.93570137
2003-2,21621529.070432056,1262133.5738742463,9.961956303967721,20302377.830214508
2003-3,21645738.36653409,1263288.7321772827,9.963234158678372,20308334.724727646
2003-4,21669947.662636127,1264443.890480319,9.964512013389022,20314291.61924078
2003-5,21694156.958738163,1265599.0487833556,9.965789868099675,20320248.513753917
2003-6,21718366.2548402,1266754.2070863922,9.967067722810327,20326205.408267055
2003-7,21742575.550942235,1267909.3653894286,9.968345577520978,20332162.30278019
2003-8,21766784.847044267,1269064.523692465,9.969623432231629,20338119.197293326
2003-9,21790994.143146303,1270219.6819955015,9.970901286942281,20344076.091806464
2003-10,21815203.43924834,1271374.840298538,9.972179141652934,20350032.9863196
2003-11,21839412.735350374,1272529.9986015745,9.973456996363584,20355989.88083274
2003-12,21863622.03145241,1273685.1569046108,9.974734851074235,20361946.775345873
2004-1,21887831.327554446,1274840.3152076474,9.976012705784887,20367903.66985901
2004-2,21909345.175166283,1275216.823321673,9.976733566100643,20371641.114819024
2004-3,21930859.02277812,1275593.3314356988,9.9774544264164,20375378.559779037
2004-4,21952372.870389957,1275969.8395497245,9.978175286732156,20379116.00473905
2004-5,21973886.718001794,1276346.3476637502,9.978896147047912,20382853.449699063
2004-6,21995400.56561363,1276722.8557777759,9.979617007363668,20386590.894659076
2004-7,22016914.413225465,1277099.3638918013,9.980337867679424,20390328.33961909
2004-8,22038428.2608373,1277475.872005827,9.981058727995181,20394065.784579102
2004-9,22059942.10844914,1277852.3801198527,9.981779588310937,20397803.229539115
2004-10,22081455.956060976,1278228.8882338784,9.982500448626693,20401540.674499128
2004-11,22102969.803672813,1278605.396347904,9.98322130894245,20405278.11945914
2004-12,22124483.65128465,1278981.9044619298,9.983942169258206,20409015.564419154
2005-1,22145997.498896487,1279358.4125759555,9.984663029573962,20412753.009379167
2005-2,22166186.19092583,1280380.1573399303,9.985815969194519,20416699.435521595
2005-3,22186374.882955175,1281401.902103905,9.986968908815076,20420645.86166402
2005-4,22206563.574984517,1282423.64686788,9.988121848435632,20424592.287806448
2005-5,22226752.26701386,1283445.3916318547,9.989274788056191,20428538.713948876
2005-6,22246940.959043205,1284467.1363958295,9.990427727676748,20432485.140091304
2005-7,22267129.651072547,1285488.8811598043,9.991580667297304,20436431.56623373
2005-8,22287318.34310189,1286510.6259237789,9.992733606917861,20440377.992376156
2005-9,22307507.035131235,1287532.3706877537,9.993886546538418,20444324.418518584
2005-10,22327695.727160577,1288554.1154517285,9.995039486158976,20448270.844661012
2005-11,22347884.41918992,1289575.8602157033,9.996192425779533,20452217.270803437
2005-12,22368073.111219265,1290597.604979678,9.99734536540009,20456163.696945865
2006-1,22388261.803248607,1291619.3497436529,9.998498305020647,20460110.123088293
2006-2,22405071.81886554,1292473.1139759957,9.998684842181657,20461482.753103957
2006-3,22421881.834482476,1293326.8782083383,9.998871379342667,20462855.38311962
2006-4,22438691.850099407,1294180.642440681,9.999057916503677,20464228.013135288
2006-5,22455501.865716342,1295034.4066730237,9.999244453664687,20465600.64315095
2006-6,22472311.881333277,1295888.1709053665,9.999430990825697,20466973.273166616
2006-7,22489121.89695021,1296741.9351377091,9.999617527986707,20468345.903182283
2006-8,22505931.912567146,1297595.699370052,9.999804065147718,20469718.533197947
2006-9,22522741.92818408,1298449.4636023948,9.999990602308728,20471091.16321361
2006-10,22539551.943801016,1299303.2278347374,10.000177139469738,20472463.793229274
2006-11,22556361.959417947,1300156.9920670802,10.000363676630748,20473836.42324494
2006-12,22573171.97503488,1301010.7562994228,10.000550213791758,20475209.053260606
2007-1,22589981.990651816,1301864.5205317657,10.000736750952768,20476581.68327627
2007-2,22603518.961476777,1302083.185267125,10.000315550009244,20475919.24509892
2007-3,22617055.932301737,1302301.8500024844,9.99989434906572,20475256.806921568
2007-4,22630592.9031267,1302520.5147378435,9.999473148122195,20474594.368744217
2007-5,22644129.873951662,1302739.179473203,9.99905194717867,20473931.930566866
2007-6,22657666.844776623,1302957.8442085623,9.998630746235145,20473269.492389515
2007-7,22671203.815601587,1303176.5089439217,9.99820954529162,20472607.05421216
2007-8,22684740.786426548,1303395.173679281,9.997788344348097,20471944.61603481
2007-9,22698277.75725151,1303613.8384146404,9.997367143404572,20471282.17785746
2007-10,22711814.72807647,1303832.5031499998,9.996945942461046,20470619.739680108
2007-11,22725351.69890143,1304051.167885359,9.996524741517522,20469957.301502757
2007-12,22738888.669726394,1304269.8326207183,9.996103540573998,20469294.863325406
2008-1,22752425.640551355,1304488.4973560777,9.995682339630473,20468632.425148055
2008-2,22759892.151504733,1304711.2543149341,9.992911196931857,20464152.236422587
2008-3,22767358.662458107,1304934.0112737906,9.990140054233239,20459672.04769712
2008-4,22774825.173411485,1305156.768232647,9.98736891153462,20455191.85897165
2008-5,22782291.684364863,1305379.5251915036,9.984597768836004,20450711.670246184
2008-6,22789758.19531824,1305602.28215036,9.981826626137387,20446231.481520716
2008-7,22797224.70627162,1305825.0391092165,9.979055483438769,20441751.29279525
2008-8,22804691.217224993,1306047.796068073,9.97628434074015,20437271.10406978
2008-9,22812157.72817837,1306270.5530269295,9.973513198041534,20432790.915344313
2008-10,22819624.23913175,1306493.309985786,9.970742055342917,20428310.726618845
2008-11,22827090.750085123,1306716.0669446425,9.967970912644299,20423830.537893377
2008-12,22834557.2610385,1306938.823903499,9.96519976994568,20419350.34916791
2009-1,22842023.77199188,1307161.5808623554,9.962428627247064,20414870.16044244
2009-2,22886639.149126127,1307905.9305325313,9.963221086440447,20424022.137026887
2009-3,22931254.526260376,1308650.280202707,9.964013545633831,20433174.113611333
2009-4,22975869.903394625,1309394.629872883,9.964806004827214,20442326.090195775
2009-5,23020485.280528873,1310138.979543059,9.965598464020596,20451478.06678022
2009-6,23065100.65766312,1310883.3292132346,9.96639092321398,20460630.043364666
2009-7,23109716.03479737,1311627.6788834105,9.967183382407363,20469782.01994911
2009-8,23154331.411931615,1312372.0285535865,9.967975841600746,20478933.996533554
2009-9,23198946.789065864,1313116.3782237621,9.96876830079413,20488085.973118
2009-10,23243562.166200113,1313860.727893938,9.969560759987512,20497237.949702445
2009-11,23288177.54333436,1314605.077564114,9.970353219180895,20506389.92628689
2009-12,23332792.92046861,1315349.4272342897,9.97114567837428,20515541.902871333
2010-1,23377408.29760286,1316093.7769044656,9.971938137567662,20524693.87945578
2010-2,23414147.852699496,1315466.2222997986,9.971018953939073,20527792.12752139
2010-3,23450887.40779613,1314838.6676951316,9.970099770310483,20530890.375586994
2010-4,23487626.962892767,1314211.1130904646,9.969180586681896,20533988.623652603
2010-5,23524366.517989404,1313583.5584857976,9.968261403053306,20537086.871718213
2010-6,23561106.073086042,1312956.0038811306,9.967342219424717,20540185.11978382
