Ano,Sergipe - PIB - Estadual,Sergipe - PIB - Construção Civil,Sergipe - PIB - Per Capita,Sergipe - PIB - Preços de Mercado
1985,0.004371479,1423498.48106628,8.2757373095,10757473.6896295
1986,0.01081108,1777792.21308705,8.993768054,11985239.2090136
1987,0.02696665,1466215.29027919,8.8371479864,12061673.0551053
1988,0.183640799,1236698.38104039,8.8663730422,12381739.2251392
1989,2.308751561,1407983.41607177,8.5320370369,12554150.212528
1990,66.39839063,1188676.11801292,8.492623942,12752439.1850931
1991,385.3315946,1020213.55052989,8.4435004265,12927649.3024581
1992,4056.692304,1040679.11789207,8.2226447498,12832637.638182
1993,92531.71543,1068074.38103441,8.4335197127,13407162.6627843
1994,2042038.91,1124056.92260515,8.4825655399,13729473.4197961
1995,3833370.885,881727.877266108,8.4215892959,13871073.4053724
1996,4720442.255,816484.209783086,8.561773119,14345130.9960842
1997,5422379.069,1111314.06297786,9.0157557207,15360990.5024188
1998,5597441.18,1037739.92746121,8.8628500033,15351413.3935478
1999,5942400.086,813631.29647309,8.6218728818,15271225.0638436
2000,6539803.215,834578.569991638,8.7672435729,15810864.5938477
2001,8018927.573,718033.267106866,8.6820460686,15938369.9420044
2002,9270304.10152249,1068521.29842945,9.5400049299,17611221.1608311
2003,10557880.7518019,734226.229386566,9.3779767012,17580077.037711
2004,12077516.8165571,1103152.61521195,9.6473004018,18663628.768093
2005,12939953.9335158,813442.800203442,9.4589225626,18613182.6884324
2006,14722894.6819267,902302.859795366,9.9134373596,19834190.8359452
2007,16417123.2944694,1202153.40120792,10.1928043812,20778653.4921485
2008,19347696.6458112,1202911.32411752,11.2593234102,22511598.4839614
2009,19589357.1668682,1196218.84973594,10.5162429272,21239434.9988774
2010,23686833.7950762,1801152.91409336,11.1727765703,23686833.7950762
2011,26037900.8879116,1893742.14857222,11.5025542233,24038256.3644394
2012,29358865.7248031,2209444.18915945,11.8954369791,25109685.3698143
2013,31608662.1186329,2080283.01258514,11.4529066885,25146712.0055556
2014,33664779.8037069,1844343.37070253,11.1885638167,24833845.3449434
2015,34508572.5490711,1785577.56843497,10.5512129475,23665705.9149384
2016,34751900.9618397,1727121.62020471,9.7300105837,22046053.6502868
2017,36412155.6822024,1410568.46309479,9.7410151321,22281262.0537592
2018,37281865.05838,1078297.50276982,9.6979950161,21832406.4034176
2019,39871265.1352845,863886.357678297,9.8695679252,22402432.5024214
2020,40687965.0432954,864691.646708879,9.307837909,21471564.0585712
2021,,,,
2022,,,,
