,Tocantins - PIB - Estadual,Tocantins - PIB - Construção Civil,Tocantins - PIB - Per Capita,Tocantins - PIB - Preços de Mercado
2003-1,15939077.253337387,1457379.9378053627,10.276584921630167,25726915.081856158
2003-2,15961079.285380859,1459029.1597051464,10.281589969390321,25761767.055212975
2003-3,15983081.317424329,1460678.3816049302,10.286595017150475,25796619.028569795
2003-4,16005083.3494678,1462327.6035047139,10.291600064910629,25831471.001926616
2003-5,16027085.381511271,1463976.8254044976,10.296605112670782,25866322.975283433
2003-6,16049087.413554743,1465626.0473042813,10.301610160430936,25901174.94864025
2003-7,16071089.445598215,1467275.2692040647,10.30661520819109,25936026.92199707
2003-8,16093091.477641685,1468924.4911038484,10.311620255951244,25970878.89535389
2003-9,16115093.509685157,1470573.7130036321,10.316625303711398,26005730.868710708
2003-10,16137095.541728627,1472222.9349034159,10.321630351471551,26040582.842067525
2003-11,16159097.573772099,1473872.1568031996,10.326635399231705,26075434.815424345
2003-12,16181099.605815569,1475521.3787029833,10.331640446991859,26110286.788781166
2004-1,16203101.63785904,1477170.600602767,10.336645494752013,26145138.762137983
2004-2,16224367.307638979,1478375.2748536328,10.341851986002126,26180426.81968149
2004-3,16245632.977418916,1479579.9491044986,10.34705847725224,26215714.877225
2004-4,16266898.647198852,1480784.6233553644,10.352264968502354,26251002.934768513
2004-5,16288164.31697879,1481989.2976062305,10.35747145975247,26286290.99231202
2004-6,16309429.986758728,1483193.9718570963,10.362677951002583,26321579.04985553
2004-7,16330695.656538665,1484398.6461079621,10.367884442252697,26356867.10739904
2004-8,16351961.326318603,1485603.320358828,10.37309093350281,26392155.164942548
2004-9,16373226.99609854,1486807.9946096938,10.378297424752924,26427443.222486056
2004-10,16394492.665878478,1488012.6688605598,10.38350391600304,26462731.280029565
2004-11,16415758.335658414,1489217.3431114256,10.388710407253154,26498019.337573078
2004-12,16437024.005438352,1490422.0173622915,10.393916898503267,26533307.395116586
2005-1,16458289.67521829,1491626.6916131573,10.399123389753381,26568595.452660095
2005-2,16479408.59449943,1493257.6993656126,10.405432895556787,26605321.16348182
2005-3,16500527.513780568,1494888.707118068,10.411742401360193,26642046.874303542
2005-4,16521646.433061708,1496519.714870523,10.418051907163601,26678772.585125268
2005-5,16542765.352342846,1498150.7226229783,10.424361412967007,26715498.29594699
2005-6,16563884.271623986,1499781.7303754336,10.430670918770414,26752224.006768715
2005-7,16585003.190905124,1501412.7381278886,10.436980424573822,26788949.717590436
2005-8,16606122.110186264,1503043.745880344,10.443289930377228,26825675.42841216
2005-9,16627241.029467404,1504674.7536327993,10.449599436180634,26862401.139233887
2005-10,16648359.948748542,1506305.7613852546,10.45590894198404,26899126.85005561
2005-11,16669478.868029682,1507936.7691377099,10.462218447787446,26935852.560877334
2005-12,16690597.78731082,1509567.776890165,10.468527953590854,26972578.271699056
2006-1,16711716.70659196,1511198.7846426202,10.47483745939426,27009303.98252078
2006-2,16731486.836070012,1513069.8771449407,10.48074369012451,27045796.934490938
2006-3,16751256.965548066,1514940.9696472613,10.486649920854761,27082289.886461094
2006-4,16771027.095026119,1516812.0621495817,10.492556151585012,27118782.83843125
2006-5,16790797.224504173,1518683.1546519022,10.498462382315262,27155275.790401407
2006-6,16810567.353982225,1520554.2471542226,10.504368613045513,27191768.742371563
2006-7,16830337.483460277,1522425.339656543,10.510274843775765,27228261.69434172
2006-8,16850107.61293833,1524296.4321588636,10.516181074506015,27264754.646311875
2006-9,16869877.74241638,1526167.524661184,10.522087305236266,27301247.59828203
2006-10,16889647.871894434,1528038.6171635045,10.527993535966516,27337740.550252188
2006-11,16909418.00137249,1529909.7096658251,10.533899766696766,27374233.502222344
2006-12,16929188.130850542,1531780.8021681455,10.539805997427017,27410726.4541925
