Ano,Contratação  Home equity (Bi R$),Contratação  Livre (Bi R$),Contratação  FGTS (Bi R$),Contratação  SFH (Bi R$),Contratação Jurídico Livre (Bi R$),Contratação Jurídico SFH (Bi R$),Direcionamento Aquisição (R$),Direcionamento Construção (R$),Direcionamento Aplicação (R$),Ativos Problemáticos - Home equity (R$),Ativos Problemáticos - SFH (R$),Ativos Problemáticos - FGTS (R$),Carteira de Crédito – Home equity (R$),Carteira de Crédito – Livre (R$),Carteira de Crédito - FGTS (R$),Carteira de Crédito - SFH  (R$),Carteira de Crédito P.Jurídica - Comercial (R$),Carteira de Crédito P.Jurídica -  Livre (R$),Carteira de Crédito  P.Jurídica - FGTS (R$),Inadimplência - SFH (%),Inadimplência - FGTS (%),Inadimplência - Livre (%),Inadimplência - Comercial (%),Inadimplência - Home equity (%),Poupança e Empréstimo - SBPE (R$), Títulos - LH (R$), Títulos – LIG (R$), Títulos – CRI (R$), Títulos – LCI (R$)
2003-1,201462456.11714217,1542506309.8411367,924895565.5692492,3117875881.3919983,423526878.091591,587167163.7021592,130093454953.13837,10395732075.170021,114575431471.5868,435565959.640581,3647348309.1839666,4601248467.012386,9143675659.538502,77025091755.42033,66645104500.97764,70357915486.0413,487292826.3123182,19700442358.53432,20216902146.922844,1.557727272727273,2.4681182235196006,1.6032139282735605,0.30079545454545453,3.9882057964970787,154037952387.93182,1211245345.725728,8107261626.504135,19217885920.219612,82028811059.6894
2003-2,201519587.26159823,1542506309.8411367,926762087.4812832,3118865604.6653376,423526878.091591,587167163.7021592,130093454953.13837,10395732075.170021,114575431471.5868,437325871.5196978,3662679592.298504,4601248467.012386,9149334944.391596,77025091755.42033,66645104500.97764,70357915486.0413,487292826.3123182,19700442358.53432,20216902146.922844,1.557727272727273,2.467045413823511,1.6031184627526363,0.30079545454545453,3.9912293197597073,154037952387.93182,1211245345.725728,8107261626.504135,19217885920.219612,82227161794.38548
2003-3,201552913.76253092,1542506309.8411367,929095239.8713255,3119442943.241452,423526878.091591,587167163.7021592,130093454953.13837,10395732075.170021,114575431471.5868,438352486.78251594,3671622840.7819843,4601248467.012386,9152636193.889235,77025091755.42033,66645104500.97764,70357915486.0413,487292826.3123182,19700442358.53432,20216902146.922844,1.557727272727273,2.4664196081674588,1.6030627745320971,0.30079545454545453,3.992993041662908,154037952387.93182,1211245345.725728,8107261626.504135,19217885920.219612,82342866389.62486
2003-4,201556484.45905942,1542506309.8411367,930401905.5849524,3119504800.9460354,423526878.091591,587167163.7021592,130093454953.13837,10395732075.170021,114575431471.5868,438462481.27496076,3672581045.9766426,4601248467.012386,9152989899.192554,77025091755.42033,66645104500.97764,70357915486.0413,487292826.3123182,19700442358.53432,20216902146.922844,1.557727272727273,2.4663525575614536,1.6030568079370395,0.30079545454545453,3.993182011866822,154037952387.93182,1211245345.725728,8107261626.504135,19217885920.219612,82355263310.54337
2003-5,201754347.2436863,1544532267.3531895,932988863.9296495,3125212876.866717,424197467.27145356,587783609.9454554,130107691275.1087,10394625278.27334,114705716330.9839,439159108.92512405,3686861411.6189823,4603092170.5480795,9157498856.155407,77004992869.51372,66632423045.992615,70383334397.9698,489117728.098564,19703613363.707813,20222331756.693333,1.557311029882877,2.4657665094378096,1.6017181235547433,0.301067129061027,3.992906696360227,154313356413.44116,1211478796.0401065,8089349468.850023,19218433382.21518,82459803632.12042
2003-6,201957955.19354692,1546908262.7340639,935358225.4724497,3131464802.8059,424972361.44158834,588499241.3989652,130126450067.38617,10393433249.900108,114860600545.03557,439306573.7613272,3697713378.91216,4605230658.734264,9160653950.13224,76982125045.18892,66618163786.45156,70413841126.60748,491246285.931748,19707387020.2554,20228742462.338394,1.55682392791826,2.4654898213939407,1.6002054508482808,0.3013635317058248,3.9914318089553755,154639229671.55905,1211747864.6040154,8068369328.283034,19219737281.36202,82507927450.4187
2003-7,202214957.14555728,1550036025.0881956,937876709.9395428,3139512410.854654,425989970.7390316,589439249.7983502,130152422228.87473,10391943707.988922,115065895586.86963,439194712.46541387,3709319278.313315,4608065347.737236,9163828084.883158,76952110010.17926,66599923116.818474,70454757639.76314,494048899.8469375,19712394953.261078,20237217122.22505,1.5561827061435989,2.4653128915841886,1.5982345824716202,0.3017535273882209,3.9889642985997624,155070148184.784,1212101388.534788,8040682621.371575,19221715500.342857,82536984450.04909
2003-8,202524133.0924266,1553897797.0561976,940546710.3737036,3149314298.776522,427244205.32913995,590597818.8152549,130185998458.57149,10390200798.196667,115321044754.86563,438831193.83514726,3721672424.85343,4611593676.641672,9167026650.718105,76915101699.52654,66578051022.14627,70506220833.77563,497511103.18692756,19718626673.645603,20247723995.58969,1.5553909037937237,2.465232648313551,1.5958165176862023,0.30223691422069626,3.9855302611680044,155604505009.91702,1212537421.0806632,8006404517.138649,19224444170.19608,82547619645.68053
2003-9,202884263.02686417,1558475821.2786837,943370619.8177071,3160829064.335048,428728975.37726974,591969132.1213238,130227569455.47354,10388248666.180227,115625491347.40312,438223686.6682905,3734766133.5634875,4615813084.532248,9170255037.947031,76871254048.27249,66552897487.48788,70568367604.9838,501618429.2945132,19726071692.329727,20260231341.668682,1.5544520601034642,2.465246019887027,1.5929622557534675,0.30281349031573185,3.9811557925347176,156240693203.75922,1213054015.4898794,7965650184.607262,19227999421.96008,82540478051.98201
2003-10,203294126.94157922,1563752340.3962662,946350831.3143277,3174015305.293775,430438191.04877764,593547373.3882011,130277525918.578,10386131457.596489,115978678662.86163,437379859.76260686,3748593719.4744706,4620721010.493643,9173518636.879887,76820720991.45891,66524812497.896194,70641334849.72647,506356411.5124893,19734719520.2342,20274707419.698402,1.5533697143076504,2.465349934609614,1.589682795934857,0.30348305378580875,3.975866988574518,156977105823.11166,1213649225.0106754,7918534792.80042,19232457386.673244,82516204683.6225
