DateTime,Contratação Comercial (Bi R$),Contratação  Home equity (Bi R$),Contratação  Livre (Bi R$),Contratação  FGTS (Bi R$),Contratação  SFH (Bi R$),Contratação Jurídico Comercial (Bi R$),Contratação Jurídico FGTS (Bi R$),Contratação Jurídico Livre (Bi R$),Contratação Jurídico SFH (Bi R$),Direcionamento Aquisição (R$),Direcionamento Construção (R$),Direcionamentos Reformas e Ampliações (R$),Direcionamento Aplicação (R$),Ativos Problemáticos - Comercial (R$),Ativos Problemáticos - Home equity (R$),Ativos Problemáticos - Livre (R$),Ativos Problemáticos - SFH (R$),Ativos Problemáticos - FGTS (R$),Ativos Problemáticos P.Jurídica - Comercial (R$),Ativos Problemáticos P.Jurídica - Home equity (R$),Ativos Problemáticos P.Jurídica - Livre (R$),Ativos Problemáticos P.Jurídica - SFH (R$),Carteira de Crédito - Comercial (R$),Carteira de Crédito – Home equity (R$),Carteira de Crédito – Livre (R$),Carteira de Crédito - FGTS (R$),Carteira de Crédito - SFH  (R$),Carteira de Crédito P.Jurídica - Comercial (R$),Carteira de Crédito P.Jurídica - Home equity (R$),Carteira de Crédito P.Jurídica -  Livre (R$),Carteira de Crédito  P.Jurídica - FGTS (R$),Inadimplência - SFH (%),Inadimplência - FGTS (%),Inadimplência - Livre (%),Inadimplência - Comercial (%),Inadimplência - Home equity (%),Inadimplência P.Jurídica - SFH (%),Inadimplência P.Jurídica - FGTS (%),Inadimplência P.Jurídica - Livre (%),Inadimplência P.Jurídica - Comercial (%),Poupança e Empréstimo - SBPE (R$),Títulos - LH (R$), Títulos – LIG (R$), Títulos – CRI (R$), Títulos – LCI (R$),Imóvel Área - Privativa (m²),Imóvel Área - Total (m²),Número de Apartamentos,Número de Casas,Valor Imóveis - Avaliação (R$),Valor Imóveis - Compra (R$),Quantidade de imóves - Condomínio,Quantidade de imóves – Isolado
2014-01-30,25627126.2,272720719.39,2022522218.71,2270508362.27,5414101117.61,338950000,39051832.19,544755033.59,638830257.99,270757416582.49,19255189624.91,,325585143530.19,9861376.64,619128721.07,1146923451.7,9280300785.13,8901810145.83,23257601.25,288958507.07,58625222.58,159881565.84,561783561.16,10320047311.19,57276878484.87,122111076564.93,180260925935.4,1890793198.55,1461609392.9,21663866276.93,26722953986.11,1.49,2.39,1.29,1.22,4.11,0.28,0.12,0.57,0.01,480464916610,1304882024.83,,41097931343.83,114102520317.22,,,,,,,,
2014-02-28,25627126.2,272720719.39,2022522218.71,2270508362.27,5414101117.61,338950000,39051832.19,544755033.59,638830257.99,270757416582.49,19255189624.91,,325585143530.19,9861376.64,619128721.07,1146923451.7,9280300785.13,8901810145.83,23257601.25,288958507.07,58625222.58,159881565.84,561783561.16,10320047311.19,57276878484.87,122111076564.93,180260925935.4,1890793198.55,1461609392.9,21663866276.93,26722953986.11,1.49,2.39,1.29,1.22,4.11,0.28,0.12,0.57,0.01,480464916610,1304882024.83,,41097931343.83,114102520317.22,,,,,,,,
2014-03-30,25627126.2,272720719.39,2022522218.71,2270508362.27,5414101117.61,338950000,39051832.19,544755033.59,638830257.99,270757416582.49,19255189624.91,,325585143530.19,9861376.64,619128721.07,1146923451.7,9280300785.13,8901810145.83,23257601.25,288958507.07,58625222.58,159881565.84,561783561.16,10320047311.19,57276878484.87,122111076564.93,180260925935.4,1890793198.55,1461609392.9,21663866276.93,26722953986.11,1.49,2.39,1.29,1.22,4.11,0.28,0.12,0.57,0.01,480464916610,1304882024.83,,41097931343.83,114102520317.22,,,,,,,,
2014-04-30,25627126.2,272720719.39,2022522218.71,2270508362.27,5414101117.61,338950000,39051832.19,544755033.59,638830257.99,270757416582.49,19255189624.91,,325585143530.19,9861376.64,619128721.07,1146923451.7,9280300785.13,8901810145.83,23257601.25,288958507.07,58625222.58,159881565.84,561783561.16,10320047311.19,57276878484.87,122111076564.93,180260925935.4,1890793198.55,1461609392.9,21663866276.93,26722953986.11,1.49,2.39,1.29,1.22,4.11,0.28,0.12,0.57,0.01,480464916610,1304882024.83,,41097931343.83,114102520317.22,,,,,,,,
2014-05-31,48241265.02,273942550.95,2397399725.41,2675238251.06,6697185289.52,401867604.92,20975429.52,2524422472.39,532539998.08,278111884227.97,19592861692.3,,331349083860.85,9986814.34,686381474.85,1291710400.51,8923534290.78,8904867512.85,29040659.14,303304123.51,54315764.72,196617441.37,600306471.27,10435072474.42,58900783018.37,124038891161.74,184983631217.02,1804469962.04,1861536856.25,22923842489.28,26779014585.55,1.45,2.57,1.44,1.1,4.53,0.32,0.5,0.58,0.01,485037160050,1366089391.35,,40795547474.8,117295886910.74,,,,,,,,
2014-06-30,45679503.39,430680494.77,2080354828.41,2943573766.65,5689548714.37,179825322.06,72972022.11,1200275522.37,440405550.31,284820495109.65,19925201876.61,,335319843261.33,11561241.29,802552988.46,1372341632.96,8989555220.56,8773949311.36,22887788.97,262386490.02,44129097.24,230505881.78,637257429.83,11825103563.4,60223755218.87,126202763141.47,189154130022.22,1750700941.09,2070404820.82,23808446473.71,26808246694.29,1.35,2.18,1.4,1.26,4.22,0.23,0.78,0.74,0.01,490241090470,1413619558.68,,41789185601.09,119665807678.41,,,,,,,,
2014-07-31,57652954.51,275115100.43,2226899965.49,3590714640.31,5673873694.22,22900000,34625745.76,226434197.41,727746233.26,291964138342.34,20317443258.61,,340292473582.21,10055501.29,854747411.22,1472196719.94,8656068796.68,9635996571.17,27862184.33,243680678.52,44325936.97,210054138.19,683326951.26,11876517411.53,61598600932.64,136546497074.87,185466386296.87,1686522615.17,2089502064.97,24759759867.63,26755069916.8,1.39,2.12,1.39,0.96,4.2,0.16,0.69,0.56,,495725873560,1494045405.59,,42046400408.56,123616930842.01,,,,,,,,
2014-08-31,58744529.54,293162760.92,2197764246.49,3318467428.94,5279652370.82,21790901.48,33580811.41,469214573.09,547840908.98,298685638784.2,20702542856.64,,343962417491.19,10863316.83,894464089.29,1526622058.85,8632665898.18,9540094825.47,22614418.35,249512399.9,41544634.71,266968438.58,730227964.3,11899535025.3,63060569060.99,139276953366.63,189323692861.28,1560551688.97,2071987917.14,25575169470.97,27030028468.18,1.42,2.18,1.38,0.96,4.33,0.17,0.81,0.72,,499480829680,1457436128.17,,44153062401.34,127289441517.82,,,,,,,,
2014-09-30,55451532.35,295452563.17,2371914183.93,3229870416.88,6013551444.88,72287847.47,58052515.13,616891832.65,844651166.49,304002037693.26,21080325641.85,,349289191954.03,11267558.81,891040954.5,1445594118.83,8409809171.93,9867016835.67,9374049.82,253018713.48,27795120.1,225146893.84,771346952.48,11911143849.94,64464824894.06,141421242549.91,193233263716.43,1433997537.09,2094902208.21,26016117069.29,27087420632.15,1.26,2.23,1.18,1,4.24,0.15,0.38,0.42,,503952907690,1466634693.77,,42995353955.24,131304214401.4,,,,,,,,
2014-10-31,59085883.53,314108935.33,2459623712.08,3478764258.6,5843404449.66,73137000,21954077.91,440996020.36,878358320.99,311388119863.7,21550019993.1,,351940520557.39,11249692.2,912928648.52,1546324695.59,8751916885.19,10227829702.48,9151000.25,239877506.79,28792261.71,248872072.77,818459298.74,11936934256.27,66118993573.04,144380347550.47,197314794331.11,1346754129.23,2138521245.27,26778045436.86,27210851814.97,1.36,2.42,1.19,0.93,4.07,0.15,0.39,0.47,,508271771690,1446338959,,43672379535.52,138013447613.84,,,,,,,,
