data,NFSP - Porcentagem do PIB (%)
1990,
1990,
1990,
1990,
1990,
1990,
1990,
1990,
1990,
1990,
1990,
1990,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,6.25
1992,6.12
1992,6.92
1992,8.28
1992,7.77
1992,8.44
1992,9.12
1992,10.04
1992,10.67
1992,12.18
1992,12.99
1992,13.76
1992,14.87
1993,14.55
1993,16.26
1993,16.41
1993,16.56
1993,15.34
1993,16.18
1993,16.96
1993,17.72
1993,16.70
1993,16.64
1993,16.81
1993,18.77
1994,19.13
1994,20.16
1994,21.62
1994,23.67
1994,26.08
1994,28.89
1994,22.13
1994,16.43
1994,13.12
1994,10.45
1994,9.11
1994,7.86
1995,6.59
1995,6.21
1995,4.93
1995,3.63
1995,2.10
1995,0.52
1995,0.40
1995,0.66
1995,1.00
1995,1.32
1995,1.51
1995,2.06
1996,2.43
1996,2.27
1996,2.11
1996,2.68
1996,2.85
1996,2.82
1996,2.67
1996,2.75
1996,2.61
1996,2.70
1996,2.58
1996,2.24
1997,2.26
1997,2.14
1997,2.40
1997,2.17
1997,2.18
1997,2.07
1997,2.17
1997,1.87
1997,1.98
1997,2.02
1997,2.03
1997,2.24
1998,2.27
1998,2.51
1998,2.42
1998,2.57
1998,2.84
1998,3.29
1998,3.37
1998,3.32
1998,3.71
1998,3.97
1998,4.48
1998,4.50
1999,4.22
1999,4.11
1999,4.63
1999,4.54
1999,4.64
1999,4.01
1999,3.91
1999,4.11
1999,3.22
1999,3.04
1999,2.32
1999,2.42
2000,2.45
2000,2.47
2000,1.89
2000,1.79
2000,1.54
2000,1.77
2000,1.89
2000,1.61
2000,1.82
2000,1.95
2000,2.09
2000,2.09
2001,2.25
2001,2.08
2001,1.92
2001,1.71
2001,1.19
2001,1.25
2001,1.15
2001,1.34
2001,1.27
2001,1.07
2001,1.34
2001,1.92
2002,1.52
2002,1.73
2002,2.11
2002,2.14
2002,2.59
2002,2.15
2002,1.37
2002,1.88
2002,1.33
2002,1.56
2002,1.18
2002,0.67
2003,1.11
2003,1.02
2003,1.11
2003,0.70
2003,0.96
2003,1.55
2003,2.66
2003,2.65
2003,3.38
2003,2.97
2003,3.25
2003,3.62
2004,3.34
2004,3.25
2004,2.96
2004,3.21
2004,2.84
2004,2.38
2004,1.94
2004,1.65
2004,1.49
2004,1.60
2004,1.57
2004,1.38
2005,1.40
2005,1.62
2005,1.75
2005,1.54
2005,1.93
2005,2.29
2005,2.43
2005,2.60
2005,3.09
2005,3.13
2005,3.32
2005,3.38
2006,3.88
2006,3.88
2006,3.96
2006,4.03
2006,3.65
2006,3.62
2006,3.59
2006,3.49
2006,3.25
2006,3.14
2006,3.05
2006,3.09
2007,2.50
2007,2.41
2007,2.49
2007,2.42
2007,2.74
2007,2.51
2007,2.52
2007,2.42
2007,2.44
2007,2.35
2007,2.12
2007,2.19
2008,1.82
2008,1.84
2008,1.43
2008,1.34
2008,1.17
2008,1.10
2008,0.93
2008,0.73
2008,0.39
2008,0.00
2008,0.18
2008,0.80
2009,1.43
2009,1.45
2009,1.77
2009,2.07
2009,2.25
2009,2.57
2009,2.91
2009,3.23
2009,3.94
2009,4.25
2009,4.03
2009,3.22
2010,2.85
2010,2.87
2010,3.04
2010,2.71
2010,2.69
2010,2.51
2010,2.46
2010,2.43
2010,1.37
2010,1.39
2010,1.58
2010,1.18
2011,1.24
2011,1.25
2011,0.97
2011,1.11
2011,1.12
2011,1.11
2011,0.94
2011,1.12
2011,1.62
2011,1.64
2011,1.60
2011,2.00
2012,1.91
2012,1.88
2012,2.00
2012,2.01
2012,1.92
2012,1.92
2012,1.94
2012,1.73
2012,1.68
2012,1.59
2012,1.83
2012,1.27
2013,1.11
2013,1.39
2013,1.46
2013,1.57
2013,1.60
2013,1.68
2013,1.76
2013,1.95
2013,2.23
2013,2.27
2013,1.76
2013,2.07
2014,2.44
2014,2.18
2014,2.01
2014,1.77
2014,2.02
2014,2.18
2014,2.47
2014,2.64
2014,3.35
2014,3.51
2014,4.17
2014,4.70
2015,4.53
2015,5.30
2015,6.20
2015,5.97
2015,6.40
2015,6.52
2015,7.02
2015,7.34
2015,7.48
2015,7.56
2015,7.50
2015,8.57
2016,8.99
2016,8.76
2016,7.75
2016,8.15
2016,8.13
2016,8.01
2016,7.66
2016,7.77
2016,7.58
2016,7.13
2016,7.80
2016,7.62
2017,7.18
2017,7.30
2017,8.01
2017,8.05
2017,8.18
2017,8.51
2017,8.47
2017,8.21
2017,8.02
2017,8.48
2017,7.68
2017,6.98
2018,6.69
2018,6.49
2018,6.53
2018,6.58
2018,6.30
2018,6.35
2018,6.07
2018,6.41
2018,6.16
2018,5.77
2018,6.04
2018,6.09
2019,6.00
2019,6.04
2019,6.10
2019,6.14
2019,6.05
2019,5.64
2019,5.62
2019,5.48
2019,5.56
2019,5.62
2019,5.67
2019,5.40
2020,5.44
2020,5.48
2020,5.65
2020,6.85
2020,8.09
2020,10.60
2020,11.48
2020,12.34
2020,13.21
2020,13.53
2020,13.04
2020,13.30
2021,13.30
2021,13.10
2021,12.49
2021,10.57
2021,9.25
2021,7.54
2021,7.06
2021,6.11
2021,5.35
2021,5.24
2021,5.34
2021,4.98
2022,4.28
2022,4.16
2022,4.02
2022,4.73
2022,4.98
2022,4.89
2022,4.38
2022,4.59
2022,4.57
2022,4.26
2022,4.48
2022,4.52
2023,4.78
2023,5.30
2023,5.61
2023,5.35
