Ano,Amazonas - PIB - Estadual,Amazonas - PIB - Construção Civil,Amazonas - PIB - Per Capita,Amazonas - PIB - Preços de Mercado
1985,0.007240744,1502129.5180671,7.3061921667,12682256.4053791
1986,0.022454888,2014757.19465739,7.5465779722,13572271.4459083
1987,0.072781538,2168533.8870167,7.6018588653,14141107.0929211
1988,0.53840941,2466622.574507,8.05495288,15471051.3372443
1989,7.521878607,2529081.60739598,7.8280669131,16157787.6662801
1990,210.0455169,1885087.7130723,7.61623794,16160392.6132879
1991,1015.38191,2017013.71427043,7.4714279528,16274727.5952673
1992,10138.26866,2104529.8783955,6.8910919713,15654273.1162102
1993,266842.2454,2846059.39658478,7.6225792821,17859230.6581368
1994,5878452.277,3353917.34042462,9.1526483236,22089788.591852
1995,10069421.18,3076702.91563149,10.9038598352,27078274.7836083
1996,12495041.42,2845318.22551357,11.920735704,30432708.4349374
1997,12572250.22,3500576.59871008,12.5840328433,32998505.2913557
1998,13198509.85,3443057.54316589,12.3624364686,33200683.0045308
1999,13933920.08,3201453.95102248,11.9482965341,33117870.1427546
2000,16749755.08,3384908.18667661,12.5355707993,35711146.059418
2001,18050376.83,3750366.4286269,12.5423008019,36702346.7019656
2002,18216345.2050422,2401570.16240628,11.6842505818,34606425.0573352
2003,21456481.3926955,1824551.87521454,11.7870966923,35727491.5969688
2004,25239954.5484993,2456049.75806333,12.4266366572,39003807.5683689
2005,28066285.2107073,1877134.72283384,12.4898479375,40371310.1836835
2006,33261730.2168876,1946747.40526791,13.5332943452,44809089.4425346
2007,35928788.8465684,2762816.77994662,13.4078276865,45473974.9738563
2008,38703348.9925856,2336045.74271286,13.4783557881,45032453.6535644
2009,42002325.8331047,2789652.22129869,13.4203865972,45540323.8470086
2010,50384213.3947483,3317844.21127003,13.9794375161,50384213.3947483
2011,59108111.3872249,3148853.76439119,15.4219306308,54568758.8588832
2012,59572307.716472,2926014.89229512,14.1883806521,50950262.0958086
2013,68811996.118883,3405729.64789576,14.376438812,54744343.2573793
2014,71897864.7824932,2994510.83440949,13.6915741408,53037639.4870548
2015,72694786.0957881,2430037.78970442,12.6585209888,49853508.9171224
2016,75908489.1192624,2216941.1783444,12.0337696931,48155139.066294
2017,78497467.001731,1823296.28130363,11.8243985662,48034031.4945091
2018,84361543.7131152,1653620.42296199,12.2522566024,49402450.8773983
2019,90725247.7162632,1738306.65192791,12.4556248288,50975714.7492768
2020,95960716.6136817,2000115.76950453,11.9176277784,50639708.1221585
