Ano,Bahia - PIB - Estadual,Bahia - PIB - Construção Civil,Bahia - PIB - Per Capita,Bahia - PIB - Preços de Mercado
1985,0.025442117,6513353.04931319,5.1345864345,54172849.5403428
1986,0.065506063,9173760.52828282,5.385666992,58031606.6576798
1987,0.189983563,5200353.74237286,5.4560517591,59998035.1423706
1988,1.404576434,4989453.36961682,6.3129634421,70789961.0249148
1989,19.2211499,6707816.56588037,5.6097627988,65788953.2238878
1990,518.9828251,6753978.11985712,5.8660892283,70009715.9425173
1991,2652.432271,6077555.13741872,5.9453154161,72158156.4629323
1992,28114.11123,6150181.81013532,6.1199571037,74372527.7846314
1993,611119.1179,7005711.36439226,6.7071595846,82315856.1929273
1994,14972456.45,8411961.83807177,7.0983759938,87963004.3317604
1995,26427274.23,9034885.65580459,7.5137840396,93997566.0695868
1996,32430856.07,8927412.06030017,7.5672092573,95554904.6281262
1997,36528096.93,11257805.5595263,7.9824002239,101732449.998959
1998,37838126.0,11341767.0314625,7.9501759825,102200140.318879
1999,41883129.02,10125325.1895269,7.9034016919,102831175.219682
2000,46523212.32,10501321.0715422,8.1411042614,106995993.282888
2001,51095879.58,9459878.23557621,8.0946637877,107458224.051316
2002,50474723.9657698,7050329.77092363,7.1971491711,95889144.2026252
2003,57858357.8730706,5031595.62092464,7.1705533476,96340772.603483
2004,66379567.3954829,6569968.39149285,7.4972314674,102577675.731944
2005,74922462.70199,5885434.14020885,7.8007896108,107770513.937254
2006,80678349.3843581,6749842.91247472,7.7911135421,108687171.414922
2007,94089687.1482855,6706544.53283242,8.2439842365,119086454.512862
2008,104632755.91032,7536679.67034089,8.3945992511,121743204.498372
2009,121136943.463363,8894117.19786624,8.9729761493,131340718.061149
2010,135415006.032397,10935228.8268609,9.1692984986,135415006.032397
2011,145727055.143592,11230767.6814222,9.543200121,134535588.17419
2012,159295894.222184,11094618.3412616,9.6110993252,136240610.319051
2013,178261700.255054,11975954.4211983,9.426833983,141818581.916254
2014,196202842.645,12223089.6519606,9.5683871974,144734974.620201
2015,215986136.565469,10836194.7024349,9.7427039952,148121582.902151
2016,228329341.797693,9365401.7304235,9.4817451478,144848505.546044
2017,236137907.96173,8053963.8102007,9.4199876831,144497091.961338
2018,250533839.305303,7364205.74856648,10.0237761994,146713598.92958
2019,256468543.801774,7016355.80602035,9.8119047445,144101754.033107
2020,268226782.077772,6311811.62109101,9.6413763777,141546733.22883
