Ano,Operações de crédito - saldo da carteira de crédito (R$)
2003-1,384683.09387124365
2003-2,385266.2039276414
2003-3,385305.05955977703
2003-4,385752.0526974837
2003-5,387164.02245145215
2003-6,388761.21502978716
2003-7,391151.2474962479
2003-8,394602.69250520703
2003-9,399908.58800029097
2003-10,405807.0561010996
2003-11,410971.72882027813
2003-12,414731.15698427556
2004-1,417533.7771609108
2004-2,422402.9868290372
2004-3,428940.35279798956
2004-4,437138.8679254053
2004-5,444435.64414467895
2004-6,451253.3024140168
2004-7,458230.98931173916
2004-8,466978.6583451511
2004-9,475889.1295313781
2004-10,484423.7575753058
2004-11,491603.9774213368
2004-12,498417.7469993286
2005-1,505529.1448841331
2005-2,513173.97837669234
2005-3,520583.6246521651
2005-4,527801.5206057715
2005-5,534490.8290515874
2005-6,542053.2699314717
2005-7,549511.0197966119
2005-8,557945.6579456168
2005-9,567582.3355484458
2005-10,579729.7986988125
2005-11,590638.0268494517
2005-12,600358.5651096528
2006-1,608237.7183918209
2006-2,617499.8567002948
2006-3,628619.3150184231
2006-4,639239.6343437436
2006-5,650002.3898724334
2006-6,658313.6048432353
2006-7,667304.7989431338
2006-8,676378.6807572738
2006-9,688540.2959400815
2006-10,702426.9953394711
2006-11,715811.6582559105
2006-12,727560.5307190763
2007-1,738539.8377949974
2007-2,751771.8737028147
2007-3,765537.1422995625
2007-4,779563.6032004755
2007-5,793632.7491000076
2007-6,810591.0704600966
2007-7,828801.1639120209
2007-8,848753.4468744235
2007-9,870183.122157289
2007-10,894141.7138063426
2007-11,916094.9671927262
2007-12,935002.9361998137
2008-1,954710.3806785081
2008-2,977120.2633756644
2008-3,1002832.9288108345
2008-4,1027504.4384372998
2008-5,1051085.473449627
2008-6,1073849.5823773853
2008-7,1099889.4111654025
2008-8,1129391.1987085575
2008-9,1159763.921974792
2008-10,1186398.82413667
2008-11,1206234.5492222924
2008-12,1219337.8746717924
2009-1,1228788.884778817
2009-2,1237163.7518901217
2009-3,1247147.5273337879
2009-4,1257743.2558447819
2009-5,1273653.156635714
2009-6,1292234.6824960993
2009-7,1313170.5678263628
2009-8,1332816.0500644925
2009-9,1352851.923578171
2009-10,1374268.9947285329
2009-11,1394220.7836613408
2009-12,1412214.7556779748
2010-1,1427319.107867863
2010-2,1442690.7727091676
2010-3,1461585.5761154061
