Ano,Operações de crédito - saldo da carteira de crédito (R$),Apagar
1990-1,1,
1990-2,1,
1990-3,2,
1990-4,2,
1990-5,2,
1990-6,3,
1990-7,3,
1990-8,3,
1990-9,4,
1990-10,4,
1990-11,5,
1990-12,6,
1991-1,7,
1991-2,8,
1991-3,9,
1991-4,10,
1991-5,11,
1991-6,12,
1991-7,13,
1991-8,15,
1991-9,18,
1991-10,22,
1991-11,28,
1991-12,35,
1992-1,45,
1992-2,56,
1992-3,69,
1992-4,84,
1992-5,103,
1992-6,131,
1992-7,162,
1992-8,202,
1992-9,255,
1992-10,322,
1992-11,409,
1992-12,523,
1993-1,659,
1993-2,843,
1993-3,1067,
1993-4,1386,
1993-5,1838,
1993-6,2411,
1993-7,3215,
1993-8,4348,
1993-9,5907,
1993-10,8288,
1993-11,11427,
1993-12,15789,
1994-1,22015,
1994-2,31619,
1994-3,45129,
1994-4,63896,
1994-5,94895,
1994-6,140753,
1994-7,151410,
1994-8,161528,
1994-9,170178,
1994-10,177727,
1994-11,183928,
1994-12,186856,
1995-1,193123,
1995-2,200569,
1995-3,207983,
1995-4,215147,
1995-5,221882,
1995-6,226148,
1995-7,223165,
1995-8,224534,
1995-9,229352,
1995-10,233029,
1995-11,237909,
1995-12,238644,
1996-1,237355,
1996-2,240545,
1996-3,244550,
1996-4,245389,
1996-5,246296,
1996-6,247998,
1996-7,248124,
1996-8,247309,
1996-9,248882,
1996-10,252646,
1996-11,251760,
1996-12,252507,
1997-1,254729,
1997-2,257380,
1997-3,259971,
1997-4,263138,
1997-5,267567,
1997-6,272685,
1997-7,276711,
1997-8,281114,
1997-9,285783,
1997-10,290084,
1997-11,292603,
1997-12,259689,
1998-1,259247,
1998-2,264561,
1998-3,264251,
1998-4,266188,
1998-5,268014,
1998-6,267094,
1998-7,266781,
1998-8,268189,
1998-9,271290,
1998-10,271372,
1998-11,278754,
1998-12,276888,
1999-1,285572,
1999-2,288519,
1999-3,281128,
1999-4,278607,
1999-5,280168,
1999-6,280154,
1999-7,282091,
1999-8,284365,
1999-9,287791,
1999-10,292800,
1999-11,295824,
1999-12,288505,
2000-1,289197,
2000-2,287573,
2000-3,286084,
2000-4,291609,
2000-5,312232,
2000-6,307011,
2000-7,309905,
2000-8,310257,
2000-9,308673,
2000-10,312895,
2000-11,320782,
2000-12,326826,
2001-1,326686,
2001-2,335278,
2001-3,343913,
2001-4,349563,
2001-5,355931,
2001-6,319496,
2001-7,324558,
2001-8,332145,
2001-9,340660,
2001-10,343567,
2001-11,345008,
2001-12,336376,
2002-1,337735,
2002-2,340040,
2002-3,341234,
2002-4,344649,
2002-5,349678,
2002-6,357544,
2002-7,364476,
2002-8,359768,
2002-9,381788,
2002-10,378612,
2002-11,381846,
2002-12,384396,
2003-1,384508,
2003-2,388320,
2003-3,386969,
2003-4,383307,
2003-5,386300,
2003-6,388582,
2003-7,389881,
2003-8,392427,
2003-9,397523,
2003-10,403151,
2003-11,413115,
2003-12,418258,
2004-1,417770,
2004-2,420849,
2004-3,423347,
2004-4,435554,
2004-5,445864,
2004-6,452933,
2004-7,457302,
