Ano,Estoque liquido de capital fixo - (R$)
2003,7330309.193826131
2003,7335910.173263511
2003,7341511.152700892
2003,7347112.132138272
2003,7352713.111575652
2003,7358314.091013032
2003,7363915.070450412
2003,7369516.049887793
2003,7375117.029325173
2003,7380718.008762553
2003,7386318.988199934
2003,7391919.967637314
2004,7397520.947074695
2004,7402970.507331404
2004,7408420.067588114
2004,7413869.6278448235
2004,7419319.188101534
2004,7424768.748358243
2004,7430218.3086149525
2004,7435667.868871663
2004,7441117.429128372
2004,7446566.989385082
2004,7452016.549641792
2004,7457466.109898502
2005,7462915.670155211
2005,7468228.679464037
2005,7473541.688772862
2005,7478854.698081687
2005,7484167.707390512
2005,7489480.716699338
2005,7494793.726008162
2005,7500106.735316987
2005,7505419.744625812
2005,7510732.753934638
2005,7516045.763243463
2005,7521358.772552288
2006,7526671.781861113
2006,7531879.804076586
2006,7537087.826292059
2006,7542295.848507533
2006,7547503.870723005
2006,7552711.892938478
2006,7557919.915153951
2006,7563127.937369425
2006,7568335.959584897
2006,7573543.98180037
2006,7578752.004015843
2006,7583960.026231317
2007,7589168.048446789
2007,7594051.910447072
2007,7598935.772447355
2007,7603819.634447637
2007,7608703.49644792
2007,7613587.358448203
2007,7618471.220448485
2007,7623355.0824487675
2007,7628238.94444905
2007,7633122.806449333
2007,7638006.668449616
2007,7642890.530449898
2008,7647774.392450181
2008,7652174.341637064
2008,7656574.290823947
2008,7660974.24001083
2008,7665374.189197713
2008,7669774.1383845955
2008,7674174.087571479
2008,7678574.036758362
2008,7682973.985945245
2008,7687373.935132128
2008,7691773.884319011
2008,7696173.833505894
2009,7700573.782692777
2009,7704524.6839363
2009,7708475.585179822
2009,7712426.486423344
2009,7716377.387666867
2009,7720328.288910389
2009,7724279.190153912
2009,7728230.0913974345
2009,7732180.992640956
2009,7736131.893884479
2009,7740082.795128002
2009,7744033.696371524
2010,7747984.597615046
2010,7751204.361214897
2010,7754424.124814747
2010,7757643.888414597
2010,7760863.652014448
2010,7764083.415614299
2010,7767303.179214149
2010,7770522.942813999
2010,7773742.706413849
2010,7776962.4700137
2010,7780182.233613551
2010,7783401.997213401
2011,7786621.760813251
2011,7788997.896079644
2011,7791374.031346036
2011,7793750.166612428
2011,7796126.30187882
2011,7798502.437145213
2011,7800878.572411605
2011,7803254.707677998
2011,7805630.84294439
2011,7808006.978210783
2011,7810383.113477174
2011,7812759.248743567
2012,7815135.384009959
2012,7816645.2737992965
2012,7818155.163588634
2012,7819665.053377971
2012,7821174.943167307
2012,7822684.832956645
2012,7824194.722745982
2012,7825704.612535319
2012,7827214.502324657
2012,7828724.392113993
2012,7830234.28190333
2012,7831744.1716926675
2013,7833254.061482005
2013,7833744.844245157
2013,7834235.627008309
2013,7834726.409771461
2013,7835217.192534613
2013,7835707.975297765
2013,7836198.758060917
2013,7836689.54082407
2013,7837180.323587221
2013,7837671.1063503735
2013,7838161.889113526
2013,7838652.671876677
2014,7839143.45463983
2014,7838649.955390375
2014,7838156.4561409205
2014,7837662.956891467
2014,7837169.457642012
2014,7836675.958392558
2014,7836182.459143104
2014,7835688.959893649
2014,7835195.460644195
2014,7834701.96139474
2014,7834208.462145286
2014,7833714.962895832
2015,7833221.463646377
2015,7832032.576236982
2015,7830843.688827586
2015,7829654.801418191
2015,7828465.914008795
2015,7827277.0265994
2015,7826088.139190003
2015,7824899.251780608
2015,7823710.364371212
2015,7822521.476961817
2015,7821332.589552421
2015,7820143.702143026
2016,7818954.81473363
2016,7817259.857969137
2016,7815564.901204644
2016,7813869.944440151
2016,7812174.9876756575
2016,7810480.030911164
2016,7808785.074146671
2016,7807090.117382177
2016,7805395.160617684
2016,7803700.203853191
2016,7802005.247088698
2016,7800310.290324205
2017,7798615.333559711
2017,7796393.517478655
2017,7794171.701397599
2017,7791949.885316542
2017,7789728.069235486
2017,7787506.25315443
2017,7785284.437073373
2017,7783062.620992317
2017,7780840.8049112605
2017,7778618.988830204
2017,7776397.172749148
2017,7774175.356668091
2018,7771953.540587035
2018,7769100.068513057
2018,7766246.596439078
2018,7763393.124365101
2018,7760539.652291123
2018,7757686.180217145
2018,7754832.708143167
2018,7751979.236069188
2018,7749125.763995211
2018,7746272.291921233
2018,7743418.819847254
2018,7740565.347773276
2019,7737711.875699298
2019,7733993.9752234975
2019,7730276.0747476965
2019,7726558.174271896
2019,7722840.273796095
2019,7719122.373320294
2019,7715404.472844493
2019,7711686.572368692
2019,7707968.671892891
2019,7704250.77141709
2019,7700532.870941289
2019,7696814.970465488
2020,7693097.069989687
2020,7688496.775112735
2020,7683896.480235783
2020,7679296.185358832
2020,7674695.890481881
2020,7670095.595604929
2020,7665495.300727977
2020,7660895.005851026
2020,7656294.710974074
2020,7651694.416097123
2020,7647094.121220171
2020,7642493.82634322
2021,7637893.531466268
