,Fundo de garantia por tempo de serviço (FGTS) (R$)
2003-1,2097000.9864067403
2003-2,2000522.7967193644
2003-3,1963277.563715221
2003-4,1954186.9673829172
2003-5,1975492.8159676276
2003-6,1998603.3336101088
2003-7,2015092.1149275475
2003-8,2025274.426403531
2003-9,2031413.0059922158
2003-10,2157686.7340271496
2003-11,2314384.902305873
2003-12,2399709.7029366046
2004-1,2379575.1981304954
2004-2,2286865.77068742
2004-3,2267168.0966155827
2004-4,2235945.4853666006
2004-5,2247614.438896437
2004-6,2270755.1846666075
2004-7,2274686.759168609
2004-8,2279925.5371590434
2004-9,2282679.2823835304
2004-10,2433479.803848515
2004-11,2626368.5075104097
2004-12,2720834.843621785
2005-1,2703712.958128439
2005-2,2592532.3195000445
2005-3,2576944.5509056966
2005-4,2550123.232541148
2005-5,2569572.8659533686
2005-6,2602254.4460729035
2005-7,2613066.753887254
2005-8,2617033.0372000313
2005-9,2616833.298781457
2005-10,2767147.2328062975
2005-11,2977160.9186895513
2005-12,3077456.4837551704
2006-1,3061867.328050945
2006-2,2929137.126267223
2006-3,2918623.3433916336
2006-4,2883566.376169771
2006-5,2915862.370436281
2006-6,2948249.7182092103
2006-7,2959619.3646790986
2006-8,2972598.568363662
2006-9,2968920.409500552
2006-10,3137629.6446888424
2006-11,3371346.513797879
2006-12,3478580.7521593445
2007-1,3465619.8819014444
2007-2,3321575.2056041574
2007-3,3315160.34317312
2007-4,3271622.245505456
2007-5,3308180.3871297156
2007-6,3356492.918711034
2007-7,3377509.25255415
2007-8,3406326.0515670376
2007-9,3402053.412048238
2007-10,3603293.506709055
2007-11,3871253.3801534586
2007-12,4005644.122666503
2008-1,3972676.139799992
2008-2,3831646.827575299
2008-3,3809138.2345990585
2008-4,3805747.8653208716
2008-5,3847010.3706679856
2008-6,3906865.8565637716
2008-7,3952591.039190352
2008-8,3979631.106186825
2008-9,4008598.191619436
2008-10,4263818.5410232525
2008-11,4581129.885282537
2008-12,4747766.385371158
2009-1,4684355.071416738
2009-2,4496965.662895579
2009-3,4433471.851642464
2009-4,4387994.548467608
2009-5,4399982.319256014
2009-6,4416281.033776725
2009-7,4393687.545662547
2009-8,4370580.310383854
2009-9,4372066.053221281
2009-10,4642801.106901026
2009-11,4968540.4622684615
2009-12,5129826.363697898
2010-1,5091491.888697272
2010-2,4918423.521659033
2010-3,4912351.888847262
2010-4,4850330.205261258
2010-5,4891888.062085704
2010-6,4953811.558473392
2010-7,5009561.05202782
2010-8,5040041.3907002425
2010-9,5067277.008789612
2010-10,5384491.593871971
2010-11,5781902.667862317
2010-12,6002343.419808857
2011-1,5930218.377270235
2011-2,5722976.141557818
2011-3,5702026.80761761
2011-4,5697124.601037086
2011-5,5757497.69580094
2011-6,5831145.897125605
2011-7,5874517.372275309
2011-8,5929179.957706182
2011-9,5940280.036134298
2011-10,6283798.032664096
2011-11,6720960.102087679
2011-12,6940099.1718623545
2012-1,6889093.539510006
2012-2,6640103.790218472
2012-3,6641839.904299695
2012-4,6586238.249807633
2012-5,6636349.699843464
2012-6,6704965.12234622
2012-7,6724867.808025938
2012-8,6776417.363070431
2012-9,6766432.771433274
2012-10,7171936.691454741
2012-11,7666615.040935603
2012-12,7896021.092284068
2013-1,7800751.729971935
2013-2,7530379.099825201
2013-3,7540072.397747427
2013-4,7510768.410540526
2013-5,7556097.492839592
2013-6,7623033.252264025
2013-7,7662651.255262723
2013-8,7706054.88572335
2013-9,7711899.409921214
2013-10,8154891.371640913
2013-11,8699111.485892426
2013-12,9009309.894648667
2014-1,8825025.862980219
2014-2,8471579.337141778
2014-3,8366857.0771144
2014-4,8334060.093889235
2014-5,8366098.8314187275
2014-6,8393609.769865593
2014-7,8464294.898262864
2014-8,8518216.174225692
2014-9,8549777.09455971
2014-10,9000369.66814908
2014-11,9536828.737337759
2014-12,9802066.068801366
2015-1,9658320.358175825
2015-2,9322693.87656344
2015-3,9248753.506081853
2015-4,9154031.211379059
2015-5,9163998.946236182
2015-6,9182618.747327048
2015-7,9161759.810184646
2015-8,9124084.736476338
2015-9,9111627.991960196
2015-10,9630300.092613306
2015-11,10206133.8713167
2015-12,10510897.401460001
2016-1,10343811.360967338
2016-2,9967913.080171468
2016-3,9856336.422055762
2016-4,9710266.701835446
2016-5,9680535.027658243
2016-6,9659746.901858738
2016-7,9585081.117791396
2016-8,9555940.880272027
2016-9,9499194.488638684
2016-10,9966047.81567214
2016-11,10587512.611494165
2016-12,10898685.552629258
2017-1,10787624.167112684
2017-2,10303707.629504388
2017-3,10201749.845553415
2017-4,10038719.54485756
2017-5,10042384.529008195
2017-6,10051859.955499152
2017-7,10019899.67831547
2017-8,10017351.157342926
2017-9,9868982.85165768
2017-10,10255204.95025612
2017-11,10736350.990006758
2017-12,10905729.964166576
2018-1,10591953.536246667
2018-2,10061031.180200648
2018-3,9913724.971357463
2018-4,9759929.249245623
2018-5,9718317.432326619
2018-6,9737284.14108045
2018-7,9674544.562883414
2018-8,9671877.616336772
2018-9,9603900.901068037
2018-10,10174872.283226963
2018-11,10893441.955256999
2018-12,11294362.972876793
2019-1,11053032.574638758
2019-2,10560449.228493111
2019-3,10403101.036288375
2019-4,10292765.598772297
2019-5,10294781.632050132
2019-6,10320775.962706486
2019-7,10358945.135041323
2019-8,10386654.273111563
2019-9,10366843.514432576
2019-10,10941263.342572827
2019-11,11652145.667877082
2019-12,11950059.27689198
2020-1,11653487.832717812
2020-2,10332467.050545957
2020-3,9254946.432504755
2020-4,7921092.630288142
2020-5,8346176.75029858
2020-6,9159521.074665345
2020-7,10476405.287576785
2020-8,10910293.634150427
2020-9,11210151.605931442
2020-10,11966994.503166374
2020-11,12548259.897019563
2020-12,12643560.231817188
2021-1,12021896.93247535
2021-2,11397771.725950507
2021-3,10895248.666923173
2021-4,10340866.987280738
2021-5,9875440.368434783
2021-6,9712774.735535104
2021-7,10214150.894325977
2021-8,10910967.420836216
2021-9,11765147.222576438
2021-10,12805185.30254653
2021-11,13676979.600094592
2021-12,13931975.262508225
2022-1,13420088.102430563
2022-2,12791313.046479758
2022-3,12607077.699184064
2022-4,12449416.877198765
2022-5,12452764.714312565
2022-6,12550288.544860266
2022-7,12615065.368688567
2022-8,12661908.470935768
2022-9,12664309.773060868
2022-10,13442254.773225328
2022-11,14568275.545007238
2022-12,15106994.830870513
2023-1,14942955.75587155
2023-2,14234209.294798413
2023-3,14132675.172635993
2023-4,13999738.667184884
2023-5,14042638.679158175
2023-6,14040366.542255765
2023-7,14024748.59238798
