Ano, INCC (%)
1994,45.93
1994,39.13
1994,55.70
1994,45.5
1994,45.5
1994,44.74
1994,3.58
1994,0.14
1994,0.38
1994,1.32
1994,2.36
1994,1.32
1995,3.50
1995,2.09
1995,3.30
1995,2.30
1995,8.77
1995,3.12
1995,1.09
1995,0.62
1995,0.72
1995,0.86
1995,0.73
1995,0.86
1996,1.52
1996,0.11
1996,0.98
1996,0.25
1996,2.16
1996,1.54
1996,0.75
1996,0.23
1996,0.22
1996,0.26
1996,0.58
1996,0.59
1997,0.32
1997,0.48
1997,0.73
1997,0.23
1997,0.86
1997,1.11
1997,0.51
1997,1.18
1997,0.27
1997,0.15
1997,0.54
1997,0.23
1998,0.33
1998,0.48
1998,0.47
1998,-0.50
1998,0.98
1998,0.39
1998,0.34
1998,0.22
1998,0.01
1998,0.01
1998,-0.05
1998,0.05
1999,0.55
1999,0.98
1999,0.55
1999,0.52
1999,0.86
1999,0.41
1999,0.46
1999,0.69
1999,0.86
1999,1.01
1999,0.91
1999,1.04
2000,1.07
2000,0.77
2000,0.56
2000,0.60
2000,1.35
2000,0.73
2000,0.30
2000,0.39
2000,0.26
2000,0.33
2000,0.41
2000,0.64
2001,0.58
2001,0.34
2001,0.27
2001,0.36
2001,2.11
2001,1.16
2001,0.52
2001,0.62
2001,0.55
2001,0.93
2001,0.74
2001,0.34
2002,0.36
2002,0.58
2002,0.55
2002,0.33
2002,2.53
2002,0.57
2002,0.29
2002,1.00
2002,0.71
2002,1.13
2002,2.45
2002,1.70
2003,1.51
2003,1.39
2003,1.38
2003,0.90
2003,2.84
2003,1.05
2003,0.99
2003,1.44
2003,0.22
2003,0.65
2003,1.04
2003,0.16
2004,0.33
2004,1.00
2004,1.16
2004,0.59
2004,1.83
2004,0.70
2004,1.12
2004,0.81
2004,0.58
2004,1.19
2004,0.71
2004,0.51
2005,0.75
2005,0.44
2005,0.67
2005,0.72
2005,2.09
2005,0.76
2005,0.11
2005,0.02
2005,0.24
2005,0.19
2005,0.28
2005,0.37
2006,0.34
2006,0.19
2006,0.20
2006,0.36
2006,1.32
2006,0.90
2006,0.47
2006,0.24
2006,0.11
2006,0.21
2006,0.23
2006,0.36
2007,0.45
2007,0.21
2007,0.27
2007,0.46
2007,1.15
2007,0.92
2007,0.31
2007,0.26
2007,0.51
2007,0.51
2007,0.36
2007,0.59
2008,0.38
2008,0.40
2008,0.66
2008,0.87
2008,2.02
2008,1.92
2008,1.46
2008,1.18
2008,0.95
2008,0.77
2008,0.50
2008,0.17
2009,0.33
2009,0.27
2009,-0.25
2009,-0.04
2009,1.39
2009,0.70
2009,0.26
2009,-0.05
2009,0.15
2009,0.06
2009,0.29
2009,0.10
2010,0.64
2010,0.36
2010,0.75
2010,0.84
2010,1.81
2010,1.09
2010,0.44
2010,0.14
2010,0.21
2010,0.20
2010,0.37
2010,0.67
2011,0.41
2011,0.28
2011,0.43
2011,1.06
2011,2.94
2011,0.37
2011,0.45
2011,0.13
2011,0.14
2011,0.23
2011,0.72
2011,0.11
2012,0.89
2012,0.30
2012,0.51
2012,0.75
2012,1.88
2012,0.73
2012,0.67
2012,0.26
2012,0.22
2012,0.21
2012,0.33
2012,0.16
2013,0.65
2013,0.60
2013,0.50
2013,0.74
2013,2.25
2013,1.15
2013,0.48
2013,0.31
2013,0.43
2013,0.26
2013,0.35
2013,0.10
2014,0.88
2014,0.33
2014,0.28
2014,0.88
2014,2.05
2014,0.66
2014,0.75
2014,0.08
2014,0.15
2014,0.17
2014,0.44
2014,0.08
2015,0.92
2015,0.31
2015,0.62
2015,0.46
2015,0.95
2015,1.84
2015,0.55
2015,0.59
2015,0.22
2015,0.36
2015,0.34
2015,0.10
2016,0.39
2016,0.54
2016,0.64
2016,0.55
2016,0.08
2016,1.93
2016,0.49
2016,0.29
2016,0.33
2016,0.21
2016,0.16
2016,0.35
2017,0.41
2017,0.65
2017,0.16
2017,-0.02
2017,0.63
2017,0.93
2017,0.30
2017,0.36
2017,0.06
2017,0.31
2017,0.31
2017,0.07
2018,0.31
2018,0.13
2018,0.24
2018,0.29
2018,0.23
2018,0.97
2018,0.61
2018,0.15
2018,0.23
2018,0.35
2018,0.13
2018,0.13
2019,0.49
2019,0.09
2019,0.31
2019,0.38
2019,0.03
2019,0.88
2019,0.58
2019,0.42
2019,0.46
2019,0.18
2019,0.04
2019,0.21
2020,0.38
2020,0.33
2020,0.26
2020,0.22
2020,0.20
2020,0.34
2020,1.17
2020,0.72
2020,1.16
2020,1.73
2020,1.28
2020,0.70
2021,0.89
2021,1.89
2021,1.30
2021,0.90
2021,2.22
2021,2.16
2021,0.85
2021,0.46
2021,0.51
2021,0.86
2021,0.67
2021,0.35
2022,0.71
2022,0.38
2022,0.86
2022,0.95
2022,2.28
2022,2.14
2022,0.86
2022,0.09
2022,0.09
2022,0.12
2022,0.36
2022,0.09
