Ano,PIB - Atividades imobiliárias (média 1995 = 100),Apagar
1996,102.141785451785,
1996,102.851147893785,
1996,102.988887652337,
1996,101.56256876766,
1997,103.533525014009,
1997,104.286924758096,
1997,104.647105443229,
1997,107.340054145978,
1998,106.583881091814,
1998,107.469955177643,
1998,107.28706073185,
1998,109.259408470864,
1999,110.585272362407,
1999,110.26120040594,
1999,109.534197731112,
1999,110.220013095374,
2000,111.271597805967,
2000,112.95122263261,
2000,115.007783587928,
2000,119.101413800886,
2001,116.517499333376,
2001,117.800172773763,
2001,118.251278200229,
2001,120.285016826364,
2002,120.031299624984,
2002,121.643532584674,
2002,123.055502839678,
2002,126.357560885761,
2003,128.206225086981,
2003,127.896936181594,
2003,126.32138231416,
2003,127.681701518566,
2004,129.096326287284,
2004,133.136266175433,
2004,137.15576589831,
2004,138.719633725356,
2005,137.578907249035,
2005,138.768811473295,
2005,140.485901866887,
2005,143.731054210782,
2006,142.131181656588,
2006,145.105274847869,
2006,148.550102120833,
2006,151.06766817471,
2007,152.284397040867,
2007,155.242930861924,
2007,156.889791834456,
2007,157.661260662754,
2008,156.480698546421,
2008,157.608947825311,
2008,159.20400243911,
2008,157.401159589158,
2009,159.171231406799,
2009,161.004073390853,
2009,163.230516668541,
2009,166.167006533806,
2010,166.822770929943,
2010,169.663315557001,
2010,171.367248699248,
2010,173.464895213809,
2011,173.029211235087,
2011,172.356715490433,
2011,173.331099680629,
2011,175.759817193852,
2012,177.748654425645,
2012,182.27899997286,
2012,184.042438002957,
2012,185.748391998539,
2013,190.567970391523,
2013,191.111454277418,
2013,191.765447043885,
2013,193.750309487174,
2014,193.53557831502,
2014,192.2446694787,
2014,192.115667838858,
2014,194.934243167422,
2015,193.25522136541,
2015,191.529935596027,
2015,191.642596267827,
2015,193.454599170736,
2016,193.126503562888,
2016,192.374591304605,
2016,191.664701979548,
2016,194.008221552959,
2017,192.267591130694,
2017,194.461064321944,
2017,196.22704130406,
2017,198.455650043303,
2018,197.844502003071,
2018,200.836146521101,
2018,203.141651223032,
2018,205.494947452797,
2019,204.406107332381,
2019,207.116138231962,
2019,207.623131589056,
2019,207.812641246602,
2020,207.460869803916,
2020,208.82955109576,
2020,211.268594249669,
2020,213.792395250656,
2021,212.005883727295,
2021,213.562040133013,
2021,215.088338079719,
2021,217.989981659974,
2022,215.513061147263,
2022,217.699647859446,
2022,221.8699219324,
2022,225.069145790619,
2023,221.446202553583,
2023,223.868999113479,
