Ano,PPC (US$)
2003-1,169.24766508395643
2003-2,170.1768096658525
2003-3,171.13571268536208
2003-4,172.11690429852618
2003-5,173.07227137831447
2003-6,174.08403528043308
2003-7,175.11686754427973
2003-8,176.1781190591966
2003-9,177.28690599934166
2003-10,178.40644498164465
2003-11,179.4957290410064
2003-12,180.5826505067935
2004-1,181.71762234118845
2004-2,182.87265024146924
2004-3,184.04349692245157
2004-4,185.97398364495155
2004-5,187.9511162408295
2004-6,189.66523405701923
2004-7,191.41779023761802
2004-8,193.23853944222262
2004-9,195.06742578211146
2004-10,196.86979265837775
2004-11,198.65312482441402
2004-12,200.44978855774102
2005-1,202.30449471882346
2005-2,204.1987238906554
2005-3,206.1308112427125
2005-4,208.52949853283653
2005-5,210.9849883147523
2005-6,212.92316442778161
2005-7,214.85454833768284
2005-8,216.74393954992286
2005-9,218.62954399113875
2005-10,220.47998778707418
2005-11,222.3706268867923
2005-12,224.28049234109324
2006-1,226.23143614149876
2006-2,228.1727223075623
2006-3,230.6418605830073
2006-4,233.12343857484493
2006-5,234.85656413124656
2006-6,236.571865172009
2006-7,238.27043026171523
2006-8,239.92306186852716
2006-9,241.54458321001297
2006-10,243.10828234317694
2006-11,244.58619112418262
2006-12,246.01294427055387
2007-1,247.44436787345552
2007-2,249.54686218214698
2007-3,251.65055665221337
2007-4,253.7161436166845
2007-5,255.30730020603013
2007-6,256.8884825968233
2007-7,258.4449215140347
2007-8,260.02128743696466
2007-9,261.62706060654693
2007-10,263.21698626253544
2007-11,264.78802556753885
2007-12,266.31848259790274
2008-1,268.4476130189723
2008-2,270.5463010069343
2008-3,272.6387317265813
2008-4,274.1767312352824
2008-5,275.67454765459144
2008-6,277.17517909434486
2008-7,278.67170510278925
2008-8,280.18081957333715
2008-9,281.69120671574126
2008-10,283.16492203528696
2008-11,284.6606851529394
2008-12,286.259724822218
2009-1,288.2775366408382
2009-2,290.3153452415065
2009-3,291.7641550908637
2009-4,293.19184808410324
2009-5,294.61818674794546
2009-6,296.03809070625255
2009-7,297.4339550370137
2009-8,298.8406575808099
2009-9,300.2151282762207
2009-10,301.5556867037101
2009-11,302.8565593957302
2009-12,304.120261718961
2010-1,306.32712710827536
2010-2,307.98833800895983
2010-3,309.72831966497404
2010-4,311.45528445093316
2010-5,313.1723727610079
2010-6,314.8865379700195
2010-7,316.56033133990786
2010-8,318.2396775020137
2010-9,319.89544074969774
2010-10,321.53044871503295
2010-11,323.14586098870717
2010-12,324.7538296897781
2011-1,326.9875867828149
2011-2,328.90698934227674
2011-3,330.8008274940011
2011-4,332.5671680846741
2011-5,334.33228573278836
2011-6,336.10791478900336
2011-7,337.9259091390509
2011-8,339.7435031281796
2011-9,341.56729685182097
2011-10,343.35374325642675
2011-11,345.12786962823395
2011-12,346.9001209543717
2012-1,349.2229964597706
2012-2,350.6033579807423
2012-3,351.9602562653163
2012-4,353.2302707373579
2012-5,354.4964911014999
2012-6,355.7975494593488
2012-7,357.10706045849577
2012-8,358.42563927069864
2012-9,359.6964788165113
2012-10,360.92362253497214
2012-11,362.11431379951
2012-12,363.2792172761229
2013-1,365.0225618854287
2013-2,366.09894320896234
2013-3,367.06212595817374
2013-4,367.99228026490215
2013-5,368.9211334222518
2013-6,369.8131367948833
2013-7,370.645155532855
2013-8,371.41327884711035
2013-9,372.1112182147452
2013-10,372.73516445653325
2013-11,373.30111983674254
2013-12,373.80534523326816
2014-1,375.10487925904937
2014-2,375.8219548418482
2014-3,376.54625586821084
2014-4,377.25809486411146
2014-5,377.9475131389669
2014-6,378.63348789410185
2014-7,379.2479144736732
2014-8,379.8439705424453
2014-9,380.46561670751805
2014-10,381.1028876465953
2014-11,381.75931802661825
2014-12,382.4792671114292
2015-1,383.81575424019434
2015-2,384.6355581122495
2015-3,385.48813633660825
2015-4,386.42982632793377
2015-5,387.3885874376509
2015-6,388.4193961992966
2015-7,389.4655845924521
2015-8,390.5894129957969
2015-9,391.7984311210859
2015-10,393.0323982618425
2015-11,394.3264198716264
2015-12,395.7087257778466
2016-1,397.38532715218463
2016-2,398.32719636409144
2016-3,399.35852056500727
2016-4,400.41332896946494
2016-5,401.487430497648
2016-6,402.50588574985284
2016-7,403.52153072435686
2016-8,404.6150203119495
2016-9,405.72032521396545
2016-10,406.803335189492
2016-11,407.89173559122264
2016-12,408.96754480067364
2017-1,410.4402424193167
2017-2,411.37069898708864
2017-3,412.27872519856237
2017-4,413.2020439855629
2017-5,414.11208057407765
2017-6,415.04548645740573
2017-7,415.9493894573252
2017-8,416.8596921654043
2017-9,417.7488866438711
2017-10,418.60118895971806
2017-11,419.4300696779516
2017-12,420.14927894675606
2018-1,421.26177274279706
2018-2,422.2426077364675
2018-3,423.16368745097725
2018-4,424.02836190752186
2018-5,424.8958664057337
2018-6,425.7830193027553
2018-7,426.7837260619375
2018-8,427.8010992018258
2018-9,428.7453804921202
2018-10,429.62538723064677
2018-11,430.42970092860713
2018-12,431.11476260854306
2019-1,432.31188609040515
2019-2,433.09714816046915
2019-3,433.8759184279469
2019-4,434.7112762957004
2019-5,435.53647099069195
2019-6,436.38480939825865
2019-7,437.180627179316
2019-8,437.9061352905134
2019-9,438.55428701365884
2019-10,439.156241374789
2019-11,439.70466296753347
2019-12,440.26212872461696
2020-1,441.8708004904564
2020-2,443.1015275605694
2020-3,444.23796159256256
2020-4,445.36802724949746
2020-5,446.60828006295975
2020-6,447.90763495148155
2020-7,449.2521909261079
2020-8,450.62555348872553
2020-9,452.0646572758416
2020-10,453.5740587707796
2020-11,455.12443147942497
2020-12,456.68053889140526
2021-1,459.1562416919888
2021-2,461.15487675125553
2021-3,463.17040057936583
2021-4,465.22258623924137
2021-5,467.3955564935755
2021-6,469.6567435412598
2021-7,471.9469990765845
2021-8,474.343545372001
2021-9,475.5519924091198
2021-10,476.9121549435523
2021-11,478.3796799357941
2021-12,479.96720713842836
2022-1,481.6928118580492
2022-2,482.43129242356974
2022-3,483.20321721892714
2022-4,484.0478979611114
