Ano,Contratação Comercial (Bi R$),Contratação  Home equity (Bi R$),Contratação  Livre (Bi R$),Contratação  FGTS (Bi R$),Contratação  SFH (Bi R$),Contratação Jurídico Comercial (Bi R$),Contratação Jurídico FGTS (Bi R$),Contratação Jurídico Livre (Bi R$),Contratação Jurídico SFH (Bi R$),Direcionamento Aquisição (R$),Direcionamento Construção (R$),Direcionamentos Reformas e Ampliações (R$),Direcionamento Aplicação (R$),Ativos Problemáticos - Comercial (R$),Ativos Problemáticos - Home equity (R$),Ativos Problemáticos - Livre (R$),Ativos Problemáticos - SFH (R$),Ativos Problemáticos - FGTS (R$),Ativos Problemáticos P.Jurídica - Comercial (R$),Ativos Problemáticos P.Jurídica - Home equity (R$),Ativos Problemáticos P.Jurídica - Livre (R$),Ativos Problemáticos P.Jurídica - SFH (R$),Carteira de Crédito - Comercial (R$),Carteira de Crédito – Home equity (R$),Carteira de Crédito – Livre (R$),Carteira de Crédito - FGTS (R$),Carteira de Crédito - SFH  (R$),Carteira de Crédito P.Jurídica - Comercial (R$),Carteira de Crédito P.Jurídica - Home equity (R$),Carteira de Crédito P.Jurídica -  Livre (R$),Carteira de Crédito  P.Jurídica - FGTS (R$),Inadimplência - SFH (%),Inadimplência - FGTS (%),Inadimplência - Livre (%),Inadimplência - Comercial (%),Inadimplência - Home equity (%),Inadimplência P.Jurídica - SFH (%),Inadimplência P.Jurídica - FGTS (%),Inadimplência P.Jurídica - Livre (%),Inadimplência P.Jurídica - Comercial (%),Poupança e Empréstimo - SBPE (R$), Títulos - LH (R$), Títulos – LIG (R$), Títulos – CRI (R$), Títulos – LCI (R$),Imóvel Área - Privativa (m²),Imóvel Área - Total (m²),Número de Apartamentos,Número de Casas,Valor Imóveis - Avaliação (R$),Valor Imóveis - Compra (R$),Quantidade de imóves - Condomínio,Quantidade de imóves – Isolado
2014,567641284.124733,2779340357.6933804,19543606476.373924,41433965653.544136,45701625325.37301,1011495538.2025765,1232343325.432653,3420812124.1238074,5088493730.326361,4142817755621.4224,295002623386.36523,7746344949.288436,4373069768779.274,251097559.61081755,13325736125.033554,24044564942.216137,111540687886.5387,121898753572.08731,224565968.5949357,6448063276.413103,1124944871.6563542,6534597933.781791,14717610607.912079,140639917421.832,836261269050.1871,1982138770660.6216,2609380131080.7856,14282695528.836937,69095287505.93262,318052015037.8993,323533933790.01746,1.4870805999791414,2.1088676986703856,1.5531763037649595,1.1014093838451207,5.020584392822706,0.6242588246614202,1.0890601349629625,0.8936409034993987,0.2690344931710104,6038777822351.111,14738559853.181026,1540389777.845091,658592169442.7872,2010184563868.8276,719.3035558531669,894.0668509567231,194735.91593397723,414993.0068965464,1957409.7798964342,1920887.0171081156,238875.43547471115,370853.4873558122
2015,517939238.67383534,2561731222.5542107,13275961988.63313,44697057489.85005,35397690168.08871,713859890.1155254,1796510097.9487064,2000000005.1740384,3627201873.6563406,4509033946145.6455,328303583933.8167,7759625828.95973,4598532448921.512,391032424.2545757,15403973087.028343,27738848181.493095,124088988944.38283,136645413739.87167,388418178.4192804,11381364056.53788,5913002131.374437,11288459643.49753,18908401650.856792,140633648040.34906,820295919193.5386,2282392102999.4546,2791846789824.1484,16330767821.122227,127744538393.93018,284200212511.5372,313608097899.61664,1.5556836838874044,1.9758179243054637,1.685830164263454,1.3423367999557454,5.51974136290487,1.091255755098307,1.5547161342885898,1.7445826836355331,0.9512980453803764,6056761724921.883,13819053598.007326,22833715.557007313,745034183509.1047,2157580139274.8005,718.02931465044,907.7720249280169,196102.39345321702,427315.5238469147,1972339.2558106629,1931955.077732808,251243.93937208963,372173.97792804125
2016,452414449.59277606,2516858999.9145513,10113703216.182528,46405443729.634636,34074110568.23899,644534477.7992187,2158540019.9782777,1665336879.8736622,3472210233.664446,4868614445084.972,356781671662.7797,7732886764.564512,4951267342649.448,459021480.00902784,15891923064.326984,28591763948.984554,130021353185.7134,150960524581.57535,645247082.3213054,16904911934.791348,16479116640.641111,24795089462.060955,20345953331.257866,140657692442.75854,778546212763.409,2587088619134.4014,2881541478458.3013,21960264467.735985,164283549223.45084,240310687441.347,283048384702.9844,1.531973007740766,1.914080495311462,1.6610318197057683,1.485108771667915,5.674187089555308,1.931094775296393,1.385614301338119,3.9985595730198846,2.1051248322527285,6245406272623.309,13539986929.712059,5785001514.356837,801013634212.4373,2155759554228.2927,717.4211292911449,934.2304047853744,199395.68756372557,450427.18623317045,2014251.1549957595,1965038.6978500136,275475.91391806107,374346.959878834
2017,421368923.96092516,2497710489.3912363,8456308930.63662,46078875524.86475,36807557457.81853,827285981.4366533,2800465449.356899,1622534053.9999099,4367617166.053492,5389552463437.291,403268753019.8243,7598330328.329899,5315585494138.967,465651742.3756932,14713638738.545403,27345827731.753017,126292691359.66742,164579496286.4998,964807328.9071486,22341699525.632717,27261640410.808662,42051886749.25944,21964411238.554573,138646191184.36032,737561391620.6583,2941743161106.6987,2954747023947.6685,26173448620.440228,176270800034.4364,197331059192.5203,230786036191.8125,1.4258739950407744,1.8999025653573074,1.5416718525006121,1.3907330850959143,5.33960302143674,3.3153591053549136,1.2936003994164142,7.177463198790058,2.9093911518672013,6624961867886.86,13077687778.130795,32579972430.700737,836615171090.8673,2078289208863.3445,720.1651498754231,968.7487097152081,204982.00064046582,479368.28302959015,2093807.1776645815,2030467.6911564348,307859.3675775162,376490.91609253926
2018,416657971.773468,2797145343.411456,7937759774.832973,44678779047.88002,47272304028.70153,1124212632.3422132,3283965914.0001664,2253292608.9346814,5597951524.087076,6005142584803.19,468361219420.5594,7288158604.526921,5441794135647.986,438193732.9088799,13391755377.216526,25467476947.567524,123119005360.19252,191182614561.11435,1230021064.9766467,23942347354.633484,29975789540.43991,50286563671.46742,22824846626.34768,135912396287.73633,692537124643.4064,3279978294825.4526,3072556422890.894,27311350746.522026,162717678412.6286,159195080370.44513,175958694146.21664,1.3049121384221214,1.9780127651885604,1.4218756445261818,1.2318836930480188,4.780211203634095,5.263571839898655,1.645466335611153,9.002911738389924,3.582092119772026,7145285140586.975,12503727838.747631,92561893298.01865,861734579355.5616,1927397842269.434,729.2199056597977,1003.5898359928187,215226.4327492268,510837.90764932206,2211926.3587798323,2132468.9408318386,345084.3112119321,380980.02918661677
2019,446262467.08708125,3484252131.967882,10912818230.091043,43790963690.29561,72273321219.67271,1266781965.3930693,2911811421.060453,3239161763.4562826,5802891003.933581,6719129674171.888,540390689781.5286,6789157717.104657,5626264133802.683,412740752.7246982,12897157952.631165,24077912342.986088,124240740752.36641,235935840113.71036,1225635237.1571994,20817247387.884434,26132803390.12081,50253238933.98237,21865585615.987854,137982924536.95035,662057550961.5187,3607273954468.518,3350149512098.619,26783578920.8476,136876642942.19421,130659608709.34415,132691536507.77283,1.1582902437602758,2.0776614529193114,1.278783618361498,1.1418740288244367,4.396670865483304,6.4421361877808865,1.731229221180701,9.556146291623245,4.212288781257897,7913517932710.876,11362841203.483057,190412686848.55594,904787295103.1433,1754375905043.0005,744.2611590596235,1026.616438803971,244539.83118641342,575809.2934024468,2349403.8251299625,2257938.091211776,397283.0654752689,423066.05911359127
2020,548941248.8396512,4114911169.0232,16253330331.288744,43209940984.066284,98092934177.95465,1654541707.2935677,2569169420.975532,4814714958.570644,6074371387.286965,7591249540349.218,626251389756.2969,6512378907.513092,6111466779225.309,396920780.6697044,11708394293.154976,22246123095.136475,126782739028.53084,290149969337.86847,979737183.1535088,15153196190.88566,20666337966.52529,47244381943.155464,21374168260.164978,145247908812.00647,681117341956.5228,3913183168747.9946,3860713258261.3296,25012001060.979473,116039116054.99686,121885024049.83446,105537660548.14711,1.002450459474104,2.226083720292309,1.099526668041195,1.0953585315270025,3.9564684525854723,5.3500179993918024,1.545854235879221,8.817920330819796,3.605302942871495,8604743091044.339,9296431199.414225,336232498555.7874,1027990877715.6128,1706876244145.6562,750.7706483620719,1039.5768504641894,260454.34985557798,606786.9584985743,2489808.9996513315,2387533.6351623936,428464.47119534295,438776.8371588094
2021,663881084.0830292,4421847576.98768,19330314206.164692,44880704614.59634,105893109231.91835,2156298980.3059096,3019004240.932615,6407699215.018869,6917481103.761177,8404229928048.164,717235540407.5847,6550284502.20561,6527497461542.859,391535583.74159366,10311548824.151617,20948003837.139076,133415314783.34462,334476312115.4581,817197991.8317666,10353703658.253922,16707191289.008652,45401583277.976944,22381428180.28515,154985405975.90744,736466109135.1836,4148228849514.7363,4382282298728.6245,24249740676.416595,107677982296.72087,129761174841.0552,97546425840.66498,0.949915403177859,2.370287934063007,1.0056392419902285,1.0889062835985117,3.477791314643014,3.551004815050595,1.5582710339726484,6.902811697428187,2.3859853367928303,8853422073856.291,6979326226.3190365,523979206656.8995,1213737851633.3481,1903121657844.02,746.3041019263434,1035.504820579469,251587.30763306303,574879.4537819596,2577047.2327862987,2466196.633466195,416332.4547861759,410134.3066288467
2022,701033243.4821082,4533216144.469487,19978882658.15001,46993191688.52692,104673621067.16,2202753048.676794,3385153713.95689,6913686925.231437,7270589591.290106,8730558413553.642,759027735430.7714,6630934217.644932,6650722568021.581,395203815.73915476,9978437563.54529,20873511077.124702,138871338047.1609,351527479587.9018,813484041.9437438,8827432477.85336,15427294793.992374,44945470283.96806,23124376332.97132,160531329491.7629,766910553433.3163,4243055565302.249,4594660304062.9,24732248675.142822,106998356192.16818,136406586677.23048,99082548572.67094,0.9402348976031688,2.3832543471013263,0.9753942398281499,1.0764324397149108,3.250096400852167,2.901738395249424,1.6742876677235143,5.660393590403672,1.951497487324932,8888513893897.898,6510392204.418055,622286395679.9285,1310433596558.3372,2063735313406.814,742.2346188324502,1029.2680603507167,240929.78239562854,545582.3354025813,2597539.2874154397,2481251.117042076,398759.3126532613,387752.8051449485
2023,114982320.82776059,739580728.1657072,3273415967.0945883,7701478365.972269,17358036423.178238,352384535.68397415,546142328.7041678,1076572505.7451127,1150601030.6747556,1447079699151.946,125487949093.91278,1104113426.5378575,1102927189440.0068,65868900.39244812,1681876867.4416332,3494885008.986562,23099745428.34255,58253089865.40941,134698994.53248104,1518871114.1994805,2598205013.8319874,7508021634.645357,3841457163.23178,26622660464.104355,127205913108.13525,705119825654.855,760446366793.7208,4101588908.2806745,17831255928.457947,22613584069.458534,16535519242.33574,0.15853318811426367,0.3988333864333821,0.16472691504636605,0.18095316652329033,0.5518883184765652,0.50697688197733,0.2716601382115625,0.995076912858568,0.34027746261720654,1478860004316.8535,1138187934.2745996,101292986315.1875,215823192074.96857,341993984347.95935,124.42743087913473,172.1258686056245,39920.22011573044,90017.3723168849,434346.54154692986,415215.66352933575,65513.64136521979,64423.95106739554
