Ano,Maranhão - PIB - Estadual,Maranhão - PIB - Construção Civil,Maranhão - PIB - Per Capita,Maranhão - PIB - Preços de Mercado
2008,45980849.204876,2691136.1643199893,6.129297322218233,39563328.38229249
2009,46300530.17685295,2690231.7121305494,6.126304464005554,39568530.94444481
2010,47510398.38378538,2700684.088175624,6.153754507098503,39888644.07991323
2011,48661805.25450345,2701549.2132819532,6.182819940686912,40180687.57828561
2012,49726897.272021525,2696496.542253753,6.20813676795803,40438653.15868942
2013,50621569.195371926,2675613.4606393185,6.222354448450024,40606873.93787259
2014,51321369.39550402,2651392.3438564534,6.227127047933349,40690302.14227192
2015,51748557.446944505,2602821.1889373926,6.218491244451361,40664523.832413
2016,52102808.82765121,2570100.7559723607,6.220889780482979,40696227.75944766
2017,52211653.42910741,2559679.426047081,6.221664744956404,40697247.41355375
2018,52134683.26498426,2563398.6668089037,6.219897125929379,40660595.647720195
2019,51681082.69304843,2580536.9237213503,6.20090657141364,40504291.87784252
2020,51190666.31337387,2602928.234579777,6.197992356036468,40439407.74015331
2021,50151743.52248243,2613053.4766681124,6.179648084598148,40241630.373494156
2022,48895019.375007086,2622835.6377271325,6.156726262794798,39994691.2354077
