Ano,Minas Gerais - PIB - Estadual,Minas Gerais - PIB - Construção Civil,Minas Gerais - PIB - Per Capita,Minas Gerais - PIB - Preços de Mercado
2008,311756364.9298958,18311092.865543142,14.350808519008638,281559889.10760385
2009,313661308.5500769,18510962.436949294,14.359229950203602,281640093.94202006
2010,321621246.78603643,18534100.903037727,14.420260190986172,283482096.3175527
2011,328395514.1808286,18496382.76545905,14.438707737233427,284404867.512001
2012,334110220.2606393,18392592.23406237,14.419985329840179,284752458.43594784
2013,338820674.0717538,18206586.497656364,14.387079518514021,284750484.9975504
2014,342247197.284231,17979826.479231246,14.35090309073961,284294174.2634522
2015,344729911.7002879,17749320.000490177,14.320707006564163,283847533.72161865
2016,346870767.11327314,17630971.437505636,14.32124073027288,283923881.815875
2017,348026313.9764459,17596699.49755367,14.33914923857372,284241519.9013618
2018,347856354.0416027,17658497.099598378,14.350033399102855,284285290.5706368
2019,345899735.7469648,17726573.167389113,14.340135877975978,283988772.1591588
2020,341947381.4378654,17765038.450221673,14.31986042635691,283343583.6538481
2021,335822725.7331202,17780334.95947028,14.306167123552948,282674722.5743979
2022,328393455.41846067,17808635.753527675,14.289269758431969,281834586.39643914
