Ano,Acre - PIB - Estadual,Acre - PIB - Construção Civil,Acre - PIB - Per Capita,Acre - PIB - Preços de Mercado
2008,7755114.203364897,422290.20206980547,9.424555243611112,6724366.086291776
2009,7805165.957534134,424173.603186159,9.409042241398247,6722104.546549075
2010,7991787.774392375,416829.6759184062,9.394383816794365,6762278.709879917
2011,8164219.641641234,410997.8752810527,9.386905584654908,6795421.262147043
2012,8325627.042250331,407346.95007445884,9.383420184567306,6827686.142368942
2013,8462721.704417042,403688.42817424977,9.371494020000128,6849507.566846702
2014,8560896.351340283,400704.12118773314,9.34326746456174,6852461.73082073
2015,8597115.636515724,391942.316577976,9.284503902763296,6825760.025932724
2016,8620855.11783036,389049.0905509605,9.247192815015781,6809907.032026213
2017,8632052.00614293,389052.07908830803,9.235469478922266,6808241.988984182
2018,8619421.175623687,391132.6831641892,9.229845429057741,6804838.123685982
2019,8563063.806940097,393404.51067989314,9.229435008931365,6792501.300367666
2020,8474524.794974843,395956.0067062282,9.239312622784704,6780171.2803533655
2021,8328314.777668074,399296.1379800864,9.262962450216419,6763503.264838437
2022,8150141.368556486,403056.7536943113,9.289289290108696,6741051.793450301
