Ano,Piauí - PIB - Estadual,Piauí - PIB - Construção Civil,Piauí - PIB - Per Capita,Piauí - PIB - Preços de Mercado
2008,22961561.98033609,1400358.718759109,6.253672843930922,19323300.84843705
2009,23188962.093459524,1418400.9471576225,6.277338847581737,19393331.2446264
2010,23854257.33973102,1441333.5082971496,6.33664385769329,19606353.489501305
2011,24474227.98741787,1448567.521842219,6.385667300878563,19785140.5302469
2012,25023367.222834237,1450922.7543133695,6.419744218531991,19918029.309846938
2013,25527594.944947228,1456056.7388053213,6.4516606772738525,20039208.22166595
2014,25974932.69883084,1458827.2174405586,6.481157764632998,20146485.949515477
2015,26237072.024457313,1443457.1234868974,6.481716244493627,20157766.405057646
2016,26453082.897402555,1433448.650220415,6.489827102468344,20189158.318351466
2017,26588158.9288433,1433525.753473607,6.502281192120114,20230426.4303515
2018,26573364.265848998,1435230.5736502418,6.498516235884453,20215802.99239019
2019,26360826.41609042,1440004.9343167972,6.475652438530998,20134902.914480478
2020,25986144.07223977,1444542.735761112,6.443468858975097,20018655.843980595
2021,25385177.67020819,1435365.7504180525,6.400409760518299,19865833.0380956
2022,24662120.038829237,1424500.745818799,6.348366898579335,19679972.34794123
