Ano,Rondônia - PIB - Estadual,Rondônia - PIB - Construção Civil,Rondônia - PIB - Per Capita,Rondônia - PIB - Preços de Mercado
2008,22084473.07476804,1637884.6237480463,11.68935108413137,18709413.23380135
2009,22264726.88261885,1643077.7772213235,11.684640472926935,18735288.355615526
2010,22858376.43970887,1640520.6342760557,11.724601740511307,18910993.627270393
2011,23381279.83709211,1618453.92870425,11.764179190281453,19030166.17538766
2012,23830981.734700974,1560372.2482778663,11.757681852187558,19105297.47658029
2013,24222721.71277601,1518707.1638362962,11.74171860716479,19160603.929625086
2014,24587089.251832895,1494999.017378023,11.767207581315393,19227961.864787627
2015,24869926.92272565,1466316.676318013,11.78809095366814,19275731.54268922
2016,25075340.307685606,1450032.936033697,11.811765300867615,19316373.0991863
2017,25170744.091944773,1454651.2309367226,11.835194922632143,19343712.261828307
2018,25100621.71247401,1463885.372307705,11.82965002284629,19304335.359425772
2019,24945806.764704764,1480709.2640131097,11.80871832232067,19263059.982110985
2020,24665082.186010174,1498354.3439448914,11.784931787525537,19202263.23594681
2021,24144350.655364398,1515081.2636943555,11.74843996107178,19090511.29538385
2022,23515301.085341297,1534687.6232118297,11.702767212162811,18951709.155220605
