Ano,São Paulo - PIB - Estadual,São Paulo - PIB - Construção Civil,São Paulo - PIB - Per Capita,São Paulo - PIB - Preços de Mercado
2008,1092395741.2604492,48530821.808441654,24.143786748838558,994682752.7793213
2009,1098669148.1212735,48733921.18837836,24.141550866181674,994709647.955655
2010,1124009557.107864,48847083.75251939,24.14660025342836,998521714.4278746
2011,1146636850.580524,48546802.588597745,24.13429247608535,1000761592.6766129
2012,1166721480.1770442,48239833.6669829,24.089660354023835,1002187927.3876883
2013,1184230644.2748942,47864231.40247139,24.04193208310752,1003186563.4677786
2014,1197826309.5656452,47354349.11679839,24.001434217041968,1003012298.6339333
2015,1206908784.1297653,46893355.66697188,23.951007674549853,1001921684.6217095
2016,1212819145.8663552,46509785.46040234,23.922374724767042,1001305154.982932
2017,1214213262.5789945,46325371.599349715,23.91073270279053,1000929035.7659045
2018,1211766386.6565664,46290300.20182891,23.902107532422296,1000150957.3953651
2019,1204757184.0384598,46358898.959503956,23.89587693714402,999236444.4912002
2020,1190467558.594783,46554134.72686777,23.874352079235994,996967125.2846129
2021,1171137051.6755404,46817153.64445695,23.90323974800481,995982341.5037926
2022,1147641558.3096585,47134210.182437986,23.936645318153023,994641855.9885861
