Ano,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s)
2008,12.692687428397711,1013.2296893688173,2586.438279545393,26.686274501797538,23.696582497033145,79.52047207353154,3.343796804161538
2009,14.565587382342297,1013.1673281421213,1929.1659820889934,26.8163938223189,23.06022332966587,77.67088331745903,3.3613464992510367
2010,16.790972643706453,1013.363227007599,1655.2919086714599,26.715684890222832,21.890152919288045,74.11550464774662,3.285877808014353
2011,17.73380867876545,1013.7134446617833,1515.2934814924095,26.636304611338655,20.489803369342777,70.7228222933424,3.172559465963826
2012,19.761558758760415,1013.8918041073798,1451.5670197491024,26.670891802607432,19.276376064684907,68.4442050018055,3.0960161097703858
2013,21.19398514314958,1014.1162499889583,1407.1000743929708,26.69607920708459,19.37470220441975,68.96360333297899,3.0069917554574133
2014,20.010392256145664,1014.3551161942964,1389.1882747656562,26.773638719754043,19.486559628566713,67.78298802170109,2.7993808702498755
2015,18.96608768228546,1014.4065174464795,1396.5190926486405,26.83859777193395,19.5782959758678,66.4974861965459,2.216394139728409
2016,18.08698636563128,1014.355534905802,1396.3313035649373,26.770657011223843,19.675460625982126,66.45765540289536,1.9437883772012816
2017,18.116371963533737,1014.3006741797082,1352.0429451553707,26.799279482854626,19.803362905668507,66.47817796878812,2.24876831812434
2018,18.626394256969334,1014.1885748273943,1309.5653749151752,26.90132468286673,19.661310978712624,65.12985101448727,2.409893235946198
2019,19.2397783618362,1014.0540240182359,1312.4245117907487,26.912622581312515,18.04989395263538,61.28149631926152,2.441780346383384
2020,19.018643043343978,1014.6079429358842,1340.6724069554382,26.89644191539752,16.666837466888907,58.94441013083892,2.4330430552589912
2021,19.325159717816124,1015.158296527651,1368.237269837164,26.8211900367175,16.635910364008645,59.13679394831087,2.4243205371014915
2022,19.585864415970914,1015.2090222187771,1389.6921352820555,26.758169374574766,16.802998403269466,59.05380231236607,2.4276582941175135
