Ano,Sergipe - PIB - Estadual,Sergipe - PIB - Construção Civil,Sergipe - PIB - Per Capita,Sergipe - PIB - Preços de Mercado
2008,22752425.640551355,1304488.4973560777,9.995682339630473,20468632.425148055
2009,22842023.77199188,1307161.5808623554,9.962428627247064,20414870.16044244
2010,23377408.29760286,1316093.7769044656,9.971938137567662,20524693.87945578
2011,23818282.958762497,1308563.1216484616,9.960907934024595,20561872.856243078
2012,24202220.196821894,1297618.8766124037,9.93685526562725,20579443.442121953
2013,24491519.668984435,1275642.9061369007,9.895912439351253,20553345.86071996
2014,24705914.540020626,1254701.6065681288,9.861954794783815,20510415.22310179
2015,24841087.77600065,1238715.632354209,9.830307120386303,20460445.572254777
2016,24926214.216652032,1222457.1740799116,9.814014341119622,20431965.90899522
2017,24975542.85882809,1205785.0390132826,9.822125581305862,20445128.350369096
2018,24934680.310631704,1197917.317183674,9.829109854197364,20441668.61824856
2019,24819314.1573418,1201062.7065963906,9.837050644395095,20445018.713538416
2020,24555194.9088007,1212774.0500106572,9.83805146503406,20418451.229418404
2021,24189814.261019085,1225823.9307264169,9.859825918791728,20416500.71649545
2022,23741704.127083894,1240387.6809800395,9.883406750470586,20406611.890062295
