,Paraná- custo m2 (R$),Paraná - IDH Renda,Paraná - Depósito Poupança (R$),Paraná - Desemprego,Paraná - Preço do Cimento,Precipitação (mm/day),Pressão Atmosférica (mB),Radiação Global - Dia (Kj/m²),Temperatura do Ar - Bulbo Seco (°C),Temperatura de Ponto de Orvalho (°C),Humidade Relativa do Ar (%),Velocidade do Vento (m/s),Paraná - IDH Longevidade,Paraná - Produção de Cimento (t),Paraná - IDH Educacao,Paraná - PIB - Estadual,Paraná - PIB - Construção Civil,Paraná - PIB - Per Capita,Paraná - PIB - Preços de Mercado,Paraná - IDH,Paraná - Consumo de Cimento (t),Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%)
2003-1,11767.369999999995,0.8001299560190078,13120294.7989858,8.284196000563572,0.3005681409516926,,,,,,,,0.8194249728919962,332.70556,0.7287277163455822,202714699.84994665,10606121.842161782,17.589536438314145,185178799.44847876,0.7768711500179231,189.804,384683.0938712437,7330309.193826131,231.51074798216845,2097000.9864067405,1.0365342950716354,3.656420434634564,0.9696488878423896,0.7240323223220154,-5331.049150116268,11.520142924731228,126.45980915464608,177206913.03714657,169.24766508395643,1.6114984011933968
2003-2,11852.421538461536,0.7997959303797709,13136186.835212767,8.277973017196762,0.3017099667323924,,,,,,,,0.8197700982704903,332.9459446153846,0.7290310883401615,202947665.4142885,10615969.641362855,17.592547588314833,185232581.42679504,0.7769750440731625,174.713,385266.2039276414,7335910.173263511,208.71015703269052,2000522.7967193644,0.9934494214635804,3.654696592424286,0.9507826970690516,0.6902970479188117,-5318.079644051534,11.189861881849811,126.58181336832098,177388401.60938227,170.1768096658525,1.4503889427633918
2003-3,11934.318945868945,0.7994619047405341,13152078.871439733,8.271750033829953,0.3026448470427943,,,,,,,,0.8201152236489844,335.2221298005698,0.7293344603347408,203180630.9786304,10625817.440563928,17.59555873831552,185286363.4051113,0.7770789381284021,180.801,385305.059559777,7341511.152700892,227.70484146326487,1963277.563715221,0.9730199952886446,3.654265631871717,0.9383319190618296,0.6696806488591152,-5436.417870121553,10.82079163233486,126.70381758199588,177569890.18161798,171.13571268536208,1.870184311511264
2003-4,12015.342874440375,0.7991278791012972,13167970.9076667,8.265527050463144,0.3034127546338425,,,,,,,,0.8204603490274784,334.78573694342697,0.72963783232932,203413596.54297224,10635665.239765,17.598569888316213,185340145.3834276,0.7771828321836416,180.172,385752.0526974837,7347112.132138272,278.1210725338106,1954186.9673829167,0.940488752580393,3.653595248789941,0.9264010581332036,0.6604937853917251,-5707.015273535643,10.417840426092068,126.8258217956708,177751378.75385368,172.11690429852618,1.3552874765398468
2003-5,12093.451150302446,0.7987938534620603,13183862.943893667,8.259304067096334,0.3040342479354767,,,,,,,,0.8208054744059726,335.050185219289,0.7299412043238993,203646562.1073141,10645513.038966076,17.6015810383169,185393927.36174396,0.7772867262388811,185.597,387164.02245145215,7352713.111575652,344.8276329403539,1975492.815967628,0.9174932274418915,3.650265742856423,0.9516834453474324,0.6483369045565663,-5599.317940972945,9.959689613256948,126.976217268469,177932867.32608938,173.07227137831447,1.5855384957135032
2003-6,12180.915150302444,0.7984598278228235,13199754.980120633,8.253081083729525,0.3049956267710458,,,,,,,,0.8211505997844667,334.53578521928904,0.7302445763184786,203879527.671656,10655360.838167148,17.60459218831759,185447709.3400602,0.7773906202941206,169.008,388761.2150297872,7358314.091013032,403.3358108738256,1998603.3336101088,0.9127593777790712,3.6467914899304974,0.9096671663294,0.6327588982490451,-5720.383331634745,9.432414860416127,127.12661274126718,178114355.8983251,174.08403528043308,1.7078914536714904
2003-7,12264.968376108896,0.7981258021835866,13215647.0163476,8.246858100362715,0.305278799577506,,,,,,,,0.8214957251629608,336.2189787676761,0.7305479483130579,204112493.23599783,10665208.63736822,17.607603338318278,185501491.3183765,0.7774945143493601,191.857,391151.2474962479,7363915.070450412,458.988731857359,2015092.1149275475,0.9100665913481976,3.64252033160977,0.8904414926874215,0.6380135035998685,-5884.375046061743,8.822929754380787,127.27700821406538,178295844.4705608,175.11686754427973,1.5982839320937383
2003-8,12328.331188608896,0.7977917765443497,13231539.052574567,8.240635116995904,0.3052859506554977,,,,,,,,0.8218408505414548,336.48644751767614,0.7308513203076372,204345458.80033976,10675056.436569294,17.610614488318966,185555273.2966928,0.7775984084045996,180.591,394602.69250520703,7369516.049887793,511.35366509461136,2025274.426403531,0.8898926477529421,3.637477796639721,0.8702308928724296,0.6346344548960355,-5959.855464930735,8.332469749880811,127.78581374211151,178477333.0427965,176.1781190591966,1.7218082520903182
2003-9,12387.795431033135,0.797457750905113,13247431.088801531,8.234412133629094,0.3054031766432326,,,,,,,,0.8221859759199489,335.8748717601003,0.7311546923022165,204578424.36468163,10684904.235770367,17.613625638319654,185609055.2750091,0.7777023024598392,176.074,399908.58800029097,7375117.029325173,553.8427506830036,2031413.005992216,0.8665147784673063,3.631689413765834,0.844478552685211,0.6323269495840285,-6014.809970017429,7.939983702859978,128.29461927015768,178658821.6150322,177.28690599934166,1.6351282376087797
2003-10,12447.10513691549,0.797123725265876,13263323.1250285,8.228189150262285,0.3050612209263981,,,,,,,,0.8225311012984431,335.0058423483356,0.7314580642967958,204811389.9290235,10694752.03497144,17.616636788320342,185662837.2533254,0.7778061965150787,191.866,405807.0561010996,7380718.008762553,592.2047551147313,2157686.7340271496,0.8493838484375612,3.625180711733593,0.8421829305905358,0.629038170305887,-6121.266757398654,7.604976000172705,128.80342479820382,178840310.1872679,178.40644498164465,1.8119435424411887
2003-11,12505.026851201204,0.7967896996266391,13279215.161255468,8.221966166895475,0.3046384271679931,,,,,,,,0.8228762266769372,334.8449280626213,0.731761436291375,205044355.49336535,10704599.834172511,17.619647938321034,185716619.2316417,0.7779100905703181,172.099,410971.7288202781,7386318.988199934,623.3781786324848,2314384.902305873,0.8382390949358776,3.61797721928848,0.8327971802717965,0.6315074373857803,-6097.745583517717,7.313008932848318,129.56686929035564,179021798.7595036,179.4957290410064,1.6375042967189617
2003-12,12561.51240675676,0.7964556739874024,13295107.197482431,8.215743183528666,0.3041331409213106,,,,,,,,0.8232213520554312,335.205844729288,0.7320648082859543,205277321.05770725,10714447.633373586,17.622659088321722,185770401.209958,0.7780139846255577,165.917,414731.1569842756,7391919.967637314,635.2966266455436,2399709.7029366046,0.8211746264022252,3.6101044651759793,0.8169855326871092,0.6292469617617195,-6082.10009002275,7.034262103245153,130.33031378250743,179203287.3317393,180.5826505067935,1.7623760541706297
2004-1,12615.57267702703,0.7961216483481655,13310999.2337094,8.209520200161856,0.3035435360756226,1.5376186295962009,913.0454479041632,1151.7408490203688,18.610064465584166,13.217334675020451,74.89401227406196,2.5149780819340446,0.8235664774339253,335.64152040496367,0.7323681802805336,205510286.62204912,10724295.43257466,17.62567023832241,185824183.1882743,0.7781178786807972,185.712,417533.7771609108,7397520.947074695,608.3645349020483,2379575.1981304954,0.8146624868021721,3.6015879781415734,0.8183674345886709,0.6279521987366027,-6360.043009879893,6.775421109777445,131.09375827465925,179384775.903975,181.71762234118845,1.3607725559131063
2004-2,12667.814782290188,0.7958067612834216,13270972.093715884,8.207621545953984,0.3028718450751919,1.5378521736510724,913.0441495298124,1151.895913946316,18.607012055742764,13.216297684177922,74.89457797004167,2.5149780819340446,0.8238606420406923,334.80896777338467,0.7326616591408862,205724769.178733,10734030.447113454,17.62831045660645,185866691.01920497,0.7782135578837621,170.875,422402.9868290372,7402970.507331404,587.1238050372627,2286865.77068742,0.7877508194696684,3.592453286930746,0.813175865272952,0.6179234500456987,-6312.09879505444,6.535527586437412,131.98976210790366,179558325.62127495,182.87265024146924,1.2915557727587674
2004-3,12717.622731008138,0.7954918742186778,13230944.953722369,8.205722891746111,0.3021204419337771,1.5379884076830812,913.0433921447744,1151.9863684864515,18.60523148333528,13.215692772853112,74.89490795936315,2.5149780819340446,0.8241548066474593,335.5784293118463,0.7329551380012388,205939251.7354169,10743765.46165225,17.630950674890492,185909198.85013568,0.778309237086727,204.477,428940.3527979896,7408420.067588114,570.3798396602158,2267168.0966155827,0.7462153668542578,3.5827259202889805,0.7940584078254243,0.6110282002564377,-6382.974247910342,6.304693993612522,132.88576594114804,179731875.3385749,184.0434969224516,1.3153702879685611
2004-4,12765.542731008138,0.795176987153934,13190917.81372885,8.203824237538239,0.3012876820440521,1.5380030041865107,913.0433109963776,1151.9960600443233,18.605040707720192,13.215627960925454,74.89494331536189,2.5149780819340446,0.8244489712542264,334.4116793118463,0.7332486168615914,206153734.29210076,10753500.476191044,17.63359089317453,185951706.6810664,0.7784049162896919,173.662,437138.8679254053,7413869.627844823,552.5537154986056,2235945.485366601,0.7161196882161044,3.57243140696176,0.7742123337341686,0.602215193421453,-6659.524121320398,6.092845857236326,133.78176977439244,179905425.05587482,185.9739836449516,1.2716511611761512
2004-5,12812.219804178869,0.7948621000891901,13150890.673735334,8.201925583330366,0.3003718759144814,1.5809193500051162,913.0925464426992,1141.7381120352647,19.57958139106218,13.383378138603852,71.38140810984676,2.639484013228795,0.8247431358609935,334.9486061411146,0.733542095721944,206368216.8487846,10763235.490729837,17.63623111145857,185994214.51199707,0.7785005954926567,162.633,444435.64414467895,7419319.188101534,543.5801122244274,2247614.438896437,0.6877653033067546,3.5615952756945672,0.7850618617376672,0.5930166849467975,-6639.092352241397,5.906435456003245,134.40983551104517,180078974.77317473,187.9511162408295,1.3496753218264288
