Ano,Contratação Comercial (Bi R$),Contratação  Home equity (Bi R$),Contratação  Livre (Bi R$),Contratação  FGTS (Bi R$),Contratação  SFH (Bi R$),Contratação Jurídico Comercial (Bi R$),Contratação Jurídico FGTS (Bi R$),Contratação Jurídico Livre (Bi R$),Contratação Jurídico SFH (Bi R$),Direcionamento Aquisição (R$),Direcionamento Construção (R$),Direcionamentos Reformas e Ampliações (R$),Direcionamento Aplicação (R$),Ativos Problemáticos - Comercial (R$),Ativos Problemáticos - Home equity (R$),Ativos Problemáticos - Livre (R$),Ativos Problemáticos - SFH (R$),Ativos Problemáticos - FGTS (R$),Ativos Problemáticos P.Jurídica - Comercial (R$),Ativos Problemáticos P.Jurídica - Home equity (R$),Ativos Problemáticos P.Jurídica - Livre (R$),Ativos Problemáticos P.Jurídica - SFH (R$),Carteira de Crédito - Comercial (R$),Carteira de Crédito – Home equity (R$),Carteira de Crédito – Livre (R$),Carteira de Crédito - FGTS (R$),Carteira de Crédito - SFH  (R$),Carteira de Crédito P.Jurídica - Comercial (R$),Carteira de Crédito P.Jurídica - Home equity (R$),Carteira de Crédito P.Jurídica -  Livre (R$),Carteira de Crédito  P.Jurídica - FGTS (R$),Inadimplência - SFH (%),Inadimplência - FGTS (%),Inadimplência - Livre (%),Inadimplência - Comercial (%),Inadimplência - Home equity (%),Inadimplência P.Jurídica - SFH (%),Inadimplência P.Jurídica - FGTS (%),Inadimplência P.Jurídica - Livre (%),Inadimplência P.Jurídica - Comercial (%),Poupança e Empréstimo - SBPE (R$), Títulos - LH (R$), Títulos – LIG (R$), Títulos – CRI (R$), Títulos – LCI (R$),Imóvel Área - Privativa (m²),Imóvel Área - Total (m²),Número de Apartamentos,Número de Casas,Valor Imóveis - Avaliação (R$),Valor Imóveis - Compra (R$),Quantidade de imóves - Condomínio,Quantidade de imóves – Isolado, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Ceará - Valor Cimento Portland,Distrito Federal - IDH Longevidade,Distrito Federal - IDH Educacao,Distrito Federal - IDH,Distrito Federal - Produção de Cimento (t),Distrito Federal - IDH Renda,Distrito Federal - Consumo de Cimento (t),Distrito Federal - Desemprego,Distrito Federal - PIB - Estadual,Distrito Federal - PIB - Construção Civil,Distrito Federal - PIB - Per Capita,Distrito Federal - PIB - Preços de Mercado
2003,599922208.4168676,2428731905.755951,18633667184.19988,11249926229.89705,37750106213.05969,1809535046.9047503,616238165.0360584,5122550046.005999,7083133181.054678,1562191893802.8103,124692983170.27284,8452818589.850919,1383068251770.0474,94254141.5476677,5253123238.477337,6435106945.430812,44494730415.61745,55328416883.31481,201620829.1172326,3594731371.4731264,4362668039.353289,8834062040.428474,4967921020.210137,109948413782.6515,923110542551.2688,799042083093.2524,845945056206.5048,5958447223.954896,30024307573.143448,236604723973.2381,242939121983.37567,1.5556146260032049,2.465974337983881,1.596579426410174,0.3021037668919621,3.984483893276083,0.8233686608933019,0.345608481523769,1.4724186062333648,0.6071597973701234,1865553160348.6265,14548938898.93429,96188892437.26102,230698610998.10248,988957407704.9838,557.9224440020444,578.7137704263589,60471.72645074613,167307.12251987404,605437.0195291007,581244.3190235716,98325.10155087244,352488.59434433846,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,3.5803013862385384,0.8355627451769985,0.7851372444068995,0.8269707095205188,2006.5107471536844,0.8719275202818819,635.841,8.293882125751406,118401741.72880124,3570615.8656266965,43.6394300247382,109246465.15686002
2004,585122260.7907894,2506090218.3186617,19649422467.878803,11752778966.27265,40264190252.24223,2015669837.358864,539641326.8655761,5449926700.399085,7384787256.244952,1574016099586.237,124430685579.30284,8481750156.532646,1453546925726.6206,79112803.19952716,5049307592.67145,6303659521.885054,46785697318.91264,56325994447.46886,201719329.5260913,3113908150.794464,4182291627.454215,8283233916.841002,4322363521.27912,110447490427.2212,913342790335.6018,794634406594.1859,861479989250.3994,6875837610.89859,23267779966.234573,238342563052.36743,245792279646.40924,1.5382213177126172,2.4698204360246403,1.5442834892578876,0.3134428014202386,3.8937127599503616,0.7430039258576828,0.2561304946299689,1.4010439304697904,0.5632616040528291,2010747647537.56,14663588537.8543,86953425021.79129,231926920656.72995,979725215758.1003,562.1590746299478,587.7547956323981,62711.81282949424,174809.3084633578,624232.2833554746,601061.7171838669,99401.47983739249,353291.4037509048,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,3.5215207917181077,0.8398717903044195,0.7872453276634966,0.8280775357758932,2207.532012052398,0.8689276207373906,771.216,8.22193888772809,120194635.9385556,3601434.380336814,43.7818724924892,109918524.1406732
2005,559030789.6706587,2649360760.942081,21580671395.30798,12565000095.989653,44986918930.99983,2402642282.983001,396881254.4086658,6065173804.705406,7948531420.579174,1606744155419.3792,124607833056.08408,8537453099.331669,1599110756679.9006,50921243.42327331,4563022364.697053,5843576169.666194,50235056772.642166,58471287671.4028,201885210.5788338,2207798489.950223,3825268380.85583,7227321324.852587,3137513396.031152,111095900281.8166,894549704199.1765,790906541502.369,897959978180.4724,8645515628.463766,10600071089.761684,241986667637.17352,251526348350.4532,1.505005397898706,2.4825026863477766,1.445806182837518,0.3378957026260107,3.706976523101377,0.5897231094630815,0.0892505990855659,1.2630495304012597,0.4783910840018758,2302750330819.79,14882126853.401695,68616671327.6301,235964912750.851,951477916098.4022,568.6075349471646,600.9303911795121,67387.50818835344,185657.504336058,664064.7446104771,642819.6467581992,101933.3391827252,354431.18965571554,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,3.627456603476716,0.8435347834963541,0.7893474094773635,0.8290604822023551,2364.080882517635,0.8660530577019933,855.531,8.19457838860471,121830710.8062959,3601500.864028232,43.90003789853892,110451503.0137269
2006,526426955.8940722,2833245910.6193547,24059198085.5255,13736217497.798891,51059781212.462654,2889954428.0029254,218686182.3402761,6842013409.5346985,8653758870.124128,1668477545990.543,126139827669.19626,8610326411.684175,1808215978237.5525,16049458.747948816,3953287802.528928,5284023327.849661,54704196060.64295,61711196995.634056,202114631.2860092,1066768037.0187228,3340065498.8135586,5856827101.868865,1698266752.139408,112005416756.00291,869923231927.4854,795115766971.9213,958223718158.7347,10967502156.302252,267767977.36932087,247319536282.52435,259483153015.1823,1.4620826459181795,2.4987131824172084,1.320154094271415,0.3751137420788985,3.469368826989155,0.3922024129093315,0.0,1.0817075796275255,0.3667416693684941,2708239667657.473,15164186360.319654,43566766748.17378,244391213159.3433,917590494806.1945,576.99157761801,617.9291142524362,74197.65866224446,199584.3035699213,722999.5849773124,704211.9589614649,106091.35626400245,355859.45299606,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,3.768483221200225,0.8465623704060842,0.7914344001983653,0.8299213838406077,2552.2619326987674,0.8632895901899588,747.184,8.10663679851972,123329653.09616631,3585655.002200046,44.00280856221099,110902540.528997
2007,492089924.3801255,3032447596.1696506,26716785934.286327,15316053306.67867,57624260321.463234,3397108027.9750366,43204817.702648856,7654166703.719903,9379862220.098564,1767317805703.6045,129942073759.82356,8690769056.8836,2069318825597.806,0.0,3379124096.585193,4854169682.003291,60054495665.37372,65992619280.0271,202403719.4178441,90530237.25295693,2775150177.654185,4362253752.528165,336831000.6783275,113287813316.87064,842655370546.5569,814519373060.1842,1045109891667.3608,13541816590.610443,0.0,254123667441.13425,269004517166.08124,1.4155688595570248,2.513144035269745,1.1863339473291037,0.4247480581460682,3.225983342950716,0.1791180228464343,0.0,0.8802901994760944,0.2425068255880356,3193894083877.8057,15469399214.083994,14194206109.790794,258784475094.23404,891437976057.2992,587.0349501242827,638.4395396404055,82841.10797150701,216322.3064717515,799102.0220375914,782932.5319894522,112046.21936480537,357527.6930942656,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,3.8696484215263216,0.8489651966868916,0.7934972101763678,0.8306620757313545,2607.6574362785477,0.860622977215556,808.342,8.077712830330563,124644888.1771533,3601929.5977686755,44.06990176321654,111220617.00499424
2008,460798860.047914,3221667746.412136,29185218337.34541,17354129657.607296,63821839482.83412,3843604838.455734,0.0,8375354876.093966,10006234085.721226,1911366468962.44,136929975669.15018,8769179998.223375,2370875533958.8906,0.0,2999551437.283964,4783183917.694922,66147336069.293175,71262451384.4464,202748602.7445649,0.0,2178989613.704493,2934103781.468815,0.0,115054863431.51016,815938117082.4207,856374649824.4998,1161457181188.5237,16068478327.584734,0.0,262181559565.7176,279432264328.6345,1.3715798366012275,2.5204873559421954,1.0633524657801106,0.4864497891946864,3.0219137423230773,0.013866264372706,0.0,0.6820695112744714,0.1198800180958516,3726392005307.984,15757397570.170538,0.0,280723351767.5507,886395384027.5382,598.4613999477816,662.1502421326556,93016.6998364808,235604.1133483521,890437.2733729254,876675.2440379491,119968.61676871506,359387.4092726594,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,3.929539323600171,0.8507539079920586,0.7955267497612364,0.8312843929152989,2685.923746472384,0.8580389777930537,909.713,8.042711254873264,125779594.79229128,3618753.20103914,44.11156222752751,111432079.9657551
2009,437332927.8165333,3375608290.165978,31096278690.45769,19900068685.56307,68794001921.40785,4148946615.001417,0.0,8879299115.489828,10412267082.210863,2108725070170.9248,148018937738.36032,8835958198.996933,2701342338519.036,0.0,2973590015.043359,5300234720.492391,72844097754.86006,77467590168.7564,203145409.036398,0.0,1600051003.291272,1762879693.3291435,0.0,117418340567.01192,792963468561.1053,927938887322.2096,1310104269204.3977,18247506763.42152,0.0,271275711108.98865,290108218028.3267,1.336231374836775,2.515435255471369,0.9702163733939608,0.5598700735919194,2.902253696443258,0.0,0.0,0.5103176363501621,0.019013125401501,4272411857775.202,15987813584.055107,0.0,311786496391.3206,915837742892.7332,610.9946745703056,688.7497965184218,104423.27797750558,257162.32450652696,995070.5565649248,983133.973302744,130029.23675931271,361390.1008535689,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,4.081057504396806,0.8519391499748672,0.7975139293028365,0.8317901704331441,2935.357560268724,0.8555233509367206,991.263,8.070884549770339,126604242.80572905,3629544.6318739383,44.14154184770718,111472737.40056786
2010,426471292.6050791,3468971156.2503443,32081750389.37813,23003492525.5243,71682230862.01695,4232635113.168486,0.0,9039720610.740437,10477353824.786222,2367495143732.9355,164124364308.63815,8881502622.497705,3049175474476.4727,0.0,3460260020.2814937,6634490775.963533,80006161204.53308,84554932492.82158,203590266.0635699,0.0,1086801542.7413044,1039083992.7474772,0.0,120490018190.46634,776923422008.6403,1036469375610.656,1493889838197.1558,19778921294.3172,0.0,281188620523.66174,300374201790.6424,1.315639272049653,2.492679844894075,0.9259323939401806,0.644660049704934,2.912096876648277,0.0,0.0,0.3883066960306727,0.0,4798632067106.658,16120279411.213528,0.0,353552562177.5711,993140076828.7062,624.3585214736538,717.9267775869395,116759.68611492107,280729.54025307955,1111067.0891952014,1100002.5979796243,142398.76762017942,363487.2671593212,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,4.272214317455631,0.852531568288599,0.7994496591510338,0.8321812433255937,3227.460075979423,0.8530618556608257,1167.604,8.035310333092589,129600477.97242706,3625995.8490768378,44.11662641574443,112032143.61759096
2011,432993119.33264667,3476458273.484403,31773416829.861683,26714023312.469288,71628009529.49397,4014172088.513339,0.0,8730340550.678726,10080886928.666052,2695778224052.3486,186161659721.16788,8896212232.019123,3402831177029.4287,0.0,4618581643.416486,9015120769.676188,87494906900.77095,92471375216.5064,204079301.59630707,0.0,687708428.3813765,953219184.3621454,692158955.7895911,124381669768.96384,771009974451.0542,1189223404747.18,1715652570648.973,20362741316.46816,0.0,291702786262.45123,309572039141.0661,1.3159193260258488,2.446913235247122,0.9495072511882956,0.7404708559008961,3.096536954275155,0.0,0.0,0.3393088116435085,0.0,5271731059129.546,16114427207.12162,0.0,407600202338.3295,1131677410011.2788,638.276688139625,749.3697601274439,129724.767969067,306038.3608948136,1236492.0888453657,1224974.996264379,157247.89763489633,365630.4075122436,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,4.332789632908793,0.8525418085865366,0.8013248496556937,0.832459446633351,3532.866309041502,0.8506402509796378,1277.89,8.024652667328073,132302517.99378416,3587905.984909986,44.02275371505114,112410349.19528648
2012,461677572.9183319,3372771570.687321,29803061407.663296,31081283181.376343,67772821148.67145,3413059296.5923777,127661393.59824142,7824880124.13765,9102259009.069098,3101675845533.04,215046228317.1337,8870485990.854622,3750765681376.135,20846466.438168302,6607575074.866452,12671293387.19819,95171715326.0324,101163815199.67534,204608643.404836,220083265.00830096,451238856.5382747,1695787772.8114753,3674697983.340872,129205068769.59486,778415122914.3765,1393458264789.1238,1978231149042.0212,19698986226.0708,0.0,302600706778.0714,317043553605.0824,1.3431873345513483,2.37282753756732,1.0599476689078315,0.8469536305469726,3.500667600660907,0.0,0.0004447435552651,0.3865961045161752,0.0,5658387259671.063,15929889127.255207,0.0,475508070085.6232,1344824766616.2732,652.472922050018,782.7673189291705,143017.36726028306,332821.3867385328,1369410.7730970287,1355745.046352795,174747.31508704458,367771.0212346634,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,4.383850635234274,0.8518968565656567,0.8026612228956229,0.8323801481481481,3799.093892491614,0.8482442959074257,1261.667,10.763244607244609,134810849.25412846,3550906.444352927,43.92639693480095,112765217.51323693
