Ano,Ceará - Valor Cimento Portland,Distrito Federal - IDH,Distrito Federal - Produção de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Distrito Federal - Consumo de Cimento (t),Distrito Federal - Desemprego,Distrito Federal - PIB - Estadual,Distrito Federal - PIB - Construção Civil,Distrito Federal - PIB - Per Capita,Distrito Federal - PIB - Preços de Mercado
2003,3.5803013862385384,0.8269707095205188,2006.5107471536844,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,635.841,8.293882125751406,118401741.72880124,3570615.8656266965,43.6394300247382,109246465.15686002
2004,3.5215207917181077,0.8280775357758932,2207.532012052398,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,771.216,8.22193888772809,120194635.9385556,3601434.380336814,43.7818724924892,109918524.1406732
2005,3.627456603476716,0.8290604822023551,2364.080882517635,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,855.531,8.19457838860471,121830710.8062959,3601500.864028232,43.90003789853892,110451503.0137269
2006,3.768483221200225,0.8299213838406077,2552.2619326987674,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,747.184,8.10663679851972,123329653.09616631,3585655.002200046,44.00280856221099,110902540.528997
2007,3.8696484215263216,0.8306620757313545,2607.6574362785477,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,808.342,8.077712830330563,124644888.1771533,3601929.5977686755,44.06990176321654,111220617.00499424
2008,3.929539323600171,0.8312843929152989,2685.923746472384,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,909.713,8.042711254873264,125779594.79229128,3618753.20103914,44.11156222752751,111432079.9657551
2009,4.081057504396806,0.8317901704331441,2935.357560268724,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,991.263,8.070884549770339,126604242.80572905,3629544.6318739383,44.14154184770718,111472737.40056786
2010,4.272214317455631,0.8321812433255937,3227.460075979423,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,1167.604,8.035310333092589,129600477.97242706,3625995.8490768378,44.11662641574443,112032143.61759096
2011,4.332789632908793,0.832459446633351,3532.866309041502,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,1277.89,8.024652667328073,132302517.99378416,3587905.984909986,44.02275371505114,112410349.19528648
2012,4.383850635234274,0.8323801481481481,3799.093892491614,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,1261.667,10.763244607244609,134810849.25412846,3550906.444352927,43.92639693480095,112765217.51323693
