Ano,Rio de Janeiro - IDH,Rio de-01eiro - Valor Cimento Portland, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Rio De Janeiro - Consumo de Cimento (t),Rio de Janeiro - Desemprego,Rio de Janeiro - PIB - Estadual,Rio de Janeiro - PIB - Construção Civil,Rio de Janeiro - PIB - Per Capita,Rio de Janeiro - PIB Preços de Mercado,Rio De eiro-01 - Produção de Cimento (t)
2003,0.7734886331867591,3.641733624100432,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,3021.269,8.356511888457344,358342991.36765146,18135342.363087524,22.143720290058155,347284638.94006354,2377.549731498577
2004,0.7741934970519336,3.879150636820998,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,3092.53,8.282350092264025,363156478.8674363,18204154.014624204,22.209809501267586,348736556.8433739,2400.4246057110404
2005,0.774914072334706,3.9698208448747594,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,3324.329,8.259763039856233,367454632.94084805,18237159.59127156,22.25979077237725,349787621.8476636,2511.833085667106
2006,0.7756527991642297,3.958649255342973,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,3665.682,8.165392012656794,371149783.6987555,18312864.6513716,22.28690896734771,350398376.3059295,2676.4314425138364
2007,0.776412117669658,3.899248604239629,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,4107.097,8.139058210482201,374242502.5768266,18410569.103531394,22.295610400714757,350627883.9779636,2858.5546488205173
2008,0.7771944679801444,3.862900180367616,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,4300.676,8.106163451388275,376908687.97012544,18487628.31364392,22.305021986599357,350764513.0354468,3010.012911199646
2009,0.7780022902248424,3.9340974143188494,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,3966.93,8.134661174050212,378412059.60460657,18570759.465808067,22.27511158364933,350203741.3882243,3108.577595105838
2010,0.7788380245329052,4.053038360580213,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,4199.911,8.098147129253118,386845816.2172179,18574789.222003598,22.28629731726119,351221029.43345445,3181.826391983089
2011,0.7797041110334865,4.190909471294139,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,4390.254,8.084479172213154,394290094.9316423,18489676.27363901,22.267032802480017,351684923.04141444,3209.63842389393
2012,0.780264435016835,4.443161031514886,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,4733.6320000000005,9.89133608058608,400285987.70081335,18386310.97256565,22.20415495603591,351389387.70276195,3199.169780410986
2013,0.781786471268238,4.764618328438133,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,4864.477,10.961498768345576,404727754.5157352,18208617.997158635,22.108996475573417,350451492.76502115,3078.657877402754
2014,0.7829353438739245,5.0791449693068165,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,4454.468,11.800433779992137,407640408.2114642,17912998.234388612,21.995673445645156,349070584.8811718,2795.256292204249
2015,0.7831799558634182,5.265287080046461,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,3639.072,12.471375096502694,408835820.86976206,17600070.413292862,21.8696098537506,347361767.54732764,2440.5393733894166
2016,0.784651473274765,5.274681445945901,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,2811.648,12.865738900764708,410307927.7602457,17407783.389790136,21.823613136303177,346856900.058736,2231.5956246091628
2017,0.7842561526633801,5.291296080601339,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,2284.918,12.72861709829662,411838084.9588817,17292656.08509719,21.853350912009457,347489758.8124075,2351.8362506948565
