,Acre - Consumo de Cimento (t),Acre- custo m2 (R$),Acre - IDH Longevidade,Acre - IDH Renda,Acre - Desemprego,Acre - IDH,Acre - PIB - Estadual,Acre - PIB - Construção Civil,Acre - PIB - Per Capita,Acre - PIB - Preços de Mercado,Acre - IDH Educacao,Acre - Depósito Poupança (R$),Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%)
2003-1,3.26,10254.061199999998,0.773064968209765,0.6517258996966745,8.722906022641007,0.6913196105136911,7285706.872941417,413409.2550318821,9.31841697787915,6587220.475573105,0.6438054571016973,247158.775150397,384683.0938712437,7330309.193826131,231.51074798216845,2097000.9864067405,1.0365342950716354,3.656420434634564,0.9696488878423896,0.7240323223220154,-5331.049150116268,11.520142924731228,126.45980915464608,177206913.03714657,169.24766508395643,1.6114984011933968
2003-2,2.191,10335.111969230767,0.773454156278328,0.6518467365452473,8.718027644539344,0.6916169826942586,7294880.829876093,413607.8435604468,9.319989882660902,6590337.579387951,0.6442698843269065,248180.77573238045,385266.2039276414,7335910.173263511,208.71015703269052,2000522.7967193644,0.9934494214635804,3.654696592424286,0.9507826970690516,0.6902970479188117,-5318.079644051534,11.189861881849811,126.58181336832098,177388401.60938227,170.1768096658525,1.4503889427633918
2003-3,2.154,10411.052709971507,0.7738433443468912,0.6519675733938199,8.713149266437682,0.6919143548748261,7304054.78681077,413806.43208901136,9.321562787442655,6593454.683202797,0.6447343115521155,249202.77631436384,385305.059559777,7341511.152700892,227.70484146326487,1963277.563715221,0.9730199952886446,3.654265631871717,0.9383319190618296,0.6696806488591152,-5436.417870121553,10.82079163233486,126.70381758199588,177569890.18161798,171.13571268536208,1.870184311511264
2003-4,2.643,10486.231638542937,0.7742325324154542,0.6520884102423927,8.70827088833602,0.6922117270553937,7313228.743745446,414005.020617576,9.323135692224406,6596571.787017643,0.6451987387773246,250224.7768963473,385752.0526974837,7347112.132138272,278.1210725338106,1954186.9673829167,0.940488752580393,3.653595248789941,0.9264010581332036,0.6604937853917251,-5707.015273535643,10.417840426092068,126.8258217956708,177751378.75385368,172.11690429852618,1.3552874765398468
2003-5,2.546,10566.989914405003,0.7746217204840172,0.6522092470909654,8.703392510234357,0.6925090992359612,7322402.700680124,414203.60914614063,9.32470859700616,6599688.890832489,0.6456631660025336,251246.77747833068,387164.02245145215,7352713.111575652,344.8276329403539,1975492.815967628,0.9174932274418915,3.650265742856423,0.9516834453474324,0.6483369045565663,-5599.317940972945,9.959689613256948,126.976217268469,177932867.32608938,173.07227137831447,1.5855384957135032
2003-6,3.04,10631.423914405004,0.7750109085525804,0.6523300839395382,8.698514132132694,0.6928064714165287,7331576.6576148,414402.1976747053,9.326281501787912,6602805.994647335,0.6461275932277427,252268.7780603141,388761.2150297872,7358314.091013032,403.3358108738256,1998603.3336101088,0.9127593777790712,3.6467914899304974,0.9096671663294,0.6327588982490451,-5720.383331634745,9.432414860416127,127.12661274126718,178114355.8983251,174.08403528043308,1.7078914536714904
2003-7,4.963,10694.3210111792,0.7754000966211434,0.6524509207881108,8.693635754031032,0.6931038435970962,7340750.614549477,414600.78620326985,9.327854406569664,6605923.098462181,0.6465920204529518,253290.7786422975,391151.2474962479,7363915.070450412,458.988731857359,2015092.1149275475,0.9100665913481976,3.64252033160977,0.8904414926874215,0.6380135035998685,-5884.375046061743,8.822929754380787,127.27700821406538,178295844.4705608,175.11686754427973,1.5982839320937383
2003-8,2.924,10753.1338236792,0.7757892846897064,0.6525717576366836,8.68875737592937,0.6934012157776638,7349924.571484153,414799.37473183445,9.329427311351417,6609040.202277027,0.6470564476781608,254312.7792242809,394602.69250520703,7369516.049887793,511.35366509461136,2025274.426403531,0.8898926477529421,3.637477796639721,0.8702308928724296,0.6346344548960355,-5959.855464930735,8.332469749880811,127.78581374211151,178477333.0427965,176.1781190591966,1.7218082520903182
2003-9,5.276,10810.976247921624,0.7761784727582696,0.6526925944852564,8.683878997827707,0.6936985879582314,7359098.52841883,414997.9632603991,9.33100021613317,6612157.306091873,0.64752087490337,255334.77980626436,399908.58800029097,7375117.029325173,553.8427506830036,2031413.005992216,0.8665147784673063,3.631689413765834,0.844478552685211,0.6323269495840285,-6014.809970017429,7.939983702859978,128.29461927015768,178658821.6150322,177.28690599934166,1.6351282376087797
2003-10,5.262,10868.405953803978,0.7765676608268326,0.6528134313338291,8.679000619726043,0.6939959601387988,7368272.485353507,415196.5517889637,9.332573120914924,6615274.409906719,0.647985302128579,256356.78038824772,405807.0561010996,7380718.008762553,592.2047551147313,2157686.7340271496,0.8493838484375612,3.625180711733593,0.8421829305905358,0.629038170305887,-6121.266757398654,7.604976000172705,128.80342479820382,178840310.1872679,178.40644498164465,1.8119435424411887
2003-11,5.041,10923.642810946836,0.7769568488953956,0.6529342681824019,8.674122241624382,0.6942933323193664,7377446.442288184,415395.14031752833,9.334146025696676,6618391.513721566,0.6484497293537881,257378.7809702312,410971.7288202781,7386318.988199934,623.3781786324848,2314384.902305873,0.8382390949358776,3.61797721928848,0.8327971802717965,0.6315074373857803,-6097.745583517717,7.313008932848318,129.56686929035564,179021798.7595036,179.4957290410064,1.6375042967189617
2003-12,4.303,10975.839477613505,0.7773460369639588,0.6530551050309745,8.66924386352272,0.6945907044999339,7386620.39922286,415593.72884609294,9.335718930478428,6621508.617536412,0.6489141565789971,258400.78155221455,414731.1569842756,7391919.967637314,635.2966266455436,2399709.7029366046,0.8211746264022252,3.6101044651759793,0.8169855326871092,0.6292469617617195,-6082.10009002275,7.034262103245153,130.33031378250743,179203287.3317393,180.5826505067935,1.7623760541706297
2004-1,4.105,11027.622450586474,0.7777352250325218,0.6531759418795473,8.664365485421056,0.6948880766805015,7395794.356157537,415792.3173746576,9.33729183526018,6624625.7213512575,0.6493785838042062,259422.782134198,417533.7771609108,7397520.947074695,608.3645349020483,2379575.1981304954,0.8146624868021721,3.6015879781415734,0.8183674345886709,0.6279521987366027,-6360.043009879893,6.775421109777445,131.09375827465925,179384775.903975,181.71762234118845,1.3607725559131063
2004-2,3.898,11077.216924270684,0.7780813888705338,0.6532862666998992,8.66167036734271,0.695155567753355,7404431.424724923,415741.3220956732,9.339180768565356,6627437.1347664045,0.649812943929475,262076.48562208365,422402.9868290372,7402970.507331404,587.1238050372627,2286865.77068742,0.7877508194696684,3.592453286930746,0.813175865272952,0.6179234500456987,-6312.09879505444,6.535527586437412,131.98976210790366,179558325.62127495,182.87265024146924,1.2915557727587674
2004-3,4.209,11124.350514014272,0.7784275527085457,0.653396591520251,8.658975249264365,0.6954230588262085,7413068.493292311,415690.3268166888,9.34106970187053,6630248.548181551,0.6502473040547437,264730.1891099693,428940.3527979896,7408420.067588114,570.3798396602158,2267168.0966155827,0.7462153668542578,3.5827259202889805,0.7940584078254243,0.6110282002564377,-6382.974247910342,6.304693993612522,132.88576594114804,179731875.3385749,184.0434969224516,1.3153702879685611
2004-4,2.994,11167.757514014274,0.7787737165465576,0.6535069163406029,8.65628013118602,0.695690549899062,7421705.561859698,415639.3315377045,9.342958635175709,6633059.961596698,0.6506816641800125,267383.892597855,437138.8679254053,7413869.627844823,552.5537154986056,2235945.485366601,0.7161196882161044,3.57243140696176,0.7742123337341686,0.602215193421453,-6659.524121320398,6.092845857236326,133.78176977439244,179905425.05587482,185.9739836449516,1.2716511611761512
2004-5,3.72,11210.658245721592,0.7791198803845696,0.6536172411609547,8.653585013107675,0.6959580409719156,7430342.630427085,415588.3362587201,9.344847568480883,6635871.375011845,0.6511160243052813,270037.59608574066,444435.64414467895,7419319.188101534,543.5801122244274,2247614.438896437,0.6877653033067546,3.5615952756945672,0.7850618617376672,0.5930166849467975,-6639.092352241397,5.906435456003245,134.40983551104517,180078974.77317473,187.9511162408295,1.3496753218264288
2004-6,4.275,11253.160388578734,0.7794660442225816,0.6537275659813065,8.650889895029328,0.6962255320447691,7438979.698994473,415537.3409797357,9.346736501786058,6638682.788426991,0.65155038443055,272691.2995736263,451253.3024140168,7424768.748358243,539.7928414217439,2270755.1846666075,0.6580265037168356,3.550243055232886,0.7615174276282071,0.574475450988554,-6748.885395968077,5.749095649630231,135.03790124769785,180252524.49047467,189.66523405701923,1.5103056439741145
2004-7,4.699,11293.7266676485,0.7798122080605935,0.6538378908016584,8.648194776950984,0.6964930231176226,7447616.767561859,415486.34570075135,9.348625435091234,6641494.201842138,0.6519847445558187,275345.003061512,458230.9893117392,7430218.308614952,534.2848231016592,2274686.759168609,0.6207840323429428,3.538400274322199,0.7524273421975352,0.5593363966337657,-6784.497815846861,5.627047610968012,135.66596698435055,180426074.2077746,191.417790237618,1.3540905935347418
2004-8,6.416,11336.918031284866,0.7801583718986054,0.6539482156220102,8.645499658872637,0.6967605141904761,7456253.836129246,415435.350421767,9.35051436839641,6644305.615257285,0.6524191046810874,277998.70654939767,466978.6583451511,7435667.868871663,528.8910012164406,2279925.537159044,0.5909034137973287,3.52609246170799,0.7295497751500113,0.5366506165950669,-6905.605509166634,5.503636763429107,136.07831726999564,180599623.9250745,193.23853944222265,1.434760472048315
2004-9,6.427,11379.20158684042,0.7805045357366174,0.6540585404423621,8.642804540794291,0.6970280052633296,7464890.904696634,415384.3551427826,9.352403301701584,6647117.028672431,0.6528534648063562,280652.4100372833,475889.1295313781,7441117.429128372,523.5410270047289,2282679.2823835304,0.5537026055994817,3.513345146135742,0.7095428699539044,0.521373108360619,-6995.222858870797,5.379865840264738,136.4906675556407,180773173.6423745,195.06742578211143,1.2837775896757788
2004-10,6.386,11420.03897814477,0.7808506995746294,0.6541688652627139,8.640109422715947,0.6972954963361833,7473527.973264021,415333.3598637983,9.354292235006762,6649928.442087578,0.653287824931625,283306.11352516897,484423.7575753058,7446566.989385082,516.6823881754624,2433479.803848515,0.5450174136197448,3.500183856350938,0.6959159305043552,0.5156158255655208,-7120.238857990881,5.253056293059425,136.9030178412858,180946723.3596744,196.8697926583777,1.1406245002546846
2004-11,5.591,11460.08557388945,0.7811968634126413,0.6542791900830658,8.6374143046376,0.6975629874090368,7482165.041831408,415282.3645848139,9.356181168311938,6652739.855502725,0.6537221850568937,285959.8170130546,491603.9774213368,7452016.549641792,504.2778134441365,2626368.5075104097,0.5310516981315352,3.486634121099062,0.6696517138276467,0.5071034898207396,-7055.497216121851,5.122595130555095,137.22885225518075,181120273.0769744,198.653124824414,1.2854603148119332
2004-12,5.422,11499.50390722278,0.7815430272506532,0.6543895149034176,8.634719186559256,0.6978304784818903,7490802.110398795,415231.3693058295,9.358070101617113,6655551.268917871,0.6541565451821625,288613.5205009403,498417.7469993286,7457466.109898502,487.9427582459169,2720834.843621785,0.5059456433043616,3.472721469125596,0.6553570801963157,0.4969515420076215,-6921.044658255659,4.995239879121229,137.5546866690757,181293822.79427427,200.44978855774104,1.2322302066002024
2005-1,5.807,11535.858192937068,0.7818891910886652,0.6544998397237695,8.63202406848091,0.6980979695547438,7499439.178966182,415180.3740268452,9.359959034922287,6658362.682333018,0.6545909053074312,291267.223988826,505529.1448841331,7462915.670155211,467.4251775544447,2703712.958128439,0.4921828904516431,3.4584714291760243,0.6473973428202994,0.483143045759377,-7202.757774714469,4.860078219431911,137.88052108297066,181467372.5115742,202.30449471882343,1.4183908253341642
2005-2,5.242,11598.504866262316,0.7821931880632471,0.6546000736392087,8.625415058049564,0.6983362261869887,7507308.5293528065,415415.870426488,9.362064441276504,6660627.26884661,0.6549947434051281,293667.4602925374,513173.97837669234,7468228.679464037,445.227317434516,2592532.3195000445,0.479032861785929,3.4439095299958296,0.6298003725137261,0.4753697952172824,-7128.700399706268,4.725791184629883,138.4383011536618,181632962.2895496,204.1987238906554,1.4238954789241105
2005-3,4.965,11660.425537630308,0.7824971850378292,0.6547003075546479,8.618806047618216,0.6985744828192335,7515177.87973943,415651.3668261308,9.36416984763072,6662891.8553602025,0.6553985815028249,296067.69659624883,520583.6246521651,7473541.688772862,425.5538607533432,2576944.5509056966,0.4648610952618953,3.4290613003304955,0.6197803250738215,0.4664937288356185,-7221.778170229833,4.596932598972333,138.9960812243529,181798552.067525,206.1308112427125,1.3369199083017531
2005-4,5.854,11721.061105541708,0.7828011820124112,0.6548005414700871,8.61219703718687,0.6988127394514784,7523047.230126054,415886.8632257737,9.366275253984936,6665156.441873794,0.6558024196005217,298467.9328999602,527801.5206057715,7478854.698081687,411.2946022042931,2550123.232541148,0.4371435666899209,3.413952268925505,0.6089935578495764,0.4550001182228941,-7427.695727374902,4.479302822781261,139.55386129504407,181964141.8455004,208.52949853283653,1.5033990992305697
2005-5,5.892,11781.35313548046,0.7831051789869932,0.6549007753855264,8.605588026755525,0.6990509960837232,7530916.580512677,416122.3596254165,9.36838066033915,6667421.028387386,0.6562062576982185,300868.1692036716,534490.8290515874,7484167.707390512,400.4730769062954,2569572.8659533686,0.4197283588146051,3.398607964526341,0.6112913639662371,0.4387655535867955,-7307.848389698152,4.361373483938184,139.95474220418083,182129731.6234758,210.9849883147523,1.5253707589919576
2005-6,7.76,11834.240344073838,0.7834091759615751,0.6550010093009656,8.598979016324177,0.6992892527159681,7538785.930899302,416357.85602505936,9.370486066693369,6669685.614900979,0.6566100957959153,303268.40550738305,542053.2699314717,7489480.716699338,392.0132128694499,2602254.4460729035,0.4199780553732319,3.383053915878488,0.5804670357747842,0.4302028729547594,-7431.800235590503,4.256101726196984,140.35562311331756,182295321.4014512,212.9231644277816,1.3784705106585684
2005-7,7.484,11897.931903862998,0.7837131729361572,0.6551012432164047,8.592370005892832,0.699527509348213,7546655.281285925,416593.3524247023,9.37259147304758,6671950.201414571,0.6570139338936121,305668.6418110945,549511.0197966119,7494793.726008162,383.1926176814535,2613066.753887254,0.426655987569031,3.367315651727427,0.5645649922940777,0.4313751989691616,-7447.830376487559,4.16168717243741,140.75650402245432,182460911.1794265,214.85454833768284,1.4515065266492553
2005-8,8.048,11960.847228203482,0.7840171699107392,0.655201477131844,8.585760995461486,0.6997657659804578,7554524.631672549,416828.8488243451,9.374696879401798,6674214.787928163,0.6574177719913089,308068.8781148059,557945.6579456168,7500106.735316987,375.1392726452125,2617033.037200032,0.4533210772878235,3.351418700818644,0.5609756759595197,0.4316478866297594,-7426.454566904413,4.079825078928361,141.25619441715205,182626500.957402,216.74393954992289,1.314802317799124
2005-9,7.794,12025.27342013255,0.7843211668853212,0.6553017110472832,8.579151985030139,0.7000040226127027,7562393.982059173,417064.345223988,9.376802285756014,6676479.374441756,0.6578216100890057,310469.11441851733,567582.3355484458,7505419.744625812,368.2338259987535,2616833.298781457,0.4844114534007803,3.3353885918976194,0.5646643450021134,0.4277093852365702,-7512.020875107958,4.012628248908924,141.75588481184974,182792090.7353773,218.62954399113875,1.4544913446504557
2005-10,8.792,12089.403974667464,0.7846251638599031,0.6554019449627224,8.572542974598793,0.7002422792449475,7570263.332445797,417299.8416236308,9.378907692110229,6678743.960955348,0.6582254481867026,312869.3507222288,579729.7986988125,7510732.753934638,358.7241761047338,2767147.232806297,0.4945726100320757,3.319250853709838,0.5644640550493971,0.4225131084131527,-7687.979669089395,3.9602332396446167,142.25557520654746,182957680.51335275,220.47998778707412,1.2166346637056376
2005-11,6.725,12152.543322032028,0.7849291608344852,0.6555021788781616,8.565933964167447,0.7004805358771924,7578132.682832421,417535.3380232736,9.381013098464445,6681008.54746894,0.6586292862843994,315269.5870259401,590638.0268494517,7516045.763243463,349.8309358272843,2977160.918689552,0.4959029929217597,3.303031015000783,0.5622657106505984,0.410747290823505,-7676.736667287167,3.9221772649399615,142.75695932798442,183123270.29132813,222.3706268867923,1.5774291835856542
