Previsto (mil ton.),2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
Acre,10.255057,8.857046,8.96786,10.357189,12.51189,14.669719,15.930025,16.461666,16.066496,15.279581,14.018583,11.66019
Alagoas,29.739042,28.428915,29.237251,28.334085,28.531675,28.51318,28.400837,30.55596,32.757187,34.120552,34.484005,32.679504
Amapá,9.501208,8.632245,7.668808,7.218593,8.082638,11.798945,12.630874,12.714647,12.7555,12.859158,12.721001,11.775168
Amazonas,44.714355,44.395462,44.196819,44.468895,44.337666,44.358437,44.672607,45.221489,45.461952,45.428062,46.385059,45.723003
Bahia,241.000488,234.734589,241.413986,238.897476,249.633942,271.788391,274.342285,291.001709,297.122101,295.220917,276.489014,253.551147
Ceara,136.037567,133.645538,132.055634,132.553284,146.423218,154.595245,156.647095,158.36911,163.356964,177.059143,160.565048,137.18927
Distrito Federal,41.502365,47.666981,44.906673,47.796688,46.763454,51.376087,56.722538,60.156025,59.981289,59.069294,58.039402,49.429443
Espirito Santo,91.808304,91.718063,92.864807,93.605171,95.666306,98.896271,103.985153,107.212662,108.438232,108.15329,105.812271,102.787621
Goiás,168.746811,172.139084,182.671158,177.830673,191.513931,204.235306,216.225693,216.317841,215.464172,211.016022,193.754471,176.514664
Maranhão,48.367359,46.329575,50.212765,56.591385,62.582455,61.15274,63.404995,74.077492,85.2845,90.575401,88.483742,77.400841
Mato Grosso,99.72226,106.6306,111.354706,114.75766,121.248222,134.374863,144.67215,150.599243,151.622391,148.095947,136.256165,114.765579
Mato Grosso do Sul,65.501808,66.382118,67.487282,67.81884,73.622398,75.750969,82.420341,84.250084,80.461159,78.976318,76.290054,70.598969
Minas Gerais,411.722565,402.339508,404.538483,429.591095,494.4216,503.031464,542.995178,583.07959,602.146912,616.022888,598.113953,581.271301
Pará,99.899803,101.759422,103.9786,102.275429,102.067543,102.973305,103.737602,105.420616,104.073006,105.726082,105.921074,105.331306
Paraíba,55.94199,58.955784,62.115078,58.758823,62.347752,61.333702,65.901779,71.755188,71.318115,70.223679,63.063313,57.646114
Paraná,304.432159,309.939117,330.366577,315.743256,333.342499,332.680573,340.76944,348.664459,361.335693,351.14917,337.627899,319.307892
Pernambuco,130.884674,129.011826,133.034164,133.255875,134.809494,133.848129,135.688751,144.204208,154.862411,157.387955,157.075058,152.641281
Piauí,61.189865,58.017998,49.833321,49.196072,57.345562,58.76651,64.472221,68.551399,70.509911,70.080269,68.686165,66.57473
Rio Grande do Sul,224.073624,224.737152,224.386871,224.584915,225.509857,225.243393,224.136597,224.088882,223.791229,219.202255,219.673065,218.001266
Rio de Janeiro,198.456207,196.572144,220.466171,212.642761,219.088531,227.182327,233.497742,227.418427,231.667908,229.949371,230.413849,221.301392
Rio Grande do Norte,39.395752,38.957458,38.448929,37.90136,37.384979,37.964466,40.373112,46.662437,51.325554,52.167175,48.787346,43.793201
Rondônia,32.228748,30.428539,28.948059,29.98839,30.390402,32.588707,36.129189,37.075851,37.427376,39.150394,36.475426,35.28548
Roraima,8.532695,8.647708,8.748202,8.868678,8.99648,9.122819,9.211939,9.327834,9.416952,9.455299,9.446061,9.373635
Santa Catarina,217.832291,245.694107,243.043518,240.696548,246.671005,252.8526,268.074493,278.669464,277.408356,263.64505,252.406998,217.387878
São Paulo,839.163818,839.22113,841.193481,840.104309,847.477234,846.578308,846.574707,917.270569,847.831482,850.102966,840.205627,839.437927
Sergipe,30.166079,30.189758,29.858086,29.598694,29.650742,29.957417,30.204376,31.19673,32.828423,34.296734,35.415627,35.478138
Tocantins,31.008511,31.833761,32.119053,34.350693,36.796227,40.799011,43.438404,43.901028,43.483017,42.791,41.166367,38.267673
