Ano,Amapá - IDH,Amapá - Desemprego,Amapá - Consumo de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Amapá - Produção de Cimento (t),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Amapá - PIB - Estadual,Amapá - PIB - Construção Civil,Amapá - PIB - Per Capita,Amapá - PIB - Preços de Mercado
2003,0.7114207342902096,8.514392273723654,85.093,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,0.0,23.050697523518963,1009.3919302740412,1046.2564820067912,25.64871728828234,22.351312030824957,83.49946857748022,0.994975882305276,8035813.3855762435,356591.00342969684,10.8831425875306,7033593.282440488
2004,0.7130055838935695,8.44672143132653,80.008,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,0.0,24.050121003717564,1009.3162881717924,1094.4653513113703,25.522297656885325,22.36768612965996,84.26464169947506,1.022854806066026,8163242.306715699,357271.49432341894,10.907897859199826,7078751.892285762
2005,0.7143755300824468,8.415811094224981,104.197,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,0.0,25.71354839539544,1009.2060265291876,1171.4211192000096,25.324126428546304,22.395080030877825,85.4768240442376,1.0659989536498664,8284323.21070255,359035.0749572785,10.930314535241928,7120174.586123304
2006,0.7155327727724776,8.33480220162701,115.54,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,0.0,27.29322647955609,1009.1527584115456,1248.3474540159891,25.16098642405426,22.45201122515333,86.6490321791458,1.1028988926071157,8397333.020089969,361349.4577736158,10.963941120877244,7156514.613048113
2007,0.7164795118792976,8.318743576850363,135.046,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,0.0,28.041426733661996,1009.2480971459388,1296.4694304440245,25.139657017138543,22.55699570865583,87.29429258894089,1.1120453871643088,8489305.00696106,362177.9474241797,10.97019474845822,7171045.370769916
2008,0.7172179473185429,8.281094420176965,116.366,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,0.0,27.210420635175616,1009.5836560594398,1287.0121231688302,25.366917581528483,22.72854947755464,86.92563175836399,1.0719292015479809,8565394.399847722,362905.2804418448,10.964829440991332,7173307.039815424
2009,0.7177502790058494,8.302950360892527,112.729,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,0.0,23.38880402130989,1009.8836474400604,1230.481449681044,25.905555303222304,23.0950092523252,85.78446607285956,0.981601203002286,8619979.80161882,360014.2315466763,10.929234328491106,7163324.654189657
2010,0.7180787068568528,8.270872940689337,151.542,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,0.0,20.6077777468478,1009.7598326736338,1208.0628359630982,25.9166772898734,23.19935238052588,86.0459781468116,0.9390256537180618,8840356.37033118,365333.788457622,10.91880976673538,7227240.745437568
2011,0.7182054307871893,8.258737131271237,161.97,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,0.0,19.72566344857168,1009.8815254298516,1245.286694263102,25.844771177411825,23.091132021463995,85.93005018183727,0.9772641912798428,9053310.072320689,369799.96825489687,10.934033309961125,7289554.929447817
2012,0.7176684983164984,14.118133903133902,261.12,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,0.0,19.226938483477383,1010.1301316836452,1288.17851851021,25.905589211721733,23.183122510030675,86.04563604931882,1.0318231442937529,9243434.84718749,371290.6474499387,10.930024522038384,7338668.429853959
