Ano,Minas Gerais - IDH,Minas Gerais - Valor Cimento Portland, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Minas Gerais - Produção de Cimento (t),Minas Gerais - Consumo de Cimento (t),Minas Gerais - PIB - Estadual,Minas Gerais - PIB - Construção Civil,Minas Gerais - PIB - Per Capita,Minas Gerais - PIB - Preços de Mercado,Minas Gerais - Desemprego
2003,0.7565371148204723,4.008151711225604,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,20.536644453894727,888.9289547816528,1251.8056682760332,18.83531575886236,14.10308532915266,76.20754215698678,2.240765150410389,7986.605283093483,3663.465,293775203.7644595,17250773.822793443,14.096054158781325,275911748.7069836,8.242461537567124
2004,0.7585902728047971,3.986492836997376,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,20.80866918180497,888.8100735214189,1249.3192934741903,18.717388468103582,14.049757672151284,76.50871301098155,2.3560214100177173,8647.976256758033,3452.798,298248528.1926796,17476599.822368193,14.17464117424399,277748304.91164625,8.170568074045196
2005,0.7605183018530457,4.027648949085354,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,19.684643775818344,888.7579555391006,1255.389269926023,18.522033140849494,13.871751880846096,76.55103949722024,2.414569693389906,9332.85670084659,4104.571,302172610.0397263,17698961.579328246,14.228357413795148,278992764.00268024,8.14731301423134
2006,0.7623264080376625,4.2399087943951885,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,18.979298932466214,888.8063216169248,1249.6588149863271,18.512066527896412,13.7026170127903,75.90370360997436,2.498499368798889,10194.895582526007,5075.946,305874404.52252686,17918022.509585153,14.28499714493976,280221195.62156934,8.060331958709103
2007,0.7640197974310918,4.57081496510251,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,19.414334259623992,888.8373583640274,1207.0139917771887,18.519817546918205,13.81707931650699,76.48924443917005,2.495513502531592,11254.789498174918,5438.436,309084117.8567788,18146362.69027266,14.326216874977646,281075672.8586704,8.030389906143604
2008,0.7656036761057781,4.927101355822527,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,20.045017826683893,888.8162232081058,1175.0403962222656,18.5849444210816,14.242416927531195,78.15503557199877,2.404497054260816,12196.7227558846,5902.354,311756364.9298958,18311092.865543146,14.350808519008638,281559889.10760385,8.001633482225774
2009,0.7670832501341653,5.336229860757436,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,20.11568953915613,888.7178626452342,1187.2287961483785,18.62604930601108,14.472668989949264,79.05637687355348,2.439866402795925,13086.09370806539,6032.354,313661308.5500769,18510962.43694929,14.359229950203602,281640093.94202006,8.031077566464921
2010,0.7684637255886981,5.698825248794097,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,20.15120432939083,888.7830052798896,1200.805643703817,18.50425257728664,14.480538634513223,79.77091400638731,2.5168105595851955,13948.809933407689,6751.429,321621246.78603643,18534100.903037727,14.420260190986172,283482096.3175527,7.994906240927181
2011,0.7697503085418207,5.829403690805542,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,19.731557005195995,888.9467096166359,1196.193756878631,18.63975034931077,14.68637885295536,80.23985093492858,2.517000232852639,14478.0347246522,7134.988,328395514.1808286,18496382.76545905,14.438707737233427,284404867.512001,7.984812026339124
2012,0.7705832228956231,6.057728536519763,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,19.123350972581896,888.986930650648,1216.0178965654163,18.702692613369845,14.531110322006375,79.21647856113563,2.398120344351437,14505.212690299351,7144.026,334110220.2606393,18392592.23406237,14.41998532984018,284752458.43594784,9.070299043549044
2013,0.7722984914702581,6.330745204159007,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,18.646942597677903,889.0594583202559,1261.5757773767134,18.602421491147663,14.037684610148537,77.31287136272414,2.248054101780821,14035.24123663822,7225.971,338820674.0717538,18206586.497656364,14.38707951851402,284750484.9975504,9.529468214849922
2014,0.7734900324261131,6.264773984366399,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,19.420342681792388,889.109317695415,1283.2844239682252,18.788690064900848,13.989515880609911,76.22877624080058,2.141659121617283,13306.331979883218,6631.735714285716,342247197.284231,17979826.479231246,14.35090309073961,284294174.2634522,9.983691655828745
2015,0.7737808684616224,6.096806829588784,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,19.83414486438513,889.1204605418421,1287.845501595085,18.774989995709,14.000458839299872,76.24124777382967,2.0867527000787685,12588.656354109557,5836.891371428574,344729911.7002879,17749320.000490177,14.320707006564165,283847533.72161865,10.328071070993396
2016,0.7785593286594197,6.058653365111225,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,19.849588650157617,889.1012418478986,1284.6782307820215,18.57038031318871,13.855280010830368,76.45395044497222,2.040880187462379,12210.5522998276,5091.098914285716,346870767.11327314,17630971.437505636,14.32124073027288,283923881.815875,10.248043338332549
2017,0.7787919949011851,6.0552263949367084,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,20.55244339838349,889.0879876331555,1271.4371580732009,18.605288998115387,13.974130506258993,76.84511513354248,1.8081946422425288,12699.687744522344,4898.01,348026313.9764459,17596699.49755367,14.33914923857372,284241519.9013618,9.78903601768297
2018,0.7783185398922019,6.108536802258623,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,20.27128517606961,889.0600032597923,1236.7595323936832,18.662815289578905,13.908112870731392,76.49364157906426,1.5063084853712103,13541.777330532232,5509.999,347856354.0416027,17658497.099598378,14.350033399102855,284285290.5706368,9.594051492801762
2019,0.7778020435187657,6.427284614520329,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,19.528304702775777,888.9629678909523,1207.6217070618357,18.6241052530182,11.705527144951231,69.91849196367234,1.3602165906633912,14329.818876484253,6256.45,345899735.7469648,17726573.167389113,14.340135877975978,283988772.1591588,9.540285127048556
2020,0.7764204111113808,6.96793641727349,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,19.648555889801603,888.7730239834009,1155.5415305420345,18.506429920314307,8.602793230822856,61.3513528713808,1.5740712716847394,14765.664718497615,6954.53,341947381.4378654,17765038.450221673,14.31986042635691,283343583.6538481,9.407138331811671
2021,0.7752768121215063,7.340713936874003,0.568170054296025,-12254.220163626009,1.856764202286902,4.35045636240659,8.428991724541524,202036952.5833333,7637893.531466268,0.7655090848488225,20.348196738621716,888.6380830095092,1092.2124038017264,18.291919873046236,8.18342487998216,61.06674397937103,1.682822479897169,14894.990775077373,6975.675,335822725.7331202,17780334.95947028,14.306167123552948,282674722.5743979,9.14845628358041
2022,0.7753928859507343,7.442891058714277,0.5191983596929338,-14613.924467801482,2.71770596632874,11.662816969174893,3.900451165155242,203062512.0,,0.7310204007359983,21.32751961057133,888.6201380301615,1071.761256304134,18.18969748878987,9.616891287648404,65.59551430933996,1.926033166991558,15001.612970570855,6706.893,328393455.41846067,17808635.753527675,14.289269758431969,281834586.39643914,9.127930812114627
