Ano, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Piauí - Produção de Cimento (t),Piauí - Desemprego,Piauí - Consumo de Cimento (t),Piauí - PIB - Estadual,Piauí - PIB - Construção Civil,Piauí - PIB - Per Capita,Piauí - PIB - Preços de Mercado,Piauí - IDH
2003,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,1.6628911616390996,1000.3947689882464,174.70321945066635,31.667290838873917,26.657973354622424,75.51111180219546,1.137361541251339,317.28631861915454,8.192265612259057,238.886,21360630.68419292,1358044.2713284844,6.061140951799438,18681487.00784765,0.6492176448058882
2004,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,0.164625807826603,1001.3832872425402,242.605102875769,30.019420315221907,25.082951301052717,76.76640161134297,1.216410283404021,351.6674852094181,8.118949884633004,276.711,21725356.00100053,1379534.212818307,6.108223764781004,18844417.30203601,0.6545375627382948
2005,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,0.8071852063746601,1002.8048565097334,471.41412790056864,29.772312008888186,21.817834821262878,62.89368006413952,1.6221061498556748,357.81908943039525,8.09819792913736,272.764,22076570.00822316,1395738.8637625806,6.154514858233135,18999570.85359221,0.6592884853481145
2006,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,8.7797833288754,1002.66774772167,709.838140697133,30.281494093515224,21.854187173805727,59.586205045690825,1.6105694524345378,386.2321889467504,8.006232888071484,333.178,22407504.066534508,1409502.8641001198,6.196867762162954,19139912.018915035,0.6634817347038443
2007,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,18.24946082904652,1002.2103561960748,1070.5709948134352,29.408179984195225,21.489489161219325,62.65656328257754,1.4531076955927595,445.5151131400715,7.980381725408458,386.585,22684100.57000064,1390317.484080071,6.221035649619874,19221830.21817041,0.6671286328739813
2008,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,24.30980089096195,1002.245680462869,1279.0203492307037,28.38462577091118,21.35778749328766,67.39145814054989,1.313538464280405,510.6444884150778,7.951466346784791,449.076,22961561.98033609,1400358.718759109,6.253672843930922,19323300.84843705,0.6702405019270226
2009,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,23.28075474797384,1002.1584237308634,1397.650069343679,27.97656199853273,21.27623290373155,69.38357314561854,1.2421117903973835,564.6541671749903,7.981121100802563,536.766,23188962.093459524,1418400.9471576223,6.277338847581737,19393331.2446264,0.6728286639314653
2010,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,19.18656075674284,1002.2807398022628,1437.5496590648356,27.81576857464317,21.24147554425182,70.0661759606205,1.2269489272503336,595.3605584278378,7.946167154199016,639.535,23854257.33973102,1441333.5082971496,6.33664385769329,19606353.489501305,0.6749044409558065
2011,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,18.109352579825263,1002.3941731766864,1442.9446161504122,27.92162904693379,21.01192606806642,69.08141173157615,1.2474638550794024,612.0635901160286,7.934311853467493,625.0219999999999,24474227.98741787,1448567.521842219,6.385667300878563,19785140.5302469,0.6764791550685433
2012,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,18.25389998175409,1002.4634487434574,1405.9889543151494,27.98448457002625,20.652448899334427,67.99991100721252,1.2314079076287252,616.4634959203497,9.098664835164836,687.536,25023367.22283424,1450922.7543133695,6.419744218531991,19918029.309846938,0.6771053279461278
2013,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,18.67131758157952,1002.7677763666796,1348.3256572896396,27.9519091155769,20.492762805658263,67.70608640014885,1.2317256917212949,585.346961204472,9.87481132042318,778.779,25527594.944947228,1456056.7388053213,6.4516606772738525,20039208.22166595,0.6785307719416385
2014,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,18.367245945560597,1002.9299666779232,1312.1787683513735,28.10143651484349,20.242811649282,66.50128999246114,1.263472446666937,534.5695992749867,10.508944601657928,755.7138571428571,25974932.69883084,1458827.2174405586,6.481157764632998,20146485.94951548,0.6784916696034418
2015,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,19.17608823968984,1002.8904053068752,1261.9817845371758,28.208467444255145,20.043939641766737,65.52830608080282,1.2762363249925877,485.5445221735698,10.96540070392644,794.9454857142857,26237072.024457317,1443457.1234868974,6.481716244493627,20157766.405057646,0.6778659754037285
2016,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,22.137201433716054,1002.8322846132916,1235.2022628506488,28.17811579504615,20.09605749006221,65.40193835503614,1.2672080944434374,383.1950125901188,11.203809124569576,842.6876571428572,26453082.897402555,1433448.650220415,6.489827102468344,20189158.318351462,0.6894539768086306
2017,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,24.26503261888264,1002.9199792009124,1214.1548417739648,28.06846607850764,20.44417088981177,66.54468166713184,1.2283885869092652,274.2637535745655,11.173036328163327,831.356,26588158.9288433,1433525.753473607,6.502281192120114,20230426.4303515,0.6898588837912333
2018,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,22.693903777072187,1002.9835074116831,1225.3047724305652,28.124057999183886,20.58862895266321,66.91868294969905,1.2205598226026082,214.60239631262087,11.037275293038633,626.223,26573364.265849,1435230.5736502418,6.498516235884453,20215802.99239019,0.6894824186813454
2019,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,20.17749888865078,1002.8939921947946,1274.6596462049056,28.36899437223881,20.45302767385558,65.90045364474291,1.2375068904905226,182.0658115315109,11.015948601022505,702.437,26360826.41609042,1440004.9343167972,6.475652438530998,20134902.91448048,0.6886171840160131
2020,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,23.28919141996837,1002.7781200568164,1246.8115807817635,28.287964339591408,20.57256497260188,66.68543916362786,1.202090536975804,164.95134781084488,10.881622303721771,788.164,25986144.07223977,1444542.735761112,6.443468858975097,20018655.843980595,0.687036928017469
2021,0.568170054296025,-12254.220163626009,1.856764202286902,4.35045636240659,8.428991724541524,202036952.5833333,7637893.531466268,0.7655090848488225,27.122725001418992,1002.720246183399,1192.3329431126886,27.966208844619715,20.640078373860103,68.0834327859796,1.160210546636195,157.36974780214882,10.793164693499335,826.368,25385177.67020819,1435365.7504180523,6.400409760518299,19865833.0380956,0.6851311942008752
2022,0.5191983596929338,-14613.924467801482,2.71770596632874,11.662816969174893,3.900451165155242,203062512.0,,0.7310204007359983,26.88480121848017,1002.7156936665268,1195.955866108334,27.90215950831021,20.532021866308494,67.9707518508751,1.160724332826533,155.63343615366065,10.871213005300795,804.4169999999999,24662120.03882924,1424500.745818799,6.348366898579335,19679972.34794123,0.6846885754918639
