Ano, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Paraná - Desemprego,Paraná - Valor Cimento Portland,Paraná - Consumo de Cimento (t),Paraná - Produção de Cimento (t),Paraná - PIB - Estadual,Paraná - PIB - Construção Civil,Paraná - PIB - Per Capita,Paraná - PIB - Preços de Mercado,Paraná - IDH
2003,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,,,,,,,,8.284196000563572,3.647166299959183,2158.499,4018.882254983657,202714699.84994665,10606121.842161782,17.589536438314145,185178799.44847876,0.7768711500179231
2004,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,21.05385672595376,913.2048654431512,1076.2109565171434,19.26799641675037,13.02257746332443,69.53039939973534,2.592037834310586,8.209520200161856,3.582935037217343,2259.91,4010.031841731788,205510286.62204912,10724295.43257466,17.62567023832241,185824183.1882743,0.7781178786807972
2005,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,18.820083086439706,913.0504000865798,1112.9946880515558,18.21114148440182,12.899687647528738,73.57677931740159,2.457739775128623,8.186736349667385,3.43005824122667,2225.422,4028.7686303912055,208084077.30225557,10841115.607040191,17.657352857730896,186334277.1594426,0.7792660291163759
2006,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,20.60335193642352,912.9296157736476,1158.1984743493113,18.150521325551544,13.128487062615962,75.01030462331607,2.4121494499951943,8.093445442496797,3.364858594925317,2203.646,4330.5995451641365,210648999.4565057,10969885.41453491,17.713982224308022,187050585.48020092,0.7803174748929362
2007,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,21.10932291526085,912.7901451304452,1192.4887121931972,17.94615675264149,13.227676586627462,76.36766242353147,2.331749037137535,8.065899667925718,3.446867147633532,2382.72,4749.071195369933,213049002.09777585,11120922.08654413,17.77246481933718,187738296.72833425,0.7812740895787552
2008,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,17.495623976136844,912.6218879634562,1227.2354397429465,17.993011905156212,13.6511322212082,78.10090155329763,2.2345627366327063,8.033947666124615,3.612885917182538,3001.521,5058.377259613645,214867011.90562564,11228351.592600944,17.780948164851317,187883734.75897083,0.78213774674211
2009,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,16.616853817836578,912.464593764542,1218.1844348196262,17.94409966746072,13.66708331436704,78.27990545098345,2.15405309948918,8.063370445390065,3.874728993995726,3092.068,5346.288081220619,216326013.70648208,11331387.579431511,17.78792533851056,187946583.5145757,0.7829103199512777
2010,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,17.909653203891175,912.481188113316,1194.341209698102,17.697740962550867,13.001176162664906,76.33332086687909,2.0922059248924865,8.026842929716512,4.308612701078731,3749.448,5527.794738264754,221867148.8633052,11383771.58826976,17.885999603402915,189391413.9499049,0.7835936827745351
2011,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,18.651220063500045,912.6290136037192,1182.5666639384726,17.70698763128075,12.629770045321282,74.62758274740392,2.043673370243963,8.01380615725677,4.707699653972018,4174.942,5623.811147526936,227056122.7875837,11385629.422915474,17.96728139975532,190636359.78104967,0.7841897087801596
2012,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,19.304558629357324,912.778524777434,1176.5730473537358,17.87265404642579,12.611871094095116,73.87152208002426,1.9412527848361487,6.4724959299959295,5.027391422064939,4522.969,5779.044239891122,231717518.80989543,11339145.610854072,18.01163568720999,191609101.1492616,0.7843886127946128
2013,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,19.23053199854138,912.9144888810032,1170.9243737029385,18.10438758401717,12.719985634016105,73.49122403313613,1.8446374373041048,7.011798833781418,5.366431813593796,4578.716,5855.685230189823,235826916.875404,11227418.721343923,18.040420192293745,192391706.35842136,0.7854209971941639
2014,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,20.723382058126315,912.9731968864328,1150.5878968286383,18.27498539668353,13.157634863242352,74.60681637821463,1.851410869722789,7.462443174455609,5.5112101077066855,4341.821857142857,5788.881493896574,238653190.1659581,11152832.399210569,18.028051741470804,192477161.4292595,0.7857060802936776
