Ano,Roraima - Desemprego,Roraima - Valor Cimento Portland,Roraima - Consumo de Cimento (t),Roraima - IDH, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Roraima - Produção de Cimento (t),Roraima - PIB - Estadual,Roraima - PIB - Construção Civil,Roraima - PIB - Per Capita,Roraima - PIB - Preços de Mercado
2003,8.263084148815043,3.596068477254479,74.283,0.734916255848655,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,24.803873583934,1001.0784420421576,1670.2870741597687,25.59664551194302,22.710362011187737,82.26404714896351,1.6177377738055532,0.0,6128460.111199017,332580.20282068977,12.101540149290196,5339135.99993909
2004,8.191545483130467,3.4298952340914783,39.775,0.7354042938325009,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,25.592493735935648,1001.0496748332432,1661.1285646335352,25.697277564653245,22.602564685057104,81.75585373867048,1.624959475554477,0.0,6226406.441082152,336594.8354863451,12.124873492763625,5374189.668689502
2005,8.16696088251649,3.071662863147566,30.179,0.7357997696315145,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,26.94804956036362,1000.9923915372692,1643.0638022756618,25.858924760973803,22.427865265031897,80.7483842954603,1.6356611799782173,0.0,6321382.674488585,339978.31386894174,12.16524407008635,5409179.372299526
2006,8.072306048664666,3.0452508115035783,34.243,0.736105029994215,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,28.389945287182933,1000.9339279887994,1618.8688768420388,26.07082118580703,22.21066328079936,79.3690718322203,1.651218166807836,0.0,6410127.600738828,343100.1250127878,12.200108535780728,5439893.813540734
2007,8.047939156564242,3.353816392620261,35.931,0.736322421669122,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,29.43759883054216,1000.9016200229042,1591.319699957782,26.32220018253421,21.97535928577065,77.74535459718885,1.6730057738094446,0.0,6486417.133073642,340068.1831724968,12.212555141259168,5458573.37287209
2008,8.015089544092227,3.6891382957136583,60.009,0.736454291404755,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,29.610428104589865,1000.9228034746542,1563.1921832480064,26.60229509453663,21.746353833356963,76.00467083860426,1.7023993387491536,0.0,6555832.540343158,342849.1124042796,12.23541849571599,5474033.303729082
2009,8.046320794715072,3.874501236474549,63.064,0.7365029859496336,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,28.427851023474645,1001.02481417912,1537.2622383378275,26.90033926519557,21.548047476969472,74.27445880470484,1.7407741993930752,0.0,6611656.678930855,345335.4852875928,12.228462335576936,5482305.617784198
2010,8.009228631606366,4.024162965923406,86.408,0.736470852052277,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,25.409285501345074,1001.2349879713717,1516.305776852362,27.2055660378923,21.40484077001935,72.68215674372894,1.7895056935073204,0.0,6787711.764628731,348962.48393009574,12.215748589960338,5534487.325966347
2011,7.996818724830861,4.171630015071444,103.009,0.736360236461205,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,22.217634359094436,1001.5411993040484,1506.4561262993054,27.42564670761349,21.33088914282226,71.59508761808065,1.8304471385054133,0.0,6947966.087377517,347630.9720131452,12.206783093734131,5574553.472147543
2012,8.651837098087098,4.318665009092613,100.066,0.7360885090909091,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,21.15724943705073,1001.6903418146588,1515.5273558058916,27.608612135350203,21.11752437243241,70.06165035140769,1.8982549399888635,0.0,7096137.00454022,347411.2322732956,12.18653920523044,5609509.937973836
2013,9.551097733773972,4.525008518386522,121.914,0.7359292181818181,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,18.013768899265333,1001.817867857396,1528.9986424677595,27.762053028185612,20.876765738449205,68.55279027111312,1.943124807180281,0.0,7239848.492107861,349584.10065382905,12.18224260030205,5648191.918466686
2014,10.328300066137947,4.766966150518861,120.41757142857142,0.735756653030303,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,14.644773358599403,1001.9405356960998,1542.13137211974,27.98632875981228,20.64792156624741,66.89613453847295,1.956683818410502,0.0,7349319.695531301,344289.7366271473,12.154910872861784,5667961.284129783
2015,10.723766652401402,4.9300660019596885,113.28205714285713,0.7350697074494948,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,19.00768346969105,1001.9883057301894,1541.2728452774015,28.048824756220345,20.665808354353786,66.73804512541012,1.910769681625525,0.0,7439257.98177897,340498.3564897025,12.130631287459824,5685184.983817315
2016,10.76410054018944,4.9952510030681525,105.48137142857142,0.7351676443411386,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,24.43774740787236,1002.055065156405,1514.9059597950743,27.95913021116291,20.665947625990317,67.01844825466499,1.902067314995114,0.0,7513613.838505791,340512.0387012236,12.120014409962252,5705073.927727124
2017,10.533541976149433,5.090315724789317,99.723,0.733637430190333,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,26.31814205857645,1002.1557839138158,1495.6116244891066,27.867977896221603,20.547545125641204,66.90366145861886,1.943183192983905,0.0,7560264.93979676,340005.35791734443,12.115483468178258,5723617.424583924
2018,10.64220167334523,5.241760658385503,83.012,0.7325135602076361,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,28.548818075610374,1002.1838340132186,1468.719755854362,27.821635469601205,20.578690668846782,67.22476613425394,1.912675384949158,0.0,7565390.829916128,340384.5456920989,12.089987900863004,5726484.56287206
2019,10.430271500792678,5.624626780038363,121.12,0.7300147929537849,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,24.61592088720929,1001.7463713578004,1214.3421042934383,28.42753649168846,20.38509247450889,64.24388030027454,1.9594577060285605,0.0,7519466.888937675,340174.81950989953,12.077845243078883,5712961.074096622
2020,9.898626399748869,6.271599099737859,151.571,0.7282888650404925,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,15.236170016335176,1001.3553511079546,881.8614378382604,29.108197590868528,20.010992645078016,59.87563378506474,2.1421928995260835,0.0,7427921.883232112,340776.5848536629,12.078197035671565,5688955.672386168
2021,9.503368464811988,6.773945164705868,144.989,0.7273151254987191,0.568170054296025,-12254.220163626009,1.856764202286902,4.35045636240659,8.428991724541524,202036952.5833333,7637893.531466268,0.7655090848488225,9.673940565360043,1001.3447816977308,867.033434121622,28.87621830421004,19.9633490473958,59.29823519349613,2.217952812303705,0.0,7252612.996730357,340641.3911536676,12.095909092308265,5643384.230357151
2022,9.643865066543418,6.945644687366364,132.21699999999998,0.7298892278167844,0.5191983596929338,-14613.924467801482,2.71770596632874,11.662816969174893,3.900451165155242,203062512.0,,0.7310204007359983,9.037556538687353,1001.4553100418044,994.638947427197,28.471335908798427,20.091016236284634,60.30410150886242,2.1784367055021985,0.0,7041849.039600415,340251.1267723755,12.115271469406776,5587542.994449749
