, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),São Paulo - Consumo de Cimento (t),São Paulo - Produção de Cimento (t),São Paulo - value,São Paulo - PIB - Estadual,São Paulo - PIB - Construção Civil,São Paulo - PIB - Per Capita,São Paulo - PIB - Preços de Mercado,São Paulo - Desemprego,São Paulo - IDH
2003-1,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6397179054162052,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,782.111,437.97272,0.3149737957153884,1034902942.4423203,47309401.212131776,23.895558977974,981912876.2041788,8.3103353115485,0.8127229349041307
2003-2,0.6902970479188117,-5318.079644051534,11.189861881849811,1.3788993761097037,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,789.891,434.36372,0.3173276165787322,1036091709.0028114,47329937.45574318,23.901471823030963,982266609.3742543,8.304194156096585,0.8128380640496393
2003-3,0.6696806488591152,-5436.417870121553,10.82079163233486,1.924316748240424,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,774.309,433.3508681481481,0.3198395024930355,1037280475.5633024,47350473.69935459,23.90738466808792,982620342.54433,8.29805300064467,0.8129531931951479
2003-4,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3311738085719491,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,782.071,431.8253324338624,0.3221039848566591,1038469242.1237936,47371009.94296599,23.913297513144883,982974075.7144054,8.291911845192756,0.8130683223406565
2003-5,0.6483369045565663,-5599.317940972945,9.959689613256948,1.7360716517829076,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,841.4,433.28729795110377,0.3243195046741149,1039658008.6842848,47391546.1865774,23.919210358201845,983327808.884481,8.28577068974084,0.8131834514861651
2003-6,0.6327588982490451,-5720.383331634745,9.432414860416127,1.8491678046235127,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,757.875,433.6068646177704,0.3264888650655863,1040846775.2447758,47412082.4301888,23.925123203258803,983681542.0545564,8.279629534288926,0.8132985806316737
2003-7,0.6380135035998685,-5884.375046061743,8.822929754380787,1.67676361545111,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,857.128,434.8108968758349,0.3286106475345176,1042035541.8052669,47432618.6738002,23.931036048315764,984035275.224632,8.273488378837012,0.8134137097771823
2003-8,0.6346344548960355,-5959.855464930735,8.332469749880811,1.8097393112807352,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,785.016,436.54736562583497,0.3304835677786578,1043224308.3657578,47453154.91741161,23.93694889337273,984389008.3947076,8.267347223385096,0.8135288389226909
2003-9,0.6323269495840285,-6014.809970017429,7.939983702859978,1.8316690419412016,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,827.22,436.5187898682592,0.3321023112288702,1044413074.9262488,47473691.16102301,23.942861738429684,984742741.5647832,8.261206067933182,0.8136439680681995
2003-10,0.629038170305887,-6121.266757398654,7.604976000172705,2.039285364639529,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,853.721,438.5212310447298,0.3338781482634106,1045601841.48674,47494227.404634416,23.94877458348665,985096474.7348586,8.255064912481267,0.8137590972137081
2003-11,0.6315074373857803,-6097.745583517717,7.313008932848318,1.7470011225975584,0.8382390949358776,179021798.7595036,7386318.988199934,0.8327971802717965,766.03,440.1096596161584,0.3356144500088403,1046790608.0472312,47514763.64824583,23.954687428543608,985450207.9049342,8.248923757029353,0.8138742263592167
2003-12,0.6292469617617195,-6082.10009002275,7.034262103245153,1.9418352636981289,0.8211746264022252,179203287.3317393,7391919.967637314,0.8169855326871092,711.279,441.76818739393616,0.337102282564548,1047979374.6077222,47535299.89185723,23.96060027360057,985803941.0750096,8.242782601577437,0.8139893555047253
2004-1,0.6279521987366027,-6360.043009879893,6.775421109777445,1.2887103771069537,0.8146624868021721,179384775.903975,7397520.947074695,0.8183674345886709,706.731,444.2249711777199,0.3385448193054681,1049168141.1682132,47555836.13546863,23.966513118657527,986157674.2450852,8.236641446125523,0.8141044846502339
2004-2,0.6179234500456987,-6312.09879505444,6.535527586437412,1.2447554117031494,0.7877508194696684,179558325.62127495,7402970.507331404,0.813175865272952,697.361,446.53420801982514,0.3393247645954468,1050285998.2301269,47575817.2713937,23.97316978306292,986492263.972734,8.23463183030726,0.8142090030086258
2004-3,0.6110282002564377,-6382.974247910342,6.304693993612522,1.2465540316260806,0.7462153668542578,179731875.3385749,7408420.067588114,0.7940584078254243,859.304,450.9179516095687,0.3404486912773846,1051403855.2920403,47595798.40731876,23.979826447468305,986826853.7003828,8.232622214488996,0.8143135213670177
2004-4,0.602215193421453,-6659.524121320398,6.092845857236326,1.2127250214234362,0.7161196882161044,179905425.05587482,7413869.627844823,0.7742123337341686,762.222,451.5269516095688,0.3415191610938648,1052521712.353954,47615779.54324383,23.986483111873696,987161443.4280314,8.230612598670733,0.8144180397254096
2004-5,0.5930166849467975,-6639.092352241397,5.906435456003245,1.2817627267622196,0.6877653033067546,180078974.77317473,7419319.188101534,0.7850618617376672,763.92,454.6653418534712,0.3425345652570918,1053639569.4158676,47635760.679168895,23.993139776279087,987496033.1556802,8.22860298285247,0.8145225580838016
2004-6,0.574475450988554,-6748.885395968077,5.749095649630231,1.4699831580623657,0.6580265037168356,180252524.49047467,7424768.748358243,0.7615174276282071,778.743,456.87765137728064,0.3434932261829571,1054757426.4777812,47655741.815093964,23.999796440684477,987830622.8833288,8.226593367034207,0.8146270764421935
2004-7,0.5593363966337657,-6784.497815846861,5.627047610968012,1.277476010520013,0.6207840323429428,180426074.2077746,7430218.308614952,0.7524273421975352,776.245,460.2056048656528,0.3444954373787309,1055875283.5396948,47675722.95101904,24.006453105089864,988165212.6109776,8.224583751215944,0.8147315948005853
2004-8,0.5366506165950669,-6905.605509166634,5.503636763429107,1.3692624947884502,0.5909034137973287,180599623.9250745,7435667.868871663,0.7295497751500113,827.48,464.4118094111072,0.3454394224374665,1056993140.6016084,47695704.086944096,24.01310976949525,988499802.3386264,8.22257413539768,0.8148361131589773
2004-9,0.521373108360619,-6995.222858870797,5.379865840264738,1.2233548439105977,0.5537026055994817,180773173.6423745,7441117.429128372,0.7095428699539044,802.352,467.67354274444057,0.3460172114943773,1058110997.663522,47715685.222869165,24.01976643390064,988834392.066275,8.220564519579417,0.8149406315173692
2004-10,0.5156158255655208,-7120.238857990881,5.253056293059425,1.0832535786578323,0.5450174136197448,180946723.3596744,7446566.989385082,0.6959159305043552,718.557,470.8874557879188,0.3461185967314641,1059228854.7254356,47735666.35879423,24.026423098306037,989168981.7939236,8.218554903761154,0.8150451498757612
2004-11,0.5071034898207396,-7055.497216121851,5.122595130555095,1.225778954987658,0.5310516981315352,181120273.0769744,7452016.549641792,0.6696517138276467,738.6,474.9640302560039,0.3461455464706547,1060346711.7873492,47755647.4947193,24.033079762711424,989503571.5215724,8.21654528794289,0.815149668234153
2004-12,0.4969515420076215,-6921.044658255659,4.995239879121229,1.1747086678519794,0.5059456433043616,181293822.79427427,7457466.109898502,0.6553570801963157,716.803,478.5022594226707,0.3460958664576982,1061464568.8492628,47775628.63064436,24.03973642711681,989838161.2492212,8.214535672124628,0.815254186592545
2005-1,0.483143045759377,-7202.757774714469,4.860078219431911,1.4639532115258698,0.4921828904516431,181467372.5115742,7462915.670155211,0.6473973428202994,656.269,480.6893410553237,0.346184122151938,1062582425.9111764,47795609.76656943,24.0463930915222,990172750.97687,8.212526056306364,0.8153587049509369
2005-2,0.4753697952172824,-7128.700399706268,4.725791184629883,1.4873522528925844,0.479032861785929,181632962.2895496,7468228.679464037,0.6298003725137261,745.154,484.8811700564529,0.3462088226914595,1063554568.9977064,47812547.60548282,24.05082357805756,990390680.9300576,8.205354393802207,0.815452811131044
2005-3,0.4664937288356185,-7221.778170229833,4.596932598972333,1.394672339987124,0.4648610952618953,181798552.067525,7473541.688772862,0.6197803250738215,788.618,491.5401180167887,0.3461859901631477,1064526712.0842366,47829485.4443962,24.055254064592912,990608610.8832452,8.198182731298047,0.8155469173111511
2005-4,0.4550001182228941,-7427.695727374902,4.479302822781261,1.513866283918324,0.4371435666899209,181964141.8455004,7478854.698081687,0.6089935578495764,790.169,496.0213680141079,0.3457032654217215,1065498855.1707668,47846423.28330959,24.059684551128267,990826540.8364328,8.191011068793888,0.8156410234912582
2005-5,0.4387655535867955,-7307.848389698152,4.361373483938184,1.5686237807140602,0.4197283588146051,182129731.6234758,7484167.707390512,0.6112913639662371,791.663,501.01577690350064,0.3451644752291718,1066470998.2572968,47863361.12222297,24.064115037663623,991044470.7896204,8.18383940628973,0.8157351296713653
2005-6,0.4302028729547594,-7431.800235590503,4.256101726196984,1.400078135123935,0.4199780553732319,182295321.4014512,7489480.716699338,0.5804670357747842,837.181,506.2312356576312,0.3443653929956015,1067443141.343827,47880298.96113636,24.068545524198974,991262400.742808,8.176667743785572,0.8158292358514725
2005-7,0.4313751989691616,-7447.830376487559,4.16168717243741,1.5002475733361442,0.426655987569031,182460911.1794265,7494793.726008162,0.5645649922940777,818.964,511.01995751558746,0.3437098119329487,1068415284.4303572,47897236.80004974,24.072976010734333,991480330.6959956,8.169496081281412,0.8159233420315796
2005-8,0.4316478866297594,-7426.454566904413,4.079825078928361,1.366263537502306,0.4533210772878235,182626500.957402,7500106.735316987,0.5609756759595197,914.839,516.8792036510926,0.3429975499818963,1069387427.5168872,47914174.638963126,24.07740649726969,991698260.649183,8.162324418777253,0.8160174482116866
2005-9,0.4277093852365702,-7512.020875107958,4.012628248908924,1.489061200727286,0.4844114534007803,182792090.7353773,7505419.744625812,0.5646643450021134,842.283,520.7751799373224,0.3424366108431869,1070359570.6034174,47931112.477876514,24.081836983805044,991916190.6023706,8.155152756273095,0.8161115543917938
2005-10,0.4225131084131527,-7687.979669089395,3.9602332396446167,1.2109586000669308,0.4945726100320757,182957680.51335275,7510732.753934638,0.5644640550493971,813.976,526.6429021836298,0.3416271067536832,1071331713.6899476,47948050.316789895,24.0862674703404,992134120.5555582,8.147981093768937,0.8162056605719009
2005-11,0.410747290823505,-7676.736667287167,3.9221772649399615,1.6422607052183609,0.4959029929217597,183123270.29132813,7516045.763243463,0.5622657106505984,902.902,531.5723240436074,0.3405607589677704,1072303856.7764776,47964988.15570328,24.090697956875758,992352050.5087458,8.140809431264778,0.816299766752008
2005-12,0.4101195327303973,-7542.184036343686,3.892160292125506,1.377980104178371,0.5121818479826961,183288860.0693036,7521358.772552288,0.5630711908624105,822.704,535.033480460494,0.3394372142526465,1073275999.863008,47981925.994616665,24.09512844341111,992569980.4619334,8.133637768760618,0.8163938729321152
2006-1,0.4093210137705744,-7965.495545452277,3.8684439286332686,1.0704709367180183,0.5246513831169914,183454449.8472789,7526671.781861113,0.5580933471517024,851.312,540.0493639924647,0.3382603761238322,1074248142.949538,47998863.83353005,24.099558929946465,992787910.415121,8.12646610625646,0.8164879791122223
2006-2,0.4028183365263698,-7956.205189035386,3.846872965752776,1.272740378704435,0.5117940136540285,183612058.601541,7531879.804076586,0.5540061208774786,745.81,545.0690862948063,0.3370300813650232,1075097729.074698,48026871.16249654,24.102985030172004,992935946.1006722,8.12436555252912,0.8165718717228765
2006-3,0.3998570076790366,-8153.367564422752,3.842818789820434,1.087038179944784,0.5216724461884032,183769667.35580307,7537087.826292059,0.558308779155122,969.343,550.9009613616428,0.3361669245644024,1075947315.1998582,48054878.49146302,24.106411130397547,993083981.7862236,8.12226499880178,0.8166557643335306
2006-4,0.3979963710958243,-8423.448244351577,3.836249908110392,1.2439483036977474,0.5491307539299164,183927276.1100652,7542295.848507533,0.5671710316312383,840.438,553.5717370708687,0.3350999497335252,1076796901.3250182,48082885.820429504,24.10983723062309,993232017.4717748,8.12016444507444,0.8167396569441847
2006-5,0.4056653747218318,-8229.867308086905,3.840605092822108,0.9925459420462728,0.5836820001689738,184084884.86432725,7547503.870723005,0.5968232499556683,974.086,557.0656918762014,0.3337444556241306,1077646487.4501784,48110893.14939599,24.11326333084863,993380053.157326,8.118063891347099,0.8168235495548389
2006-6,0.4149031030845876,-8333.395980655183,3.8357922282673904,1.1619063477174951,0.6123741776559579,184242493.6185893,7552711.892938478,0.6052265435927703,905.143,562.3453112644204,0.3323405758357027,1078496073.5753384,48138900.47836247,24.116689431074168,993528088.8428774,8.115963337619759,0.8169074421654932
2006-7,0.4267485653722618,-8363.641502791654,3.834296240076312,1.0107148892098956,0.6206261710016543,184400102.37285143,7557919.915153951,0.6134655051430675,952.021,568.2696920784437,0.3311537870531057,1079345659.7004986,48166907.80732896,24.12011553129971,993676124.5284286,8.113862783892419,0.8169913347761473
2006-8,0.4258794259587617,-8483.803210688488,3.837301314139748,1.137471455329126,0.6093984595457096,184557711.1271135,7563127.937369425,0.6251193452031805,995.243,573.3717142664598,0.3296243656178889,1080195245.8256586,48194915.13629543,24.12354163152525,993824160.2139798,8.111762230165079,0.8170752273868014
2006-9,0.427904503700878,-8564.573776025667,3.830845488644045,1.0587078803302106,0.6087555012956766,184715319.8813756,7568335.959584897,0.6374779078573267,928.49,577.533079671671,0.3283832420093261,1081044831.9508183,48222922.46526192,24.12696773175079,993972195.8995312,8.109661676437739,0.8171591199974556
2006-10,0.4308949403404751,-8753.077264130869,3.820865481468113,1.421378557730808,0.6272259685547825,184872928.63563767,7573543.98180037,0.6494765821002537,930.604,582.8414579763083,0.3270845895708556,1081894418.0759788,48250929.7942284,24.13039383197633,994120231.5850824,8.107561122710397,0.8172430126081098
2006-11,0.4297781875807803,-8585.918047929645,3.797759546537678,1.4120349588618786,0.6138016533493752,185030537.38989973,7578752.004015843,0.6544472076430272,950.276,587.2616825107652,0.3265940996288025,1082744004.2011387,48278937.12319488,24.13381993220187,994268267.2706336,8.105460568983057,0.8173269052187639
2006-12,0.4275878752901689,-8102.613779191029,3.778681269312833,1.1875702591687969,0.5948781830476984,185188146.14416185,7583960.026231317,0.6529124218025248,821.024,590.1782264343318,0.3258277435708054,1083593590.326299,48306944.45216136,24.137246032427413,994416302.956185,8.103360015255717,0.8174107978294181
2007-1,0.4261722902551189,-8429.349883699913,3.758139256867763,1.0484592446587069,0.5915910920220523,185345754.8984239,7589168.048446789,0.652250285916937,868.685,593.573960454978,0.3252100267771954,1084443176.451459,48334951.78112785,24.140672132652952,994564338.6417364,8.101259461528377,0.8174946904400723
2007-2,0.4272545197346237,-8207.504212454718,3.739732339264414,0.8421045009906388,0.5821912594010402,185495361.54458392,7594051.910447072,0.6486758561842155,843.901,596.4218098304812,0.3241697391164863,1085105890.1855414,48351274.283404,24.140931684001757,994574206.4865352,8.098759760625146,0.8175685680901054
2007-3,0.421374616153345,-8302.699392306728,3.706955628134506,1.018140906308683,0.5624597981278792,185644968.19074392,7598935.772447355,0.6396733150346336,1013.232,601.8815983972979,0.3233117986353644,1085768603.919624,48367596.78568015,24.141191235350558,994584074.3313338,8.096260059721917,0.8176424457401384
2007-4,0.4226987158945232,-8434.701866226666,3.675935689954143,0.9033883329680754,0.5607781390026951,185794574.836904,7603819.634447637,0.6337527638093442,904.763,603.5846286091453,0.3222327335021444,1086431317.6537066,48383919.2879563,24.14145078669935,994593942.1761326,8.093760358818686,0.8177163233901715
2007-5,0.4265292995204747,-8141.051175182823,3.63852003418216,0.9401668232327632,0.5641176200703027,185944181.483064,7608703.49644792,0.653237645563625,999.487,607.488613519248,0.3213455797894999,1087094031.387789,48400241.79023245,24.141710338048156,994603810.0209312,8.091260657915457,0.8177902010402046
2007-6,0.427912233110958,-8026.170619784551,3.601931188268772,0.8058311751117864,0.557268421320419,186093788.129224,7613587.358448203,0.6449100186574492,989.026,610.588344878753,0.3202472349846087,1087756745.1218717,48416564.2925086,24.141969889396957,994613677.86573,8.088760957012227,0.8178640786902377
