,Piauí - Depósito Poupança (R$),Piauí - IDH Renda,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Piauí - IDH Longevidade,Piauí - IDH,Piauí- custo m2 (R$),Piauí - Produção de Cimento (t),Piauí - Consumo de Cimento (t),Piauí - IDH Educacao,Piauí - PIB - Estadual,Piauí - PIB - Construção Civil,Piauí - PIB - Per Capita,Piauí - PIB - Preços de Mercado,Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%),Piauí - Desemprego
2003-1,1392135.6263237,0.5783349437609759,0.5721452166914915,1002.090457455112,619.4382086161611,29.77432152699822,22.49867352817644,65.28872816324986,1.5311451569502013,0.7301775918156417,0.6492176448058882,9410.9484,24.66976,21.844,0.6054313175035991,21360630.68419292,1358044.2713284844,6.061140951799438,18681487.00784765,384683.0938712437,7330309.193826131,231.51074798216845,2097000.9864067405,1.0365342950716354,3.656420434634564,0.9696488878423896,0.7240323223220154,-5331.049150116268,11.520142924731228,126.45980915464608,177206913.03714657,169.24766508395643,1.6114984011933968,8.192265612259057
2003-2,1402507.4310370209,0.5789589610530277,0.5757563914936585,1002.0916326216936,621.9876674896469,29.76872760536446,22.492856629033376,65.2962041221174,1.5302151366594363,0.7305061308719095,0.6496609713002554,9501.490707692308,25.16714461538462,15.814,0.6059520446140139,21391024.460593555,1359835.0997859696,6.065064519547902,18695064.532363348,385266.2039276414,7335910.173263511,208.71015703269052,2000522.7967193644,0.9934494214635804,3.654696592424286,0.9507826970690516,0.6902970479188117,-5318.079644051534,11.189861881849811,126.58181336832098,177388401.60938227,170.1768096658525,1.4503889427633918,8.186155968290219
2003-3,1412879.2357503416,0.5795829783450794,0.5778629101282559,1002.0923181355328,623.4748518325137,29.76546448441143,22.48946343786659,65.30056509812346,1.529672624823157,0.7308346699281774,0.6501042977946226,9582.3033002849,25.520403874643872,16.067,0.6064727717244287,21421418.236994192,1361625.9282434548,6.068988087296366,18708642.056879044,385305.059559777,7341511.152700892,227.70484146326487,1963277.563715221,0.9730199952886446,3.654265631871717,0.9383319190618296,0.6696806488591152,-5436.417870121553,10.82079163233486,126.70381758199588,177569890.18161798,171.13571268536208,1.870184311511264,8.180046324321381
2003-4,1423251.0404636625,0.5802069956371312,0.5780886085533913,1002.092391583444,623.6341930121065,29.765114864309325,22.489099881670143,65.30103234555268,1.5296144985549844,0.7311632089844452,0.6505476242889898,9659.062943142042,25.519725303215303,14.938,0.6069934988348434,21451812.013394825,1363416.75670094,6.072911655044829,18722219.58139474,385752.0526974837,7347112.132138272,278.1210725338106,1954186.9673829167,0.940488752580393,3.653595248789941,0.9264010581332036,0.6604937853917251,-5707.015273535643,10.417840426092068,126.8258217956708,177751378.75385368,172.11690429852618,1.3552874765398468,8.173936680352544
2003-5,1433622.8451769834,0.5808310129291829,0.5654282917739794,1001.9317258332908,593.2573364522319,29.98542817088648,22.81555049921857,65.74728567721151,1.500524016908353,0.731491748040713,0.650990950783357,9730.815356935149,25.92931151011185,17.765,0.6075142259452582,21482205.78979546,1365207.5851584254,6.076835222793293,18735797.105910435,387164.02245145215,7352713.111575652,344.8276329403539,1975492.815967628,0.9174932274418915,3.650265742856423,0.9516834453474324,0.6483369045565663,-5599.317940972945,9.959689613256948,126.976217268469,177932867.32608938,173.07227137831447,1.5855384957135032,8.167827036383706
2003-6,1443994.649890304,0.5814550302212347,0.5504359675345366,1001.7544113937054,563.5538895990272,30.22215931148756,23.171005386477454,66.24216582728988,1.4693509305417338,0.7318202870969809,0.6514342772777243,9797.367023601812,26.26144484344519,17.561,0.6080349530556729,21512599.56619609,1366998.4136159106,6.080758790541757,18749374.63042613,388761.2150297872,7358314.091013032,403.3358108738256,1998603.3336101088,0.9127593777790712,3.6467914899304974,0.9096671663294,0.6327588982490451,-5720.383331634745,9.432414860416127,127.12661274126718,178114355.8983251,174.08403528043308,1.7078914536714904,8.161717392414868
2003-7,1454366.454603625,0.5820790475132864,0.5309555473144238,1001.5345916653844,526.8567316230472,30.51469557651785,23.612324423990025,66.86180924684288,1.4308394585833777,0.7321488261532487,0.6518776037720915,9861.661862311492,26.61879968215487,21.26,0.6085556801660876,21542993.342596725,1368789.2420733958,6.084682358290221,18762952.154941827,391151.2474962479,7363915.070450412,458.988731857359,2015092.1149275475,0.9100665913481976,3.64252033160977,0.8904414926874215,0.6380135035998685,-5884.375046061743,8.822929754380787,127.27700821406538,178295844.4705608,175.11686754427973,1.5982839320937383,8.15560774844603
2003-8,1464738.259316946,0.5827030648053383,0.5075051449669998,1001.2803292703176,484.3954833072406,30.852060082823268,24.12392146263584,67.58768095922245,1.3863169867584235,0.7324773652095166,0.6523209302664587,9922.93154981149,26.938799682154865,20.367,0.6090764072765025,21573387.11899736,1370580.070530881,6.088605926038685,18776529.679457527,394602.69250520703,7369516.049887793,511.35366509461136,2025274.426403531,0.8898926477529421,3.637477796639721,0.8702308928724296,0.6346344548960355,-5959.855464930735,8.332469749880811,127.78581374211151,178477333.0427965,176.1781190591966,1.7218082520903182,8.149498104477193
2003-9,1475110.0640302666,0.58332708209739,0.4806028743456228,1000.9996868304952,437.3997654345568,31.22327594724971,24.690210353294447,68.40124598778054,1.3371109007920108,0.7328059042657844,0.652764256760826,9978.64458011452,27.309193621548808,21.737,0.6095971343869172,21603780.895397995,1372370.898988366,6.092529493787149,18790107.203973223,399908.58800029097,7375117.029325173,553.8427506830036,2031413.005992216,0.8665147784673063,3.631689413765834,0.844478552685211,0.6323269495840285,-6014.809970017429,7.939983702859978,128.29461927015768,178658821.6150322,177.28690599934166,1.6351282376087797,8.143388460508355
2003-10,1485481.8687435875,0.5839510993894418,0.4507668493036516,1000.7007269679068,387.0991987879446,31.6173662866431,25.295604946845398,69.28396935586913,1.2845485864092785,0.7331344433220522,0.6532075832551931,10034.52163893805,27.577664209784103,23.881,0.6101178614973319,21634174.671798628,1374161.7274458515,6.0964530615356125,18803684.72848892,405807.0561010996,7380718.008762553,592.2047551147313,2157686.7340271496,0.8493838484375612,3.625180711733593,0.8421829305905358,0.629038170305887,-6121.266757398654,7.604976000172705,128.80342479820382,178840310.1872679,178.40644498164465,1.8119435424411887,8.137278816539517
