,Roraima - IDH,Roraima - IDH Longevidade,Roraima - Consumo de Cimento (t),Roraima- custo m2 (R$),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Roraima - IDH Educacao,Roraima - Depósito Poupança (R$),Roraima - PIB - Estadual,Roraima - PIB - Construção Civil,Roraima - PIB - Per Capita,Roraima - PIB - Preços de Mercado,Roraima - IDH Renda,Roraima - Desemprego,Roraima - value,Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%)
2003-1,0.734916255848655,0.7375792961535133,6.92,12652.753599999998,2.0587783068328687,1001.0771976942168,1671.3476355522323,25.56909418814516,22.736364257227443,82.3252610667893,1.6149600994278306,0.7217138848512609,137154.814617456,6128460.111199017,332580.20282068977,12.101540149290196,5339135.99993909,0.7668112495613184,8.263084148815043,0.2945827226410365,384683.0938712437,7330309.193826131,231.51074798216845,2097000.9864067405,1.0365342950716354,3.656420434634564,0.9696488878423896,0.7240323223220154,-5331.049150116268,11.520142924731228,126.45980915464608,177206913.03714657,169.24766508395643,1.6114984011933968
2003-2,0.7349569256806422,0.7379028212561961,7.476,12757.33629230769,2.0587783068328687,1001.0792575487328,1671.3476355522323,25.57536920706597,22.73119068196049,82.3252610667893,1.6157594782745135,0.7219743291638478,138007.57210324492,6136622.305355945,332914.7555428277,12.103484594579648,5342057.139001624,0.7663480571482768,8.257122593341329,0.2965051934126193,385266.2039276414,7335910.173263511,208.71015703269052,2000522.7967193644,0.9934494214635804,3.654696592424286,0.9507826970690516,0.6902970479188117,-5318.079644051534,11.189861881849811,126.58181336832098,177388401.60938227,170.1768096658525,1.4503889427633918
2003-3,0.7349975955126293,0.738226346358879,8.659,12860.789996011395,2.0587783068328687,1001.0804591305338,1671.3476355522323,25.579029634769785,22.72817276305477,82.3252610667893,1.6162257826017452,0.7222347734764347,138860.32958903382,6144784.499512873,333249.30826496566,12.1054290398691,5344978.278064159,0.7658848647352353,8.251161037867615,0.2981777047425547,385305.059559777,7341511.152700892,227.70484146326487,1963277.563715221,0.9730199952886446,3.654265631871717,0.9383319190618296,0.6696806488591152,-5436.417870121553,10.82079163233486,126.70381758199588,177569890.18161798,171.13571268536208,1.870184311511264
2003-4,0.7350382653446166,0.7385498714615618,7.259,12962.516424582824,2.0587783068328687,1001.080587871441,1671.3476355522323,25.57942182345233,22.727849414600588,82.3252610667893,1.6162757437796629,0.7224952177890217,139713.08707482275,6152946.693669801,333583.8609871036,12.107373485158554,5347899.417126693,0.7654216723221938,8.245199482393899,0.2995983546285941,385752.0526974837,7347112.132138272,278.1210725338106,1954186.9673829167,0.940488752580393,3.653595248789941,0.9264010581332036,0.6604937853917251,-5707.015273535643,10.417840426092068,126.8258217956708,177751378.75385368,172.11690429852618,1.3552874765398468
2003-5,0.7350789351766037,0.7388733965642447,6.786,13063.753665962136,2.047444972634791,1001.0669581329254,1673.9536744900945,25.60051171728688,22.70095944512384,82.16328754837592,1.6262107244464898,0.7227556621016087,140565.84456061167,6161108.887826729,333918.41370924155,12.109317930448006,5350820.556189227,0.7649584799091522,8.239237926920184,0.3009651914332306,387164.02245145215,7352713.111575652,344.8276329403539,1975492.815967628,0.9174932274418915,3.650265742856423,0.9516834453474324,0.6483369045565663,-5599.317940972945,9.959689613256948,126.976217268469,177932867.32608938,173.07227137831447,1.5855384957135032
2003-6,0.7351196050085909,0.7391969216669275,5.555,13159.324665962136,2.036227336754453,1001.0507803801166,1676.6057346020125,25.62197538304714,22.67305476632486,81.98377849817395,1.6370238847770853,0.7230161064141956,141418.60204640057,6169271.081983657,334252.9664313795,12.111262375737455,5353741.695251762,0.7644952874961106,8.23327637144647,0.3012600543220692,388761.2150297872,7358314.091013032,403.3358108738256,1998603.3336101088,0.9127593777790712,3.6467914899304974,0.9096671663294,0.6327588982490451,-5720.383331634745,9.432414860416127,127.12661274126718,178114355.8983251,174.08403528043308,1.7078914536714904
2003-7,0.735160274840578,0.7395204467696104,5.06,13248.37305305891,2.021858957729309,1001.029319449913,1680.014170794714,25.64889829072201,22.637626112643552,81.75007264981686,1.6509748567506122,0.7232765507267825,142271.3595321895,6177433.276140584,334587.51915351744,12.11320682102691,5356662.834314296,0.7640320950830691,8.227314815972754,0.3022970604006271,391151.2474962479,7363915.070450412,458.988731857359,2015092.1149275475,0.9100665913481976,3.64252033160977,0.8904414926874215,0.6380135035998685,-5884.375046061743,8.822929754380787,127.27700821406538,178295844.4705608,175.11686754427973,1.5982839320937383
2003-8,0.7352009446725651,0.7398439718722932,5.241,13334.437428058907,2.004453825932119,1001.0027606999902,1684.1504098119178,25.6810979391305,22.59492936823242,81.46400035586306,1.6679552380649745,0.7235369950393695,143124.11701797842,6185595.470297512,334922.0718756554,12.115151266316364,5359583.97337683,0.7635689026700276,8.22135326049904,0.302258212331384,394602.69250520703,7369516.049887793,511.35366509461136,2025274.426403531,0.8898926477529421,3.637477796639721,0.8702308928724296,0.6346344548960355,-5959.855464930735,8.332469749880811,127.78581374211151,178477333.0427965,176.1781190591966,1.7218082520903182
2003-9,0.7352416145045523,0.7401674969749761,4.794,13418.329852301333,1.9841259317356408,1000.9712894880232,1688.9858783973425,25.718391827091622,22.54522041724398,81.127391968871,1.6878566264180763,0.7237974393519564,143976.87450376732,6193757.66445444,335256.6245977933,12.117095711605817,5362505.112439365,0.763105710256986,8.215391705025326,0.301733314685937,399908.58800029097,7375117.029325173,553.8427506830036,2031413.005992216,0.8665147784673063,3.631689413765834,0.844478552685211,0.6323269495840285,-6014.809970017429,7.939983702859978,128.29461927015768,178658821.6150322,177.28690599934166,1.6351282376087797
2003-10,0.7352822843365394,0.7404910220776589,5.781,13491.9783817131,1.9609892655126329,1000.9350911716872,1694.492003294707,25.760597453424392,22.488755143830733,80.74207784139905,1.710570619507822,0.7240578836645434,144829.63198955625,6201919.858611368,335591.1773199313,12.119040156895268,5365426.251501899,0.7626425178439444,8.209430149551611,0.3007119702310938,405807.0561010996,7380718.008762553,592.2047551147313,2157686.7340271496,0.8493838484375612,3.625180711733593,0.8421829305905358,0.629038170305887,-6121.266757398654,7.604976000172705,128.80342479820382,178840310.1872679,178.40644498164465,1.8119435424411887
