,Minas Gerais - IDH,Minas Gerais - Consumo de Cimento (t),Minas Gerais - IDH Educacao,Minas Gerais - value,Minas Gerais - IDH Renda,Minas Gerais - Produção de Cimento (t),Minas Gerais - Desemprego,Minas Gerais - PIB - Estadual,Minas Gerais - PIB - Construção Civil,Minas Gerais - PIB - Per Capita,Minas Gerais - PIB - Preços de Mercado,Contratação  Home equity (Bi R$),Contratação  Livre (Bi R$),Contratação  FGTS (Bi R$),Contratação  SFH (Bi R$),Contratação Jurídico Livre (Bi R$),Contratação Jurídico SFH (Bi R$),Direcionamento Aquisição (R$),Direcionamento Construção (R$),Direcionamento Aplicação (R$),Ativos Problemáticos - Home equity (R$),Ativos Problemáticos - SFH (R$),Ativos Problemáticos - FGTS (R$),Carteira de Crédito – Home equity (R$),Carteira de Crédito – Livre (R$),Carteira de Crédito - FGTS (R$),Carteira de Crédito - SFH  (R$),Carteira de Crédito P.Jurídica - Comercial (R$),Carteira de Crédito P.Jurídica -  Livre (R$),Carteira de Crédito  P.Jurídica - FGTS (R$),Inadimplência - SFH (%),Inadimplência - FGTS (%),Inadimplência - Livre (%),Inadimplência - Comercial (%),Inadimplência - Home equity (%),Poupança e Empréstimo - SBPE (R$), Títulos - LH (R$), Títulos – LIG (R$), Títulos – CRI (R$), Títulos – LCI (R$), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Minas Gerais - IDH Longevidade
2003-1,0.7565371148204723,247.134,0.6989289279900401,0.3345360459481215,0.759344684931655,648.89116,8.242461537567124,293775203.7644595,17250773.822793443,14.096054158781325,275911748.7069836,201462456.11714217,1542506309.8411367,924895565.5692492,3117875881.3919983,423526878.091591,587167163.7021592,130093454953.13837,10395732075.17002,114575431471.5868,435565959.640581,3647348309.183967,4601248467.012386,9143675659.538502,77025091755.42033,66645104500.97764,70357915486.0413,487292826.3123182,19700442358.53432,20216902146.922844,1.557727272727273,2.4681182235196006,1.6032139282735605,0.3007954545454545,3.988205796497079,154037952387.93182,1211245345.725728,8107261626.504135,19217885920.21961,82028811059.6894,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6397179054162052,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,0.8261747233137611
2003-2,0.756708211319166,305.708,0.69924990778552,0.3356703978945113,0.759119366898612,652.3963138461539,8.236470415606963,294147980.8001445,17269592.65609134,14.102603076736544,276064795.0573721,201519587.26159823,1542506309.8411367,926762087.4812832,3118865604.6653376,423526878.091591,587167163.7021592,130093454953.13837,10395732075.17002,114575431471.5868,437325871.5196978,3662679592.298504,4601248467.012386,9149334944.391596,77025091755.42033,66645104500.97764,70357915486.0413,487292826.3123182,19700442358.53432,20216902146.922844,1.557727272727273,2.467045413823511,1.6031184627526365,0.3007954545454545,3.9912293197597073,154037952387.93182,1211245345.725728,8107261626.504135,19217885920.21961,82227161794.38548,0.6902970479188117,-5318.079644051534,11.189861881849811,1.3788993761097037,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,0.8266172445044698
2003-3,0.7568793078178597,284.168,0.6995708875809997,0.3365530144162337,0.7588940488655691,655.9115731054131,8.230479293646802,294520757.8358295,17288411.489389233,14.109151994691768,276217841.4077607,201552913.7625309,1542506309.8411367,929095239.8713256,3119442943.241452,423526878.091591,587167163.7021592,130093454953.13837,10395732075.17002,114575431471.5868,438352486.782516,3671622840.781984,4601248467.012386,9152636193.889236,77025091755.42033,66645104500.97764,70357915486.0413,487292826.3123182,19700442358.53432,20216902146.922844,1.557727272727273,2.4664196081674588,1.6030627745320971,0.3007954545454545,3.992993041662908,154037952387.93182,1211245345.725728,8107261626.504135,19217885920.21961,82342866389.62486,0.6696806488591152,-5436.417870121553,10.82079163233486,1.924316748240424,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,0.8270597656951786
2003-4,0.7570504043165535,286.594,0.6998918673764796,0.33653098238474,0.7586687308325262,656.7464302482704,8.224488171686641,294893534.8715145,17307230.32268713,14.11570091264699,276370887.75814927,201556484.45905945,1542506309.8411367,930401905.5849524,3119504800.9460354,423526878.091591,587167163.7021592,130093454953.13837,10395732075.17002,114575431471.5868,438462481.2749608,3672581045.9766426,4601248467.012386,9152989899.192554,77025091755.42033,66645104500.97764,70357915486.0413,487292826.3123182,19700442358.53432,20216902146.922844,1.557727272727273,2.4663525575614536,1.6030568079370395,0.3007954545454545,3.993182011866822,154037952387.93182,1211245345.725728,8107261626.504135,19217885920.21961,82355263310.54337,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3311738085719491,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,0.8275022868858873
2003-5,0.7572215008152472,312.455,0.7002128471719594,0.3364055318384156,0.7584434127994834,660.1146716275807,8.218497049726482,295266311.9071995,17326049.155985028,14.122249830602213,276523934.1085378,201754347.2436863,1544532267.3531897,932988863.9296496,3125212876.866717,424197467.2714536,587783609.9454554,130107691275.1087,10394625278.27334,114705716330.9839,439159108.9251241,3686861411.6189823,4603092170.54808,9157498856.155409,77004992869.51372,66632423045.992615,70383334397.9698,489117728.098564,19703613363.707813,20222331756.693333,1.557311029882877,2.4657665094378096,1.6017181235547433,0.301067129061027,3.992906696360227,154313356413.44116,1211478796.0401063,8089349468.850023,19218433382.21518,82459803632.12042,0.6483369045565663,-5599.317940972945,9.959689613256948,1.7360716517829076,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,0.8279448080765961
2003-6,0.7573925973139409,299.651,0.7005338269674392,0.335765690691913,0.7582180947664404,661.4202382942473,8.21250592776632,295639088.9428845,17344867.98928292,14.128798748557434,276676980.4589263,201957955.1935469,1546908262.734064,935358225.4724495,3131464802.8059,424972361.44158834,588499241.3989652,130126450067.38615,10393433249.900108,114860600545.03555,439306573.7613272,3697713378.91216,4605230658.734264,9160653950.13224,76982125045.18892,66618163786.45156,70413841126.60748,491246285.931748,19707387020.2554,20228742462.338394,1.55682392791826,2.4654898213939407,1.6002054508482808,0.3013635317058248,3.991431808955376,154639229671.55905,1211747864.6040154,8068369328.283034,19219737281.36202,82507927450.4187,0.6327588982490451,-5720.383331634745,9.432414860416127,1.8491678046235127,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,0.8283873292673049
2003-7,0.7575636938126347,340.885,0.700854806762919,0.3356249559233373,0.7579927767333975,666.4659479716668,8.20651480580616,296011865.9785695,17363686.822580818,14.135347666512656,276830026.8093149,202214957.14555728,1550036025.0881956,937876709.9395428,3139512410.854654,425989970.7390316,589439249.7983502,130152422228.87473,10391943707.988922,115065895586.86964,439194712.46541387,3709319278.313315,4608065347.737236,9163828084.883158,76952110010.17926,66599923116.81848,70454757639.76314,494048899.8469375,19712394953.26108,20237217122.22505,1.5561827061435989,2.4653128915841886,1.5982345824716202,0.3017535273882209,3.9889642985997615,155070148184.784,1212101388.534788,8040682621.371575,19221715500.342857,82536984450.04909,0.6380135035998685,-5884.375046061743,8.822929754380787,1.67676361545111,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,0.8288298504580136
2003-8,0.7577347903113284,322.275,0.7011757865583989,0.3343562234594034,0.7577674587003546,668.8839167216668,8.200523683845999,296384643.01425457,17382505.655878715,14.141896584467878,276983073.1597035,202524133.0924266,1553897797.0561976,940546710.3737036,3149314298.776522,427244205.32914,590597818.8152549,130185998458.57149,10390200798.196669,115321044754.86565,438831193.83514726,3721672424.85343,4611593676.641672,9167026650.718103,76915101699.52654,66578051022.14627,70506220833.77563,497511103.1869276,19718626673.645603,20247723995.58969,1.5553909037937237,2.465232648313551,1.5958165176862025,0.3022369142206962,3.985530261168005,155604505009.91702,1212537421.0806632,8006404517.138649,19224444170.19608,82547619645.68053,0.6346344548960355,-5959.855464930735,8.332469749880811,1.8097393112807352,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,0.8292723716487225
2003-9,0.7579058868100221,345.219,0.7014967663538786,0.3323442108107594,0.7575421406673116,673.6921894489394,8.194532561885838,296757420.0499396,17401324.48917661,14.1484455024231,277136119.510092,202884263.02686417,1558475821.2786837,943370619.8177072,3160829064.335048,428728975.37726974,591969132.1213238,130227569455.47354,10388248666.180227,115625491347.40312,438223686.6682905,3734766133.563488,4615813084.532248,9170255037.947033,76871254048.27249,66552897487.48788,70568367604.9838,501618429.2945132,19726071692.329727,20260231341.66868,1.5544520601034642,2.465246019887027,1.5929622557534675,0.3028134903157318,3.9811557925347176,156240693203.75922,1213054015.4898794,7965650184.607262,19227999421.96008,82540478051.98201,0.6323269495840285,-6014.809970017429,7.939983702859978,1.8316690419412016,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,0.8297148928394312
2003-10,0.7580769833087159,352.678,0.7018177461493584,0.330185600544828,0.7573168226342688,677.8824541548217,8.188541439925679,297130197.0856246,17420143.322474506,14.154994420378324,277289165.86048055,203294126.9415792,1563752340.3962662,946350831.3143276,3174015305.293775,430438191.0487776,593547373.3882011,130277525918.578,10386131457.596489,115978678662.86163,437379859.76260686,3748593719.474471,4620721010.493643,9173518636.879889,76820720991.45891,66524812497.896194,70641334849.72647,506356411.5124893,19734719520.2342,20274707419.6984,1.5533697143076504,2.465349934609614,1.589682795934857,0.3034830537858087,3.975866988574518,156977105823.11166,1213649225.0106754,7918534792.80042,19232457386.673244,82516204683.6225,0.629038170305887,-6121.266757398654,7.604976000172705,2.039285364639529,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,0.83015741403014
