,Santa Catarina - IDH,Santa Catarina - value, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Santa Catarina - Desemprego,Santa Catarina - Consumo de Cimento (t),Santa Catarina - Produção de Cimento (t),Santa Catarina - PIB - Estadual,Santa Catarina - PIB - Construção Civil,Santa Catarina - PIB - Per Capita,Santa Catarina - PIB - Preços de Mercado
2003-1,0.7977678874701567,0.311112582932095,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6397179054162052,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,8.256605689258727,142.456,20.2168,132006541.53463072,6638363.257953425,19.725168296275115,122186034.17445844
2003-2,0.7978533919669824,0.3127871271673234,0.6902970479188117,-5318.079644051534,11.189861881849811,1.3788993761097037,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,8.250731009646879,135.829,19.63103076923077,132174301.81613465,6642079.962128286,19.73227718328098,122251295.40319423
2003-3,0.7979388964638081,0.3142072209849679,0.6696806488591152,-5436.417870121553,10.82079163233486,1.924316748240424,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,8.24485633003503,133.135,19.40091965811966,132342062.09763852,6645796.666303148,19.739386070286848,122316556.63193002
2003-4,0.7980244009606339,0.3155708628918769,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3311738085719491,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,8.238981650423185,144.723,19.15374108669109,132509822.37914243,6649513.37047801,19.746494957292715,122381817.86066584
2003-5,0.7981099054574595,0.3168802516120672,0.6483369045565663,-5599.317940972945,9.959689613256948,1.7360716517829076,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,8.233106970811336,150.523,18.91215487979453,132677582.66064632,6653230.074652871,19.75360384429858,122447079.08940162
2003-6,0.7981954099542852,0.3179294636972253,0.6327588982490451,-5720.383331634745,9.432414860416127,1.8491678046235127,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,8.227232291199488,128.735,18.5898215464612,132845342.94215022,6656946.778827732,19.760712731304448,122512340.31813742
2003-7,0.7982809144511109,0.3189249458470974,0.6380135035998685,-5884.375046061743,8.822929754380787,1.67676361545111,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,8.221357611587642,154.768,18.61740219162249,133013103.22365412,6660663.483002594,19.767821618310315,122577601.5468732
2003-8,0.7983664189479367,0.3198651144195626,0.6346344548960355,-5959.855464930735,8.332469749880811,1.8097393112807352,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,8.215482931975794,142.558,18.56346469162249,133180863.50515802,6664380.187177455,19.774930505316178,122642862.77560902
2003-9,0.7984519234447623,0.3207483549301641,0.6323269495840285,-6014.809970017429,7.939983702859978,1.8316690419412016,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,8.209608252363946,144.182,18.501858631016432,133348623.78666192,6668096.891352316,19.782039392322044,122708124.00434482
2003-10,0.798537427941588,0.3215730233333433,0.629038170305887,-6121.266757398654,7.604976000172705,2.039285364639529,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,8.203733572752098,152.08,18.452476278075256,133516384.0681658,6671813.595527178,19.78914827932791,122773385.2330806
2003-11,0.7986229324384138,0.3223416956322949,0.6315074373857803,-6097.745583517717,7.313008932848318,1.7470011225975584,0.8382390949358776,179021798.7595036,7386318.988199934,0.8327971802717965,8.19785889314025,139.013,18.41307627807526,133684144.34966972,6675530.29970204,19.796257166333778,122838646.46181642
2003-12,0.7987084369352395,0.3230528411646739,0.6292469617617195,-6082.10009002275,7.034262103245153,1.9418352636981289,0.8211746264022252,179203287.3317393,7391919.967637314,0.8169855326871092,8.191984213528404,119.17,18.39004850029748,133851904.6311736,6679247.003876901,19.803366053339644,122903907.6905522
2004-1,0.7987939414320652,0.3237089787475182,0.6279521987366027,-6360.043009879893,6.775421109777445,1.2887103771069537,0.8146624868021721,179384775.903975,7397520.947074695,0.8183674345886709,8.186109533916555,135.344,18.446994446243423,134019664.91267753,6682963.708051763,19.81047494034551,122969168.919288
2004-2,0.7988733096893726,0.3241045143680648,0.6179234500456987,-6312.09879505444,6.535527586437412,1.2447554117031494,0.7877508194696684,179558325.62127495,7402970.507331404,0.813175865272952,8.184061550734455,127.693,18.410126025190795,134172786.006011,6686265.293304482,19.81624212925044,123021285.39710446
2004-3,0.79895267794668,0.3244420703816137,0.6110282002564377,-6382.974247910342,6.304693993612522,1.2465540316260806,0.7462153668542578,179731875.3385749,7408420.067588114,0.7940584078254243,8.182013567552357,151.57,18.475382435447205,134325907.09934452,6689566.8785572015,19.82200931815536,123073401.8749209
2004-4,0.7990320462039875,0.3245160767300536,0.602215193421453,-6659.524121320398,6.092845857236326,1.2127250214234362,0.7161196882161044,179905425.05587482,7413869.627844823,0.7742123337341686,8.179965584370256,137.044,18.393982435447203,134479028.192678,6692868.4638099205,19.827776507060285,123125518.35273734
2004-5,0.7991114144612949,0.3247290135462565,0.5930166849467975,-6639.092352241397,5.906435456003245,1.2817627267622196,0.6877653033067546,180078974.77317473,7419319.188101534,0.7850618617376672,8.177917601188156,134.493,18.38376292325208,134632149.28601152,6696170.04906264,19.833543695965208,123177634.83055378
2004-6,0.7991907827186023,0.3246751621733867,0.574475450988554,-6748.885395968077,5.749095649630231,1.4699831580623657,0.6580265037168356,180252524.49047467,7424768.748358243,0.7615174276282071,8.175869618006057,150.25,18.42545339944256,134785270.37934503,6699471.634315359,19.83931088487013,123229751.30837023
2004-7,0.7992701509759097,0.3245527641500092,0.5593363966337657,-6784.497815846861,5.627047610968012,1.277476010520013,0.6207840323429428,180426074.2077746,7430218.308614952,0.7524273421975352,8.173821634823957,149.578,18.49724409711698,134938391.4726785,6702773.2195680775,19.845078073775056,123281867.78618668
2004-8,0.7993495192332172,0.3243601068930896,0.5366506165950669,-6905.605509166634,5.503636763429107,1.3692624947884502,0.5909034137973287,180599623.9250745,7435667.868871663,0.7295497751500113,8.171773651641857,164.042,18.62228955166243,135091512.56601202,6706074.804820797,19.850845262679982,123333984.26400311
2004-9,0.7994288874905247,0.3240953562248893,0.521373108360619,-6995.222858870797,5.379865840264738,1.2233548439105977,0.5537026055994817,180773173.6423745,7441117.429128372,0.7095428699539044,8.169725668459758,148.187,18.579956218329094,135244633.6593455,6709376.390073516,19.85661245158491,123386100.74181958
2004-10,0.799508255747832,0.3237566352625025,0.5156158255655208,-7120.238857990881,5.253056293059425,1.0832535786578323,0.5450174136197448,180946723.3596744,7446566.989385082,0.6959159305043552,8.167677685277658,151.102,18.5809562183291,135397754.75267902,6712677.975326235,19.86237964048983,123438217.21963602
2004-11,0.7995876240051395,0.323142191525617,0.5071034898207396,-7055.497216121851,5.122595130555095,1.225778954987658,0.5310516981315352,181120273.0769744,7452016.549641792,0.6696517138276467,8.165629702095558,154.958,18.53123281407378,135550875.84601253,6715979.560578955,19.86814682939476,123490333.69745246
2004-12,0.7996669922624469,0.3226585693480002,0.4969515420076215,-6921.044658255659,4.995239879121229,1.1747086678519794,0.5059456433043616,181293822.79427427,7457466.109898502,0.6553570801963157,8.16358171891346,135.844,18.34898281407378,135703996.93934602,6719281.145831674,19.87391401829968,123542450.1752689
2005-1,0.7997463605197543,0.3221170392645652,0.483143045759377,-7202.757774714469,4.860078219431911,1.4639532115258698,0.4921828904516431,181467372.5115742,7462915.670155211,0.6473973428202994,8.161533735731359,134.837,18.304411385502352,135857118.03267953,6722582.731084393,19.879681207204605,123594566.65308537
2005-2,0.799819785454334,0.3217293751080849,0.4753697952172824,-7128.700399706268,4.725791184629883,1.4873522528925844,0.479032861785929,181632962.2895496,7468228.679464037,0.6298003725137261,8.154276659665005,136.495,18.25646467908403,136001270.38079613,6726679.283446195,19.885571607803737,123644406.12610042
2005-3,0.7998932103889136,0.3212996250660597,0.4664937288356185,-7221.778170229833,4.596932598972333,1.394672339987124,0.4648610952618953,181798552.067525,7473541.688772862,0.6197803250738215,8.14701958359865,154.807,18.324351085407567,136145422.72891277,6730775.835807995,19.891462008402872,123694245.59911548
