,Goiás - Produção de Cimento (t),Goiás - Consumo de Cimento (t),Goiás - IDH, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Goiais-03anhão - value,Goiás - PIB - Estadual,Goiás - PIB - Construção Civil,Goiás - PIB - Per Capita,Goiás - PIB - Preços de Mercado,Goiás - Desemprego
2003-1,56.45996,97.447,0.7452934717740269,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6114984011933968,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,2.2130417106549287,931.9595459848558,1486.4453977027613,23.97161770352613,18.270238514662463,73.64905086864404,1.2130176818092262,0.2600974864623828,93718223.18774895,5518324.893522981,14.03127028291794,84182480.30624565,8.179784800565303
2003-2,56.78915230769231,97.256,0.74540536788159,0.6902970479188117,-5318.079644051534,11.189861881849811,1.4503889427633918,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,2.021027573842862,932.363096815316,1483.9710929035311,23.534385813756955,17.70409340610911,73.00664920826081,1.2436704298426282,0.2589635168034269,93835901.65529324,5523289.592011541,14.034476051942978,84220820.79829863,8.174085576054594
2003-3,57.14026341880341,101.442,0.745517263989153,0.6696806488591152,-5436.417870121553,10.82079163233486,1.870184311511264,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,1.8231479440459533,932.79821725289,1450.4273915472168,22.93406677428943,16.66765238367174,71.37889452929446,1.2622063570544366,0.2573522667190901,93953580.12283754,5528254.290500103,14.037681820968018,84259161.2903516,8.168386351543885
2003-4,57.64919199023199,98.217,0.745629160096716,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3552874765398468,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,1.7561174013385044,933.532124912854,1458.2646052472426,22.34687928128455,15.045929913435575,67.63231663857123,1.3554238641930645,0.2559289139915691,94071258.59038185,5533218.988988663,14.040887589993057,84297501.78240457,8.162687127033177
2003-5,58.213295438507856,112.54,0.745741056204279,0.6483369045565663,-5599.317940972945,9.959689613256948,1.5855384957135032,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,1.3315303013527169,934.0182745011348,1466.4681428329625,21.98726803202424,13.454185366716528,63.21600194313328,1.4347790612668432,0.2541089423286005,94188937.05792612,5538183.687477224,14.044093359018095,84335842.27445754,8.156987902522468
2003-6,58.80126210517452,109.189,0.745852952311842,0.6327588982490451,-5720.383331634745,9.432414860416127,1.7078914536714904,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,1.3666140892710263,934.1703771377672,1476.5352333534308,22.291462739600565,12.672614722584154,59.59285008088516,1.5494145237181265,0.2523837444507506,94306615.5254704,5543148.385965784,14.047299128043136,84374182.76651052,8.15128867801176
2003-7,59.38326210517452,118.633,0.745964848419405,0.6380135035998685,-5884.375046061743,8.822929754380787,1.5982839320937383,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,1.4399356803156067,934.0513740568048,1483.297350383052,22.788787547241014,12.510517048521974,57.20758374647339,1.6412369525451465,0.250287397653835,94424293.9930147,5548113.084454345,14.050504897068176,84412523.25856349,8.14558945350105
2003-8,60.08369960517452,115.594,0.746076744526968,0.6346344548960355,-5959.855464930735,8.332469749880811,1.7218082520903182,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,1.4599756320555246,933.3559573318496,1470.3431187078756,23.42853692317643,13.50170294749233,58.32497341524179,1.634141446477677,0.2480282323874146,94541972.460559,5553077.782942906,14.053710666093211,84450863.75061645,8.13989022899034
2003-9,60.444032938507846,122.029,0.746188640634531,0.6323269495840285,-6014.809970017429,7.939983702859978,1.6351282376087797,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,1.8338886337957525,932.6685698560532,1469.3662915532282,24.001646380745026,14.68139823936967,60.48397394812366,1.5935837687889025,0.2458577832932179,94659650.92810328,5558042.4814314665,14.056916435118254,84489204.24266942,8.134191004479632
2003-10,60.88020940909608,126.095,0.7463005367420941,0.629038170305887,-6121.266757398654,7.604976000172705,1.8119435424411887,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,2.0426462775214493,931.8336825766892,1421.5869116245165,24.04950063618758,16.03346683956586,64.9870710085228,1.4796773270965045,0.2435735490561009,94777329.39564756,5563007.179920027,14.060122204143292,84527544.73472239,8.128491779968924
