,Santa Catarina - IDH,Santa Catarina - value, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Santa Catarina - Desemprego,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Santa Catarina - Consumo de Cimento (t),Santa Catarina - Produção de Cimento (t),Santa Catarina - PIB - Estadual,Santa Catarina - PIB - Construção Civil,Santa Catarina - PIB - Per Capita,Santa Catarina - PIB - Preços de Mercado
2003-1,0.7977678874701567,0.311112582932095,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6114984011933968,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,8.256605689258727,1.6314969213478128,1018.7659109927476,1169.1780621100595,20.7133317735674,16.132763064373272,75.76722882523715,2.3232609575400667,142.456,20.2168,132006541.53463072,6638363.257953425,19.725168296275115,122186034.17445844
2003-2,0.7978533919669824,0.3127871271673234,0.6902970479188117,-5318.079644051534,11.189861881849811,1.4503889427633918,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,8.250731009646879,1.6320736775664808,1018.7548033732936,1169.161093154496,20.71465811268053,16.13541171349437,75.77509626499554,2.3232609575400667,135.829,19.63103076923077,132174301.81613465,6642079.962128286,19.73227718328098,122251295.40319423
2003-3,0.7979388964638081,0.3142072209849679,0.6696806488591152,-5436.417870121553,10.82079163233486,1.870184311511264,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,8.24485633003503,1.6324101186940372,1018.7483239286122,1169.151194597084,20.71543181049652,16.136956758815014,75.77968560485459,2.3232609575400667,133.135,19.40091965811966,132342062.09763852,6645796.666303148,19.739386070286848,122316556.63193002
2003-4,0.7980244009606339,0.3155708628918769,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3552874765398468,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,8.238981650423185,1.632446165957704,1018.7476297023964,1169.150134037361,20.71551470669109,16.137122299385084,75.7801773198395,2.3232609575400667,144.723,19.15374108669109,132509822.37914243,6649513.37047801,19.746494957292715,122381817.86066584
2003-5,0.7981099054574595,0.3168802516120672,0.6483369045565663,-5599.317940972945,9.959689613256948,1.5855384957135032,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,8.233106970811336,1.8083296226619625,1017.9492654575444,1212.045667297062,21.27348803173807,16.656850760711666,75.67675650674391,2.3194450845932204,150.523,18.91215487979453,132677582.66064632,6653230.074652871,19.75360384429858,122447079.08940162
2003-6,0.7981954099542852,0.3179294636972253,0.6327588982490451,-5720.383331634745,9.432414860416127,1.7078914536714904,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,8.227232291199488,1.9645077125539483,1017.3026084210338,1248.7096360204805,21.766943533719584,17.110629984622605,75.5564104195118,2.3138013032988534,128.735,18.5898215464612,132845342.94215022,6656946.778827732,19.760712731304448,122512340.31813742
2003-7,0.7982809144511109,0.3189249458470974,0.6380135035998685,-5884.375046061743,8.822929754380787,1.5982839320937383,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,8.221357611587642,2.137404117502708,1016.6096147522068,1287.956515664137,22.30579915829503,17.605239016972373,75.41941687145305,2.3061556561876038,154.768,18.61740219162249,133013103.22365412,6660663.483002594,19.767821618310315,122577601.5468732
2003-8,0.7983664189479367,0.3198651144195626,0.6346344548960355,-5959.855464930735,8.332469749880811,1.7218082520903182,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,8.215482931975794,2.311819792744624,1015.9387246650596,1325.6151590873942,22.838105239667023,18.0931133834853,75.27898130852597,2.2965225046042232,142.558,18.56346469162249,133180863.50515802,6664380.187177455,19.774930505316178,122642862.77560902
2003-9,0.7984519234447623,0.3207483549301641,0.6323269495840285,-6014.809970017429,7.939983702859978,1.6351282376087797,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,8.209608252363946,2.472555693516078,1015.3583783735884,1357.5144191496147,23.31191211203818,18.526688609885724,75.14830917668885,2.2849162098934657,144.182,18.501858631016432,133348623.78666192,6668096.891352316,19.782039392322044,122708124.00434482
2003-10,0.798537427941588,0.3215730233333433,0.629038170305887,-6121.266757398654,7.604976000172705,1.8119435424411887,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,8.203733572752098,2.6044127750534543,1014.9370160917902,1379.4831487101603,23.675270109611105,18.85840022189798,75.04060592190002,2.271351133400083,152.08,18.452476278075256,133516384.0681658,6671813.595527178,19.78914827932791,122773385.2330806
