data,Alagoas - PIB - Per Capita,Alagoas - PIB - Preços de Mercado,Alagoas - PIB - Estadual,Alagoas - PIB - Construção Civil,Alagoas - População,Alagoas - INCC (%),Alagoas - IPCA - Variação mensal durante o Plano Real (%),Alagoas - IGP-DI,Alagoas - Taxa Selic (%),Alagoas - IDH - Longevidade,Alagoas - IDH - Renda,Alagoas - IDH - Educação,Alagoas - NFSP - Fluxo Mensal (Milhões de reais),Alagoas - Estoque liquido de capital fixo - (R$),Alagoas - Desemprego,Alagoas - Produção de Cimento (t),Alagoas - Valor,Alagoas - Consumo de Cimento (t)
2003-01-01,1677937.6820559,883243.2705267166,0.5810969155583333,1037094.84043914,2887535.0,1.7,12.53,2.7,0.08229309524,0.647,0.574,0.282,3.46,6098524.41582601,9.0805148758,-1.0,0.31,30109.0
2003-02-01,1677937.6820559,883243.2705267166,0.5810969155583333,1037094.84043914,2887535.0,1.51,2.25,2.17,0.08877068182,0.647,0.574,0.282,3.59,6172460.00795063,9.0805148758,-1.0,0.33,27684.0
2003-03-01,1677937.6820559,883243.2705267166,0.5810969155583333,1037094.84043914,2887535.0,1.39,3.86,1.59,0.09073265,0.647,0.574,0.282,3.84,6172460.00795063,9.0805148758,-1.0,0.34,26534.0
2003-04-01,1677937.6820559,883243.2705267166,0.5810969155583333,1037094.84043914,2887535.0,1.38,5.13,1.66,0.092749,0.647,0.574,0.282,3.95,6172460.00795063,9.0805148758,43412.0,0.34,25109.0
2003-05-01,1677937.6820559,883243.2705267166,0.5810969155583333,1037094.84043914,2887535.0,0.9,6.15,0.41,0.0927578,0.647,0.574,0.282,4.06,6172460.00795063,9.0805148758,151995.0,0.34,25171.0
2003-06-01,1677937.6820559,883243.2705267166,0.5810969155583333,1037094.84043914,2887535.0,2.84,6.8,-0.67,0.09272338095,0.647,0.574,0.282,3.94,6172460.00795063,9.0805148758,14332.0,0.34,22645.0
2003-07-01,1677937.6820559,883243.2705267166,0.5810969155583333,1037094.84043914,2887535.0,1.05,6.64,-0.7,0.092025,0.647,0.574,0.282,3.6,6172460.00795063,9.0805148758,47487.0,0.34,24689.0
2003-08-01,1677937.6820559,883243.2705267166,0.5810969155583333,1037094.84043914,2887535.0,0.99,6.85,-0.2,0.08972826087,0.647,0.574,0.282,3.23,6172460.00795063,9.0805148758,339089.0,0.34,23364.0
2003-09-01,1677937.6820559,883243.2705267166,0.5810969155583333,1037094.84043914,2887535.0,1.44,7.22,0.62,0.083783,0.647,0.574,0.282,3.17,6172460.00795063,9.0805148758,53624.0,0.35,26382.0
2003-10-01,1677937.6820559,883243.2705267166,0.5810969155583333,1037094.84043914,2887535.0,0.22,8.05,1.05,0.07573604545,0.647,0.574,0.282,2.7,6172460.00795063,9.0805148758,195615.0,0.34,26634.0
2003-11-01,1677937.6820559,883243.2705267166,0.5810969155583333,1037094.84043914,2887535.0,0.65,8.37,0.44,0.07083917391,0.647,0.574,0.282,2.65,6172460.00795063,9.0805148758,144405.0,0.34,27789.0
2003-12-01,1677937.6820559,883243.2705267166,0.5810969155583333,1037094.84043914,2887535.0,1.04,8.74,0.48,0.0667516,0.647,0.574,0.282,2.36,6172460.00795063,9.0805148758,-1.0,0.34,30032.0
2004-01-01,1596924.0882850916,959047.7935692332,0.5473296747999999,667727.712607716,2917664.0,0.16,9.3,0.6,0.062015,0.647,0.574,0.282,1.57,6172460.00795063,8.178167736,149748.0,0.34,24166.0
2004-02-01,1596924.0882850916,959047.7935692332,0.5473296747999999,667727.712607716,2917664.0,0.33,0.76,0.8,0.0599982381,0.647,0.574,0.282,1.43,6261937.06181048,8.178167736,-1.0,0.34,21774.0
2004-03-01,1596924.0882850916,959047.7935692332,0.5473296747999999,667727.712607716,2917664.0,1.0,1.37,1.08,0.05993777778,0.647,0.574,0.282,1.27,6261937.06181048,8.178167736,-1.0,0.34,28228.0
2004-04-01,1596924.0882850916,959047.7935692332,0.5473296747999999,667727.712607716,2917664.0,1.16,1.85,0.93,0.05956991304,0.647,0.574,0.282,1.24,6261937.06181048,8.178167736,36438.0,0.33,25525.0
2004-05-01,1596924.0882850916,959047.7935692332,0.5473296747999999,667727.712607716,2917664.0,0.59,2.23,1.15,0.0587633,0.647,0.574,0.282,1.21,6261937.06181048,8.178167736,194959.0,0.33,26207.0
2004-06-01,1596924.0882850916,959047.7935692332,0.5473296747999999,667727.712607716,2917664.0,1.83,2.75,1.46,0.0581277619,0.647,0.574,0.282,1.35,6261937.06181048,8.178167736,12509.0,0.32,19604.0
