data,Amazonas - PIB - Per Capita,Amazonas - PIB - Preços de Mercado,Amazonas - PIB - Estadual,Amazonas - PIB - Construção Civil,Amazonas - População,Amazonas - INCC (%),Amazonas - IPCA - Variação mensal durante o Plano Real (%),Amazonas - IGP-DI,Amazonas - Taxa Selic (%),Amazonas - IDH - Longevidade,Amazonas - IDH - Renda,Amazonas - IDH - Educação,Amazonas - NFSP - Fluxo Mensal (Milhões de reais),Amazonas - Estoque liquido de capital fixo - (R$),Amazonas - Desemprego,Amazonas - Produção de Cimento (t),Amazonas - Valor,Amazonas - Consumo de Cimento (t)
2003-01-01,2883868.754777933,1518028.7670868498,0.9736875484833334,2401570.16240628,2961801.0,1.7,12.53,2.7,0.08229309524,0.692,0.608,0.324,3.46,6098524.41582601,12.9661326165,-1.0,0.39,28193.0
2003-02-01,2883868.754777933,1518028.7670868498,0.9736875484833334,2401570.16240628,2961801.0,1.51,2.25,2.17,0.08877068182,0.692,0.608,0.324,3.59,6172460.00795063,12.9661326165,-1.0,0.39,31226.0
2003-03-01,2883868.754777933,1518028.7670868498,0.9736875484833334,2401570.16240628,2961801.0,1.39,3.86,1.59,0.09073265,0.692,0.608,0.324,3.84,6172460.00795063,12.9661326165,-1.0,0.4,33484.0
2003-04-01,2883868.754777933,1518028.7670868498,0.9736875484833334,2401570.16240628,2961801.0,1.38,5.13,1.66,0.092749,0.692,0.608,0.324,3.95,6172460.00795063,12.9661326165,40381.0,0.4,31596.0
2003-05-01,2883868.754777933,1518028.7670868498,0.9736875484833334,2401570.16240628,2961801.0,0.9,6.15,0.41,0.0927578,0.692,0.608,0.324,4.06,6172460.00795063,12.9661326165,152727.0,0.4,32919.0
2003-06-01,2883868.754777933,1518028.7670868498,0.9736875484833334,2401570.16240628,2961801.0,2.84,6.8,-0.67,0.09272338095,0.692,0.608,0.324,3.94,6172460.00795063,12.9661326165,14467.0,0.4,32198.0
2003-07-01,2883868.754777933,1518028.7670868498,0.9736875484833334,2401570.16240628,2961801.0,1.05,6.64,-0.7,0.092025,0.692,0.608,0.324,3.6,6172460.00795063,12.9661326165,53448.0,0.4,37274.0
2003-08-01,2883868.754777933,1518028.7670868498,0.9736875484833334,2401570.16240628,2961801.0,0.99,6.85,-0.2,0.08972826087,0.692,0.608,0.324,3.23,6172460.00795063,12.9661326165,333148.0,0.36,37605.0
2003-09-01,2883868.754777933,1518028.7670868498,0.9736875484833334,2401570.16240628,2961801.0,1.44,7.22,0.62,0.083783,0.692,0.608,0.324,3.17,6172460.00795063,12.9661326165,49011.0,0.36,38386.0
2003-10-01,2883868.754777933,1518028.7670868498,0.9736875484833334,2401570.16240628,2961801.0,0.22,8.05,1.05,0.07573604545,0.692,0.608,0.324,2.7,6172460.00795063,12.9661326165,190508.0,0.36,39519.0
2003-11-01,2883868.754777933,1518028.7670868498,0.9736875484833334,2401570.16240628,2961801.0,0.65,8.37,0.44,0.07083917391,0.692,0.608,0.324,2.65,6172460.00795063,12.9661326165,132972.0,0.36,39614.0
2003-12-01,2883868.754777933,1518028.7670868498,0.9736875484833334,2401570.16240628,2961801.0,1.04,8.74,0.48,0.0667516,0.692,0.608,0.324,2.36,6172460.00795063,12.9661326165,-1.0,0.36,36333.0
2004-01-01,2977290.9664140665,1788040.1160579585,0.9822580576916669,1824551.87521454,3031068.0,0.16,9.3,0.6,0.062015,0.692,0.608,0.324,1.57,6172460.00795063,16.0210819442,155445.0,0.33,34293.0
2004-02-01,2977290.9664140665,1788040.1160579585,0.9822580576916669,1824551.87521454,3031068.0,0.33,0.76,0.8,0.0599982381,0.692,0.608,0.324,1.43,6261937.06181048,16.0210819442,-1.0,0.32,48622.852
2004-03-01,2977290.9664140665,1788040.1160579585,0.9822580576916669,1824551.87521454,3031068.0,1.0,1.37,1.08,0.05993777778,0.692,0.608,0.324,1.27,6261937.06181048,16.0210819442,-1.0,0.32,34554.525
2004-04-01,2977290.9664140665,1788040.1160579585,0.9822580576916669,1824551.87521454,3031068.0,1.16,1.85,0.93,0.05956991304,0.692,0.608,0.324,1.24,6261937.06181048,16.0210819442,39745.0,0.32,57805.072
2004-05-01,2977290.9664140665,1788040.1160579585,0.9822580576916669,1824551.87521454,3031068.0,0.59,2.23,1.15,0.0587633,0.692,0.608,0.324,1.21,6261937.06181048,16.0210819442,180039.0,0.34,39036.0
2004-06-01,2977290.9664140665,1788040.1160579585,0.9822580576916669,1824551.87521454,3031068.0,1.83,2.75,1.46,0.0581277619,0.692,0.608,0.324,1.35,6261937.06181048,16.0210819442,18029.0,0.34,55435.6
2004-07-01,2977290.9664140665,1788040.1160579585,0.9822580576916669,1824551.87521454,3031068.0,0.7,3.48,1.29,0.05822585714,0.692,0.608,0.324,1.59,6261937.06181048,16.0210819442,63569.0,0.34,56241.96
2004-08-01,2977290.9664140665,1788040.1160579585,0.9822580576916669,1824551.87521454,3031068.0,1.12,4.42,1.14,0.05813868182,0.692,0.608,0.324,1.72,6261937.06181048,16.0210819442,360527.0,0.36,58104.524000000005
2004-09-01,2977290.9664140665,1788040.1160579585,0.9822580576916669,1824551.87521454,3031068.0,0.81,5.14,1.31,0.05843936364,0.692,0.608,0.324,1.83,6261937.06181048,16.0210819442,67480.0,0.34,41072.0
2004-10-01,2977290.9664140665,1788040.1160579585,0.9822580576916669,1824551.87521454,3031068.0,0.58,5.49,0.48,0.05923480952,0.692,0.608,0.324,1.87,6261937.06181048,16.0210819442,202201.0,0.34,55694.057
2004-11-01,2977290.9664140665,1788040.1160579585,0.9822580576916669,1824551.87521454,3031068.0,1.19,5.95,0.53,0.06031435,0.692,0.608,0.324,1.76,6261937.06181048,16.0210819442,131665.0,0.36,44211.0
2004-12-01,2977290.9664140665,1788040.1160579585,0.9822580576916669,1824551.87521454,3031068.0,0.71,6.68,0.82,0.0621806,0.692,0.608,0.324,1.71,6261937.06181048,16.0210819442,-1.0,0.36,62309.776
2005-01-01,3250317.2973640747,2103329.545708275,1.0355530547666667,2456049.75806333,3138726.0,0.51,7.6,0.52,0.06401773913,0.692,0.608,0.324,1.74,6261937.06181048,12.4489171468,164485.0,0.36,39696.0
2005-02-01,3250317.2973640747,2103329.545708275,1.0355530547666667,2456049.75806333,3138726.0,0.75,0.58,0.33,0.0654687619,0.692,0.608,0.324,1.57,6344077.42160595,12.4489171468,-1.0,0.36,56004.938
2005-03-01,3250317.2973640747,2103329.545708275,1.0355530547666667,2456049.75806333,3138726.0,0.44,1.17,0.4,0.06729072222,0.692,0.608,0.324,1.49,6344077.42160595,12.4489171468,-1.0,0.36,39376.0
2005-04-01,3250317.2973640747,2103329.545708275,1.0355530547666667,2456049.75806333,3138726.0,0.67,1.79,0.99,0.068961,0.692,0.608,0.324,1.37,6344077.42160595,12.4489171468,45612.0,0.34,59327.426
2005-05-01,3250317.2973640747,2103329.545708275,1.0355530547666667,2456049.75806333,3138726.0,0.72,2.68,0.51,0.07010755,0.692,0.608,0.324,1.37,6344077.42160595,12.4489171468,171765.0,0.36,40816.0
