data,Distrito_Federal - PIB - Per Capita,Distrito_Federal - PIB - Preços de Mercado,Distrito_Federal - PIB - Estadual,Distrito_Federal - PIB - Construção Civil,Distrito_Federal - População,Distrito_Federal - INCC (%),Distrito_Federal - IPCA - Variação mensal durante o Plano Real (%),Distrito_Federal - IGP-DI,Distrito_Federal - Taxa Selic (%),Distrito_Federal - IDH - Longevidade,Distrito_Federal - IDH - Renda,Distrito_Federal - IDH - Educação,Distrito_Federal - NFSP - Fluxo Mensal (Milhões de reais),Distrito_Federal - Estoque liquido de capital fixo - (R$),Distrito_Federal - Desemprego,Distrito_Federal - Produção de Cimento (t),Distrito_Federal - Valor,Distrito_Federal - Consumo de Cimento (t)
2003-01-01,7436858.935958892,3914660.049230233,3.4657115170166666,4945861.30821012,2145839.0,1.7,12.53,2.7,0.08229309524,0.814,0.805,0.582,3.46,6098524.41582601,14.2153846705,-1.0,0.32,50047.0
2003-02-01,7436858.935958892,3914660.049230233,3.4657115170166666,4945861.30821012,2145839.0,1.51,2.25,2.17,0.08877068182,0.814,0.805,0.582,3.59,6172460.00795063,14.2153846705,-1.0,0.33,48110.0
2003-03-01,7436858.935958892,3914660.049230233,3.4657115170166666,4945861.30821012,2145839.0,1.39,3.86,1.59,0.09073265,0.814,0.805,0.582,3.84,6172460.00795063,14.2153846705,-1.0,0.33,49006.0
2003-04-01,7436858.935958892,3914660.049230233,3.4657115170166666,4945861.30821012,2145839.0,1.38,5.13,1.66,0.092749,0.814,0.805,0.582,3.95,6172460.00795063,14.2153846705,115612.0,0.32,48445.0
2003-05-01,7436858.935958892,3914660.049230233,3.4657115170166666,4945861.30821012,2145839.0,0.9,6.15,0.41,0.0927578,0.814,0.805,0.582,4.06,6172460.00795063,14.2153846705,94729.0,0.32,51436.0
2003-06-01,7436858.935958892,3914660.049230233,3.4657115170166666,4945861.30821012,2145839.0,2.84,6.8,-0.67,0.09272338095,0.814,0.805,0.582,3.94,6172460.00795063,14.2153846705,21393.0,0.32,51884.0
2003-07-01,7436858.935958892,3914660.049230233,3.4657115170166666,4945861.30821012,2145839.0,1.05,6.64,-0.7,0.092025,0.814,0.805,0.582,3.6,6172460.00795063,14.2153846705,57176.0,0.32,57034.0
2003-08-01,7436858.935958892,3914660.049230233,3.4657115170166666,4945861.30821012,2145839.0,0.99,6.85,-0.2,0.08972826087,0.814,0.805,0.582,3.23,6172460.00795063,14.2153846705,121461.0,0.32,52525.0
2003-09-01,7436858.935958892,3914660.049230233,3.4657115170166666,4945861.30821012,2145839.0,1.44,7.22,0.62,0.083783,0.814,0.805,0.582,3.17,6172460.00795063,14.2153846705,28308.0,0.31,55603.0
2003-10-01,7436858.935958892,3914660.049230233,3.4657115170166666,4945861.30821012,2145839.0,0.22,8.05,1.05,0.07573604545,0.814,0.805,0.582,2.7,6172460.00795063,14.2153846705,200930.0,0.31,60077.0
2003-11-01,7436858.935958892,3914660.049230233,3.4657115170166666,4945861.30821012,2145839.0,0.65,8.37,0.44,0.07083917391,0.814,0.805,0.582,2.65,6172460.00795063,14.2153846705,144497.0,0.31,55040.0
2003-12-01,7436858.935958892,3914660.049230233,3.4657115170166666,4945861.30821012,2145839.0,1.04,8.74,0.48,0.0667516,0.814,0.805,0.582,2.36,6172460.00795063,14.2153846705,27924.0,0.3,56634.0
2004-01-01,6975685.314329959,4189313.479844717,3.1855513541833336,2399512.30664222,2189789.0,0.16,9.3,0.6,0.062015,0.814,0.805,0.582,1.57,6172460.00795063,13.9958914299,392761.0,0.29,46442.0
2004-02-01,6975685.314329959,4189313.479844717,3.1855513541833336,2399512.30664222,2189789.0,0.33,0.76,0.8,0.0599982381,0.814,0.805,0.582,1.43,6261937.06181048,13.9958914299,-1.0,0.24,43234.0
2004-03-01,6975685.314329959,4189313.479844717,3.1855513541833336,2399512.30664222,2189789.0,1.0,1.37,1.08,0.05993777778,0.814,0.805,0.582,1.27,6261937.06181048,13.9958914299,-1.0,0.24,54587.0
2004-04-01,6975685.314329959,4189313.479844717,3.1855513541833336,2399512.30664222,2189789.0,1.16,1.85,0.93,0.05956991304,0.814,0.805,0.582,1.24,6261937.06181048,13.9958914299,104232.0,0.22,59228.0
2004-05-01,6975685.314329959,4189313.479844717,3.1855513541833336,2399512.30664222,2189789.0,0.59,2.23,1.15,0.0587633,0.814,0.805,0.582,1.21,6261937.06181048,13.9958914299,87496.0,0.22,63997.0
2004-06-01,6975685.314329959,4189313.479844717,3.1855513541833336,2399512.30664222,2189789.0,1.83,2.75,1.46,0.0581277619,0.814,0.805,0.582,1.35,6261937.06181048,13.9958914299,28041.0,0.22,67774.0
2004-07-01,6975685.314329959,4189313.479844717,3.1855513541833336,2399512.30664222,2189789.0,0.7,3.48,1.29,0.05822585714,0.814,0.805,0.582,1.59,6261937.06181048,13.9958914299,51708.0,0.22,71340.0
2004-08-01,6975685.314329959,4189313.479844717,3.1855513541833336,2399512.30664222,2189789.0,1.12,4.42,1.14,0.05813868182,0.814,0.805,0.582,1.72,6261937.06181048,13.9958914299,129863.0,0.22,75288.0
2004-09-01,6975685.314329959,4189313.479844717,3.1855513541833336,2399512.30664222,2189789.0,0.81,5.14,1.31,0.05843936364,0.814,0.805,0.582,1.83,6261937.06181048,13.9958914299,31794.0,0.22,72595.0
2004-10-01,6975685.314329959,4189313.479844717,3.1855513541833336,2399512.30664222,2189789.0,0.58,5.49,0.48,0.05923480952,0.814,0.805,0.582,1.87,6261937.06181048,13.9958914299,188182.0,0.22,76992.0
2004-11-01,6975685.314329959,4189313.479844717,3.1855513541833336,2399512.30664222,2189789.0,1.19,5.95,0.53,0.06031435,0.814,0.805,0.582,1.76,6261937.06181048,13.9958914299,141616.0,0.21,74060.0
2004-12-01,6975685.314329959,4189313.479844717,3.1855513541833336,2399512.30664222,2189789.0,0.71,6.68,0.82,0.0621806,0.814,0.805,0.582,1.71,6261937.06181048,13.9958914299,17573.0,0.21,65679.0
2005-01-01,7472110.580386066,4835315.913702017,3.2742989218833336,3598908.00006294,2282049.0,0.51,7.6,0.52,0.06401773913,0.814,0.805,0.582,1.74,6261937.06181048,14.379031072,441960.0,0.21,62294.0
2005-02-01,7472110.580386066,4835315.913702017,3.2742989218833336,3598908.00006294,2282049.0,0.75,0.58,0.33,0.0654687619,0.814,0.805,0.582,1.57,6344077.42160595,14.379031072,-1.0,0.21,55247.0
2005-03-01,7472110.580386066,4835315.913702017,3.2742989218833336,3598908.00006294,2282049.0,0.44,1.17,0.4,0.06729072222,0.814,0.805,0.582,1.49,6344077.42160595,14.379031072,-1.0,0.21,65908.0
2005-04-01,7472110.580386066,4835315.913702017,3.2742989218833336,3598908.00006294,2282049.0,0.67,1.79,0.99,0.068961,0.814,0.805,0.582,1.37,6344077.42160595,14.379031072,137807.0,0.21,67387.0
2005-05-01,7472110.580386066,4835315.913702017,3.2742989218833336,3598908.00006294,2282049.0,0.72,2.68,0.51,0.07010755,0.814,0.805,0.582,1.37,6344077.42160595,14.379031072,112146.0,0.2,68730.0
2005-06-01,7472110.580386066,4835315.913702017,3.2742989218833336,3598908.00006294,2282049.0,2.09,3.18,-0.25,0.07106719048,0.814,0.805,0.582,1.18,6344077.42160595,14.379031072,25665.0,0.19,74797.0
2005-07-01,7472110.580386066,4835315.913702017,3.2742989218833336,3598908.00006294,2282049.0,0.76,3.16,-0.45,0.071533,0.814,0.805,0.582,0.95,6344077.42160595,14.379031072,49496.0,0.19,70102.0
2005-08-01,7472110.580386066,4835315.913702017,3.2742989218833336,3598908.00006294,2282049.0,0.11,3.42,-0.4,0.07145590476,0.814,0.805,0.582,0.76,6344077.42160595,14.379031072,131945.0,0.2,93050.0
2005-09-01,7472110.580386066,4835315.913702017,3.2742989218833336,3598908.00006294,2282049.0,0.02,3.59,-0.79,0.07154213043,0.814,0.805,0.582,0.55,6344077.42160595,14.379031072,38717.0,0.19,80334.0
2005-10-01,7472110.580386066,4835315.913702017,3.2742989218833336,3598908.00006294,2282049.0,0.24,3.95,-0.13,0.07107052381,0.814,0.805,0.582,0.29,6344077.42160595,14.379031072,182944.0,0.19,82226.0
2005-11-01,7472110.580386066,4835315.913702017,3.2742989218833336,3598908.00006294,2282049.0,0.19,4.73,0.63,0.0698922,0.814,0.805,0.582,0.25,6344077.42160595,14.379031072,105256.0,0.19,74666.0
2005-12-01,7472110.580386066,4835315.913702017,3.2742989218833336,3598908.00006294,2282049.0,0.28,5.31,0.33,0.0686031,0.814,0.805,0.582,0.24,6344077.42160595,14.379031072,13839.0,0.19,60790.0
2006-01-01,7776006.452788566,5405908.649268208,3.332896056583333,4203643.6134993,2333108.0,0.37,5.69,0.07,0.06651395455,0.814,0.805,0.582,0.25,6344077.42160595,13.5080106677,430825.0,0.19,69054.0
2006-02-01,7776006.452788566,5405908.649268208,3.332896056583333,4203643.6134993,2333108.0,0.34,0.59,0.72,0.06452986364,0.814,0.805,0.582,0.27,6428173.06422105,13.5080106677,-1.0,0.21,58368.0
2006-03-01,7776006.452788566,5405908.649268208,3.332896056583333,4203643.6134993,2333108.0,0.19,1.0,-0.06,0.06327316667,0.814,0.805,0.582,0.37,6428173.06422105,13.5080106677,-1.0,0.19,62490.0
2006-04-01,7776006.452788566,5405908.649268208,3.332896056583333,4203643.6134993,2333108.0,0.2,1.44,-0.45,0.06142243478,0.814,0.805,0.582,0.29,6428173.06422105,13.5080106677,103342.0,0.19,54739.0
2006-05-01,7776006.452788566,5405908.649268208,3.332896056583333,4203643.6134993,2333108.0,0.36,1.65,0.02,0.05957944444,0.814,0.805,0.582,0.12,6428173.06422105,13.5080106677,93280.0,0.19,68501.0
2006-06-01,7776006.452788566,5405908.649268208,3.332896056583333,4203643.6134993,2333108.0,1.32,1.75,0.38,0.05789063636,0.814,0.805,0.582,0.13,6428173.06422105,13.5080106677,26159.0,0.19,60010.0
2006-07-01,7776006.452788566,5405908.649268208,3.332896056583333,4203643.6134993,2333108.0,0.9,1.54,0.67,0.05608404762,0.814,0.805,0.582,0.21,6428173.06422105,13.5080106677,67130.0,0.19,62021.0
2006-08-01,7776006.452788566,5405908.649268208,3.332896056583333,4203643.6134993,2333108.0,0.47,1.73,0.17,0.05540461905,0.814,0.805,0.582,0.33,6428173.06422105,13.5080106677,175363.0,0.19,71527.0
2006-09-01,7776006.452788566,5405908.649268208,3.332896056583333,4203643.6134993,2333108.0,0.24,1.78,0.41,0.05429469565,0.814,0.805,0.582,0.44,6428173.06422105,13.5080106677,40688.0,0.19,68051.0
2006-10-01,7776006.452788566,5405908.649268208,3.332896056583333,4203643.6134993,2333108.0,0.11,2.0,0.24,0.0526018,0.814,0.805,0.582,0.6,6428173.06422105,13.5080106677,229576.0,0.19,60180.0
2006-11-01,7776006.452788566,5405908.649268208,3.332896056583333,4203643.6134993,2333108.0,0.21,2.33,0.81,0.05183728571,0.814,0.805,0.582,0.57,6428173.06422105,13.5080106677,140309.0,0.19,61378.0
2006-12-01,7776006.452788566,5405908.649268208,3.332896056583333,4203643.6134993,2333108.0,0.23,2.65,0.57,0.0507845,0.814,0.805,0.582,0.59,6428173.06422105,13.5080106677,17517.0,0.19,50865.0
2007-01-01,8234636.203425184,6112560.001555141,3.4544389103333333,2967220.37059212,2383784.0,0.36,3.14,0.26,0.049164,0.814,0.805,0.582,0.69,6428173.06422105,11.6301514314,529500.0,0.19,56123.0
2007-02-01,8234636.203425184,6112560.001555141,3.4544389103333333,2967220.37059212,2383784.0,0.45,0.44,0.43,0.04896572727,0.814,0.805,0.582,0.68,6529451.68540568,11.6301514314,-1.0,0.19,46807.0
2007-03-01,8234636.203425184,6112560.001555141,3.4544389103333333,2967220.37059212,2383784.0,0.21,0.88,0.23,0.04827277778,0.814,0.805,0.582,0.6,6529451.68540568,11.6301514314,-1.0,0.19,63343.0
2007-04-01,8234636.203425184,6112560.001555141,3.4544389103333333,2967220.37059212,2383784.0,0.27,1.26,0.22,0.04758977273,0.814,0.805,0.582,0.57,6529451.68540568,11.6301514314,131062.0,0.19,59052.0
2007-05-01,8234636.203425184,6112560.001555141,3.4544389103333333,2967220.37059212,2383784.0,0.46,1.51,0.14,0.04703045,0.814,0.805,0.582,0.54,6529451.68540568,11.6301514314,148276.0,0.19,66618.0
2007-06-01,8234636.203425184,6112560.001555141,3.4544389103333333,2967220.37059212,2383784.0,1.15,1.79,0.16,0.046503,0.814,0.805,0.582,0.48,6529451.68540568,11.6301514314,30150.0,0.19,66917.0
2007-07-01,8234636.203425184,6112560.001555141,3.4544389103333333,2967220.37059212,2383784.0,0.92,2.08,0.26,0.0450878,0.814,0.805,0.582,0.39,6529451.68540568,11.6301514314,74135.0,0.19,72223.0
2007-08-01,8234636.203425184,6112560.001555141,3.4544389103333333,2967220.37059212,2383784.0,0.31,2.32,0.37,0.04400663636,0.814,0.805,0.582,0.3,6529451.68540568,11.6301514314,165678.0,0.2,75666.0
2007-09-01,8234636.203425184,6112560.001555141,3.4544389103333333,2967220.37059212,2383784.0,0.26,2.8,1.39,0.04295447826,0.814,0.805,0.582,0.28,6529451.68540568,11.6301514314,35031.0,0.2,75781.0
2007-10-01,8234636.203425184,6112560.001555141,3.4544389103333333,2967220.37059212,2383784.0,0.51,2.99,1.17,0.04220568421,0.814,0.805,0.582,0.4,6529451.68540568,11.6301514314,261682.0,0.23,93232.0
2007-11-01,8234636.203425184,6112560.001555141,3.4544389103333333,2967220.37059212,2383784.0,0.51,3.3,0.75,0.04206336364,0.814,0.805,0.582,0.5,6529451.68540568,11.6301514314,159142.0,0.271,74086.0
2007-12-01,8234636.203425184,6112560.001555141,3.4544389103333333,2967220.37059212,2383784.0,0.36,3.69,1.05,0.042065,0.814,0.805,0.582,0.52,6529451.68540568,11.6301514314,16774.0,0.26,58494.0
2008-01-01,8598752.041340167,6793836.400159166,3.54056700995,2962632.67349101,2455903.0,0.59,4.46,1.47,0.042065,0.814,0.805,0.582,0.47,6529451.68540568,11.9465692636,587345.0,0.26,69812.0
2008-02-01,8598752.041340167,6793836.400159166,3.54056700995,2962632.67349101,2455903.0,0.38,0.54,0.99,0.04205845455,0.814,0.805,0.582,0.63,6647965.94362564,11.9465692636,-1.0,0.24,57359.0
2008-03-01,8598752.041340167,6793836.400159166,3.54056700995,2962632.67349101,2455903.0,0.4,1.03,0.38,0.04206310526,0.814,0.805,0.582,0.65,6647965.94362564,11.9465692636,-1.0,0.2415,61187.0
2008-04-01,8598752.041340167,6793836.400159166,3.54056700995,2962632.67349101,2455903.0,0.66,1.52,0.7,0.0420614,0.814,0.805,0.582,0.7,6647965.94362564,11.9465692636,162915.0,0.255,72894.0
2008-05-01,8598752.041340167,6793836.400159166,3.54056700995,2962632.67349101,2455903.0,0.87,2.08,1.12,0.04274185714,0.814,0.805,0.582,0.83,6647965.94362564,11.9465692636,165482.0,0.27,74520.0
2008-06-01,8598752.041340167,6793836.400159166,3.54056700995,2962632.67349101,2455903.0,2.02,2.88,1.88,0.0436576,0.814,0.805,0.582,0.93,6647965.94362564,11.9465692636,37646.0,0.27,75426.0
2008-07-01,8598752.041340167,6793836.400159166,3.54056700995,2962632.67349101,2455903.0,1.92,3.64,1.89,0.04529861905,0.814,0.805,0.582,1.14,6647965.94362564,11.9465692636,85980.0,0.2794999999999999,84323.0
2008-08-01,8598752.041340167,6793836.400159166,3.54056700995,2962632.67349101,2455903.0,1.46,4.19,1.12,0.04627117391,0.814,0.805,0.582,1.33,6647965.94362564,11.9465692636,156077.0,0.3014,90292.0
2008-09-01,8598752.041340167,6793836.400159166,3.54056700995,2962632.67349101,2455903.0,1.18,4.48,-0.38,0.04822657143,0.814,0.805,0.582,1.42,6647965.94362564,11.9465692636,65881.0,0.318,90522.0
2008-10-01,8598752.041340167,6793836.400159166,3.54056700995,2962632.67349101,2455903.0,0.95,4.76,0.36,0.04987840909,0.814,0.805,0.582,1.23,6647965.94362564,11.9465692636,277260.0,0.348,91401.0
2008-11-01,8598752.041340167,6793836.400159166,3.54056700995,2962632.67349101,2455903.0,0.77,5.23,1.09,0.05083973913,0.814,0.805,0.582,1.22,6647965.94362564,11.9465692636,195677.0,0.3486,75790.0
2008-12-01,8598752.041340167,6793836.400159166,3.54056700995,2962632.67349101,2455903.0,0.5,5.61,0.07,0.050753,0.814,0.805,0.582,1.24,6647965.94362564,11.9465692636,33417.0,0.3435,66187.0
2009-01-01,9157258.120239168,7870247.523471408,3.5810280550583333,3208678.82931679,2557158.0,0.17,5.9,-0.44,0.050823,0.814,0.805,0.582,1.13,6647965.94362564,11.2352497656,606180.0,0.348,66824.0
2009-02-01,9157258.120239168,7870247.523471408,3.5810280550583333,3208678.82931679,2557158.0,0.33,0.48,0.01,0.04964833333,0.814,0.805,0.582,0.95,6773699.30541316,11.2352497656,-1.0,0.3215,64058.0
2009-03-01,9157258.120239168,7870247.523471408,3.5810280550583333,3208678.82931679,2557158.0,0.27,1.03,-0.13,0.047314,0.814,0.805,0.582,0.87,6773699.30541316,11.2352497656,-1.0,0.305,75891.0
2009-04-01,9157258.120239168,7870247.523471408,3.5810280550583333,3208678.82931679,2557158.0,-0.25,1.23,-0.84,0.04392790909,0.814,0.805,0.582,0.82,6773699.30541316,11.2352497656,151232.0,0.3,67298.0
2009-05-01,9157258.120239168,7870247.523471408,3.5810280550583333,3208678.82931679,2557158.0,-0.04,1.72,0.04,0.04181185,0.814,0.805,0.582,0.67,6773699.30541316,11.2352497656,152429.0,0.292,81417.0
2009-06-01,9157258.120239168,7870247.523471408,3.5810280550583333,3208678.82931679,2557158.0,1.39,2.2,0.18,0.0384042,0.814,0.805,0.582,0.55,6773699.30541316,11.2352497656,32230.0,0.2908,80314.0
2009-07-01,9157258.120239168,7870247.523471408,3.5810280550583333,3208678.82931679,2557158.0,0.7,2.57,-0.32,0.03616333333,0.814,0.805,0.582,0.38,6773699.30541316,11.2352497656,75483.0,0.2908,102385.0
2009-08-01,9157258.120239168,7870247.523471408,3.5810280550583333,3208678.82931679,2557158.0,0.26,2.81,-0.64,0.03422486957,0.814,0.805,0.582,0.19,6773699.30541316,11.2352497656,166029.0,0.2908,98178.0
2009-09-01,9157258.120239168,7870247.523471408,3.5810280550583333,3208678.82931679,2557158.0,-0.05,2.97,0.09,0.032927,0.814,0.805,0.582,0.02,6773699.30541316,11.2352497656,59249.0,0.29,95439.0
2009-10-01,9157258.120239168,7870247.523471408,3.5810280550583333,3208678.82931679,2557158.0,0.15,3.21,0.25,0.032927,0.814,0.805,0.582,0.04,6773699.30541316,11.2352497656,286204.0,0.29,93638.0
