data,Espirito_Santo - PIB - Per Capita,Espirito_Santo - PIB - Preços de Mercado,Espirito_Santo - PIB - Estadual,Espirito_Santo - PIB - Construção Civil,Espirito_Santo - População,Espirito_Santo - INCC (%),Espirito_Santo - IPCA - Variação mensal durante o Plano Real (%),Espirito_Santo - IGP-DI,Espirito_Santo - Taxa Selic (%),Espirito_Santo - IDH - Longevidade,Espirito_Santo - IDH - Renda,Espirito_Santo - IDH - Educação,Espirito_Santo - NFSP - Fluxo Mensal (Milhões de reais),Espirito_Santo - Estoque liquido de capital fixo - (R$),Espirito_Santo - Desemprego,Espirito_Santo - Produção de Cimento (t),Espirito_Santo - Valor,Espirito_Santo - Consumo de Cimento (t)
2003-01-01,3531186.800561042,1858768.0650612,1.1029023758333334,3062100.72560035,3201722.0,1.7,12.53,2.7,0.08229309524,0.777,0.687,0.491,3.46,6098524.41582601,10.6660929108,-1.0,0.27,48426.0
2003-02-01,3531186.800561042,1858768.0650612,1.1029023758333334,3062100.72560035,3201722.0,1.51,2.25,2.17,0.08877068182,0.777,0.687,0.491,3.59,6172460.00795063,10.6660929108,-1.0,0.27,54969.0
2003-03-01,3531186.800561042,1858768.0650612,1.1029023758333334,3062100.72560035,3201722.0,1.39,3.86,1.59,0.09073265,0.777,0.687,0.491,3.84,6172460.00795063,10.6660929108,-1.0,0.3,53847.0
2003-04-01,3531186.800561042,1858768.0650612,1.1029023758333334,3062100.72560035,3201722.0,1.38,5.13,1.66,0.092749,0.777,0.687,0.491,3.95,6172460.00795063,10.6660929108,87014.0,0.3,50375.0
2003-05-01,3531186.800561042,1858768.0650612,1.1029023758333334,3062100.72560035,3201722.0,0.9,6.15,0.41,0.0927578,0.777,0.687,0.491,4.06,6172460.00795063,10.6660929108,103394.0,0.3,52576.0
2003-06-01,3531186.800561042,1858768.0650612,1.1029023758333334,3062100.72560035,3201722.0,2.84,6.8,-0.67,0.09272338095,0.777,0.687,0.491,3.94,6172460.00795063,10.6660929108,22299.0,0.3,51603.0
2003-07-01,3531186.800561042,1858768.0650612,1.1029023758333334,3062100.72560035,3201722.0,1.05,6.64,-0.7,0.092025,0.777,0.687,0.491,3.6,6172460.00795063,10.6660929108,45673.0,0.3,57260.0
2003-08-01,3531186.800561042,1858768.0650612,1.1029023758333334,3062100.72560035,3201722.0,0.99,6.85,-0.2,0.08972826087,0.777,0.687,0.491,3.23,6172460.00795063,10.6660929108,101595.0,0.3,54309.0
2003-09-01,3531186.800561042,1858768.0650612,1.1029023758333334,3062100.72560035,3201722.0,1.44,7.22,0.62,0.083783,0.777,0.687,0.491,3.17,6172460.00795063,10.6660929108,34241.0,0.3,56559.0
2003-10-01,3531186.800561042,1858768.0650612,1.1029023758333334,3062100.72560035,3201722.0,0.22,8.05,1.05,0.07573604545,0.777,0.687,0.491,2.7,6172460.00795063,10.6660929108,207152.0,0.3,55945.0
2003-11-01,3531186.800561042,1858768.0650612,1.1029023758333334,3062100.72560035,3201722.0,0.65,8.37,0.44,0.07083917391,0.777,0.687,0.491,2.65,6172460.00795063,10.6660929108,135002.0,0.3,51371.0
2003-12-01,3531186.800561042,1858768.0650612,1.1029023758333334,3062100.72560035,3201722.0,1.04,8.74,0.48,0.0667516,0.777,0.687,0.491,2.36,6172460.00795063,10.6660929108,22293.0,0.3,47913.0
2004-01-01,3550957.9007625417,2132561.1935885497,1.092528811366667,1961944.45153256,3250219.0,0.16,9.3,0.6,0.062015,0.777,0.687,0.491,1.57,6172460.00795063,10.3107095834,443012.0,0.3,48646.0
2004-02-01,3550957.9007625417,2132561.1935885497,1.092528811366667,1961944.45153256,3250219.0,0.33,0.76,0.8,0.0599982381,0.777,0.687,0.491,1.43,6261937.06181048,10.3107095834,-1.0,0.3,43597.0
2004-03-01,3550957.9007625417,2132561.1935885497,1.092528811366667,1961944.45153256,3250219.0,1.0,1.37,1.08,0.05993777778,0.777,0.687,0.491,1.27,6261937.06181048,10.3107095834,-1.0,0.3,56331.0
2004-04-01,3550957.9007625417,2132561.1935885497,1.092528811366667,1961944.45153256,3250219.0,1.16,1.85,0.93,0.05956991304,0.777,0.687,0.491,1.24,6261937.06181048,10.3107095834,74701.0,0.3,48488.0
2004-05-01,3550957.9007625417,2132561.1935885497,1.092528811366667,1961944.45153256,3250219.0,0.59,2.23,1.15,0.0587633,0.777,0.687,0.491,1.21,6261937.06181048,10.3107095834,96094.0,0.3,52856.0
2004-06-01,3550957.9007625417,2132561.1935885497,1.092528811366667,1961944.45153256,3250219.0,1.83,2.75,1.46,0.0581277619,0.777,0.687,0.491,1.35,6261937.06181048,10.3107095834,26358.0,0.3,53379.0
2004-07-01,3550957.9007625417,2132561.1935885497,1.092528811366667,1961944.45153256,3250219.0,0.7,3.48,1.29,0.05822585714,0.777,0.687,0.491,1.59,6261937.06181048,10.3107095834,48619.0,0.304,55198.0
2004-08-01,3550957.9007625417,2132561.1935885497,1.092528811366667,1961944.45153256,3250219.0,1.12,4.42,1.14,0.05813868182,0.777,0.687,0.491,1.72,6261937.06181048,10.3107095834,94415.0,0.304,59589.0
2004-09-01,3550957.9007625417,2132561.1935885497,1.092528811366667,1961944.45153256,3250219.0,0.81,5.14,1.31,0.05843936364,0.777,0.687,0.491,1.83,6261937.06181048,10.3107095834,33650.0,0.304,59411.0
2004-10-01,3550957.9007625417,2132561.1935885497,1.092528811366667,1961944.45153256,3250219.0,0.58,5.49,0.48,0.05923480952,0.777,0.687,0.491,1.87,6261937.06181048,10.3107095834,208058.0,0.304,53873.0
2004-11-01,3550957.9007625417,2132561.1935885497,1.092528811366667,1961944.45153256,3250219.0,1.19,5.95,0.53,0.06031435,0.777,0.687,0.491,1.76,6261937.06181048,10.3107095834,120573.0,0.304,54406.0
2004-12-01,3550957.9007625417,2132561.1935885497,1.092528811366667,1961944.45153256,3250219.0,0.71,6.68,0.82,0.0621806,0.777,0.687,0.491,1.71,6261937.06181048,10.3107095834,16814.0,0.304,50885.0
2005-01-01,4074753.881563433,2636834.944555217,1.2156099961,2190836.0178475,3352024.0,0.51,7.6,0.52,0.06401773913,0.777,0.687,0.491,1.74,6261937.06181048,8.0957206393,471295.0,0.304,56490.0
2005-02-01,4074753.881563433,2636834.944555217,1.2156099961,2190836.0178475,3352024.0,0.75,0.58,0.33,0.0654687619,0.777,0.687,0.491,1.57,6344077.42160595,8.0957206393,-1.0,0.304,53578.0
2005-03-01,4074753.881563433,2636834.944555217,1.2156099961,2190836.0178475,3352024.0,0.44,1.17,0.4,0.06729072222,0.777,0.687,0.491,1.49,6344077.42160595,8.0957206393,-1.0,0.304,60481.0
2005-04-01,4074753.881563433,2636834.944555217,1.2156099961,2190836.0178475,3352024.0,0.67,1.79,0.99,0.068961,0.777,0.687,0.491,1.37,6344077.42160595,8.0957206393,104301.0,0.304,64833.0
2005-05-01,4074753.881563433,2636834.944555217,1.2156099961,2190836.0178475,3352024.0,0.72,2.68,0.51,0.07010755,0.777,0.687,0.491,1.37,6344077.42160595,8.0957206393,112806.0,0.3034,64063.0
2005-06-01,4074753.881563433,2636834.944555217,1.2156099961,2190836.0178475,3352024.0,2.09,3.18,-0.25,0.07106719048,0.777,0.687,0.491,1.18,6344077.42160595,8.0957206393,25760.0,0.293,66518.0
2005-07-01,4074753.881563433,2636834.944555217,1.2156099961,2190836.0178475,3352024.0,0.76,3.16,-0.45,0.071533,0.777,0.687,0.491,0.95,6344077.42160595,8.0957206393,56628.0,0.263,65453.0
2005-08-01,4074753.881563433,2636834.944555217,1.2156099961,2190836.0178475,3352024.0,0.11,3.42,-0.4,0.07145590476,0.777,0.687,0.491,0.76,6344077.42160595,8.0957206393,90228.0,0.293,76604.0
2005-09-01,4074753.881563433,2636834.944555217,1.2156099961,2190836.0178475,3352024.0,0.02,3.59,-0.79,0.07154213043,0.777,0.687,0.491,0.55,6344077.42160595,8.0957206393,37417.0,0.2298,68541.0
2005-10-01,4074753.881563433,2636834.944555217,1.2156099961,2190836.0178475,3352024.0,0.24,3.95,-0.13,0.07107052381,0.777,0.687,0.491,0.29,6344077.42160595,8.0957206393,216892.0,0.22,64374.0
2005-11-01,4074753.881563433,2636834.944555217,1.2156099961,2190836.0178475,3352024.0,0.19,4.73,0.63,0.0698922,0.777,0.687,0.491,0.25,6344077.42160595,8.0957206393,135512.0,0.22,62128.0
2005-12-01,4074753.881563433,2636834.944555217,1.2156099961,2190836.0178475,3352024.0,0.28,5.31,0.33,0.0686031,0.777,0.687,0.491,0.24,6344077.42160595,8.0957206393,12694.0,0.24,65904.0
2006-01-01,4454361.546757466,3096688.7384653087,1.3068910010416668,2164452.06928802,3408365.0,0.37,5.69,0.07,0.06651395455,0.777,0.687,0.491,0.25,6344077.42160595,10.3294229521,435158.0,0.24,62346.0
2006-02-01,4454361.546757466,3096688.7384653087,1.3068910010416668,2164452.06928802,3408365.0,0.34,0.59,0.72,0.06452986364,0.777,0.687,0.491,0.27,6428173.06422105,10.3294229521,-1.0,0.24,57632.0
2006-03-01,4454361.546757466,3096688.7384653087,1.3068910010416668,2164452.06928802,3408365.0,0.19,1.0,-0.06,0.06327316667,0.777,0.687,0.491,0.37,6428173.06422105,10.3294229521,-1.0,0.24,63970.0
2006-04-01,4454361.546757466,3096688.7384653087,1.3068910010416668,2164452.06928802,3408365.0,0.2,1.44,-0.45,0.06142243478,0.777,0.687,0.491,0.29,6428173.06422105,10.3294229521,82502.0,0.24,48573.0
2006-05-01,4454361.546757466,3096688.7384653087,1.3068910010416668,2164452.06928802,3408365.0,0.36,1.65,0.02,0.05957944444,0.777,0.687,0.491,0.12,6428173.06422105,10.3294229521,112081.0,0.24,57372.0
2006-06-01,4454361.546757466,3096688.7384653087,1.3068910010416668,2164452.06928802,3408365.0,1.32,1.75,0.38,0.05789063636,0.777,0.687,0.491,0.13,6428173.06422105,10.3294229521,29170.0,0.2494,53370.0
2006-07-01,4454361.546757466,3096688.7384653087,1.3068910010416668,2164452.06928802,3408365.0,0.9,1.54,0.67,0.05608404762,0.777,0.687,0.491,0.21,6428173.06422105,10.3294229521,58790.0,0.2494,54255.0
2006-08-01,4454361.546757466,3096688.7384653087,1.3068910010416668,2164452.06928802,3408365.0,0.47,1.73,0.17,0.05540461905,0.777,0.687,0.491,0.33,6428173.06422105,10.3294229521,146310.0,0.2494,58264.0
2006-09-01,4454361.546757466,3096688.7384653087,1.3068910010416668,2164452.06928802,3408365.0,0.24,1.78,0.41,0.05429469565,0.777,0.687,0.491,0.44,6428173.06422105,10.3294229521,35533.0,0.25,54972.0
2006-10-01,4454361.546757466,3096688.7384653087,1.3068910010416668,2164452.06928802,3408365.0,0.11,2.0,0.24,0.0526018,0.777,0.687,0.491,0.6,6428173.06422105,10.3294229521,230037.0,0.25,54028.0
2006-11-01,4454361.546757466,3096688.7384653087,1.3068910010416668,2164452.06928802,3408365.0,0.21,2.33,0.81,0.05183728571,0.777,0.687,0.491,0.57,6428173.06422105,10.3294229521,127442.0,0.2494,55190.0
2006-12-01,4454361.546757466,3096688.7384653087,1.3068910010416668,2164452.06928802,3408365.0,0.23,2.65,0.57,0.0507845,0.777,0.687,0.491,0.59,6428173.06422105,10.3294229521,16172.0,0.25,53589.0
2007-01-01,4810503.130263758,3570830.367609358,1.3885991280333334,3351267.33773751,3464285.0,0.36,3.14,0.26,0.049164,0.777,0.687,0.491,0.69,6428173.06422105,7.5031061604,570634.0,0.2494,76743.0
2007-02-01,4810503.130263758,3570830.367609358,1.3885991280333334,3351267.33773751,3464285.0,0.45,0.44,0.43,0.04896572727,0.777,0.687,0.491,0.68,6529451.68540568,7.5031061604,-1.0,0.2494,67311.0
2007-03-01,4810503.130263758,3570830.367609358,1.3885991280333334,3351267.33773751,3464285.0,0.21,0.88,0.23,0.04827277778,0.777,0.687,0.491,0.6,6529451.68540568,7.5031061604,-1.0,0.25,85163.0
2007-04-01,4810503.130263758,3570830.367609358,1.3885991280333334,3351267.33773751,3464285.0,0.27,1.26,0.22,0.04758977273,0.777,0.687,0.491,0.57,6529451.68540568,7.5031061604,107113.0,0.2473,69220.0
