data,Sergipe - PIB - Per Capita,Sergipe - PIB - Preços de Mercado,Sergipe - PIB - Estadual,Sergipe - PIB - Construção Civil,Sergipe - População,Sergipe - INCC (%),Sergipe - IPCA - Variação mensal durante o Plano Real (%),Sergipe - IGP-DI,Sergipe - Taxa Selic (%),Sergipe - IDH - Longevidade,Sergipe - IDH - Renda,Sergipe - IDH - Educação,Sergipe - NFSP - Fluxo Mensal (Milhões de reais),Sergipe - Estoque liquido de capital fixo - (R$),Sergipe - Desemprego,Sergipe - Produção de Cimento (t),Sergipe - Valor,Sergipe - Consumo de Cimento (t)
2003-01-01,1467601.7634025917,772525.3417935409,0.7950004108250001,1068521.29842945,1846039.0,1.7,12.53,2.7,0.08229309524,0.678,0.596,0.343,3.46,6098524.41582601,10.9882063723,-1.0,0.31,23616.0
2003-02-01,1467601.7634025917,772525.3417935409,0.7950004108250001,1068521.29842945,1846039.0,1.51,2.25,2.17,0.08877068182,0.678,0.596,0.343,3.59,6172460.00795063,10.9882063723,-1.0,0.34,21357.0
2003-03-01,1467601.7634025917,772525.3417935409,0.7950004108250001,1068521.29842945,1846039.0,1.39,3.86,1.59,0.09073265,0.678,0.596,0.343,3.84,6172460.00795063,10.9882063723,38102.0,0.34,20059.0
2003-04-01,1467601.7634025917,772525.3417935409,0.7950004108250001,1068521.29842945,1846039.0,1.38,5.13,1.66,0.092749,0.678,0.596,0.343,3.95,6172460.00795063,10.9882063723,147437.0,0.35,19920.0
2003-05-01,1467601.7634025917,772525.3417935409,0.7950004108250001,1068521.29842945,1846039.0,0.9,6.15,0.41,0.0927578,0.678,0.596,0.343,4.06,6172460.00795063,10.9882063723,67985.0,0.35,19962.0
2003-06-01,1467601.7634025917,772525.3417935409,0.7950004108250001,1068521.29842945,1846039.0,2.84,6.8,-0.67,0.09272338095,0.678,0.596,0.343,3.94,6172460.00795063,10.9882063723,47337.0,0.35,16202.0
2003-07-01,1467601.7634025917,772525.3417935409,0.7950004108250001,1068521.29842945,1846039.0,1.05,6.64,-0.7,0.092025,0.678,0.596,0.343,3.6,6172460.00795063,10.9882063723,323295.0,0.35,20057.0
2003-08-01,1467601.7634025917,772525.3417935409,0.7950004108250001,1068521.29842945,1846039.0,0.99,6.85,-0.2,0.08972826087,0.678,0.596,0.343,3.23,6172460.00795063,10.9882063723,43894.0,0.35,19484.0
2003-09-01,1467601.7634025917,772525.3417935409,0.7950004108250001,1068521.29842945,1846039.0,1.44,7.22,0.62,0.083783,0.678,0.596,0.343,3.17,6172460.00795063,10.9882063723,30555.0,0.35,21679.0
2003-10-01,1467601.7634025917,772525.3417935409,0.7950004108250001,1068521.29842945,1846039.0,0.22,8.05,1.05,0.07573604545,0.678,0.596,0.343,2.7,6172460.00795063,10.9882063723,145214.0,0.35,20556.0
2003-11-01,1467601.7634025917,772525.3417935409,0.7950004108250001,1068521.29842945,1846039.0,0.65,8.37,0.44,0.07083917391,0.678,0.596,0.343,2.65,6172460.00795063,10.9882063723,-1.0,0.35,19390.0
2003-12-01,1467601.7634025917,772525.3417935409,0.7950004108250001,1068521.29842945,1846039.0,1.04,8.74,0.48,0.0667516,0.678,0.596,0.343,2.36,6172460.00795063,10.9882063723,153855.0,0.36,23029.0
2004-01-01,1465006.41980925,879823.3959834917,0.7814980584333333,734226.229386566,1874613.0,0.16,9.3,0.6,0.062015,0.678,0.596,0.343,1.57,6172460.00795063,10.126809694,-1.0,0.36,19642.0
2004-02-01,1465006.41980925,879823.3959834917,0.7814980584333333,734226.229386566,1874613.0,0.33,0.76,0.8,0.0599982381,0.678,0.596,0.343,1.43,6261937.06181048,10.126809694,-1.0,0.37,17778.0
2004-03-01,1465006.41980925,879823.3959834917,0.7814980584333333,734226.229386566,1874613.0,1.0,1.37,1.08,0.05993777778,0.678,0.596,0.343,1.27,6261937.06181048,10.126809694,39627.0,0.37,21180.0
2004-04-01,1465006.41980925,879823.3959834917,0.7814980584333333,734226.229386566,1874613.0,1.16,1.85,0.93,0.05956991304,0.678,0.596,0.343,1.24,6261937.06181048,10.126809694,207328.0,0.37,18824.0
2004-05-01,1465006.41980925,879823.3959834917,0.7814980584333333,734226.229386566,1874613.0,0.59,2.23,1.15,0.0587633,0.678,0.596,0.343,1.21,6261937.06181048,10.126809694,70609.0,0.37,16535.0
2004-06-01,1465006.41980925,879823.3959834917,0.7814980584333333,734226.229386566,1874613.0,1.83,2.75,1.46,0.0581277619,0.678,0.596,0.343,1.35,6261937.06181048,10.126809694,49821.0,0.37,16196.0
2004-07-01,1465006.41980925,879823.3959834917,0.7814980584333333,734226.229386566,1874613.0,0.7,3.48,1.29,0.05822585714,0.678,0.596,0.343,1.59,6261937.06181048,10.126809694,321137.0,0.37,17425.0
2004-08-01,1465006.41980925,879823.3959834917,0.7814980584333333,734226.229386566,1874613.0,1.12,4.42,1.14,0.05813868182,0.678,0.596,0.343,1.72,6261937.06181048,10.126809694,53769.0,0.37,17576.0
2004-09-01,1465006.41980925,879823.3959834917,0.7814980584333333,734226.229386566,1874613.0,0.81,5.14,1.31,0.05843936364,0.678,0.596,0.343,1.83,6261937.06181048,10.126809694,35080.0,0.37,19227.0
