Previsto (mil ton.),2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
Acre,9.965322,9.401869,9.238652,10.371523,11.178068,11.490921,11.564381,11.779588,12.063978,11.852197,11.622442,11.164636
Alagoas,28.022175,29.108173,28.738781,28.355597,27.497522,27.625402,28.393085,29.104832,34.390011,34.292507,33.724266,32.954849
Amapá,10.510574,9.31443,9.245779,9.422216,10.129442,11.195783,12.041863,13.221583,13.966028,15.351657,16.605755,16.415886
Amazonas,37.4272,34.934746,34.576851,34.946239,35.786209,36.851616,39.121929,39.661758,42.883011,41.521587,44.452454,40.099438
Bahia,257.158142,237.604614,248.910767,251.026566,249.647003,245.846512,259.318573,262.794128,266.018494,272.64856,257.402588,260.614014
Ceara,169.419113,141.289215,138.988541,139.961945,156.533051,172.032776,184.64621,190.442337,197.386566,196.345184,189.316956,191.80043
Distrito Federal,43.084301,41.249916,42.884674,46.26255,45.242527,45.663242,50.629784,54.026325,50.901031,51.563313,49.80719,50.733238
Espirito Santo,96.071182,95.852623,99.670052,104.050865,103.464622,103.441696,107.926926,109.703773,110.681595,109.632301,104.926414,104.39402
Goiais,163.526047,162.339279,174.263779,193.623032,186.039871,180.510986,189.421173,202.77179,199.535126,204.290863,194.699829,198.584854
Maranhão,75.067528,70.113174,74.844116,78.589615,81.817757,85.86702,89.978531,94.58802,93.508057,96.298309,98.425041,99.141708
Mato Grosso,94.699791,91.154739,106.052467,118.613304,128.249756,129.749023,132.710281,141.663086,142.525238,140.0242,132.943527,124.409134
Mato Grosso do Sul,68.539627,68.837349,73.346062,77.208817,78.196304,80.731522,83.805954,86.698036,82.12574,82.830353,76.579071,78.390541
Minas Gerais,456.753235,456.805695,456.745636,457.212494,473.716736,488.630402,487.130066,490.324768,487.736877,486.193512,485.659607,486.026947
Pará,121.488892,112.802895,125.201309,142.872574,157.013474,167.202347,171.416794,186.311661,191.303833,192.931458,195.586624,195.662888
Paraíba,59.719456,60.067184,60.718204,60.07098,58.257771,59.474415,63.188198,63.655689,63.760685,62.421566,58.01141,59.072662
Paraná,310.636871,301.712799,329.107544,326.150177,329.591614,334.534851,334.659332,357.870056,336.195007,334.574982,317.238342,327.819397
Pernambuco,139.066666,136.061981,137.859283,139.083984,134.461166,135.320023,142.819092,147.683838,147.287872,147.50679,142.134308,141.929291
Piauí,56.605152,55.091358,58.500526,62.772682,65.887535,68.084702,70.817726,72.645645,74.415054,73.905334,73.619431,73.171181
Rio Grande do Sul,223.335358,221.227386,223.032715,223.580002,225.722076,228.457397,229.463013,234.529587,222.066803,220.488037,218.93779,225.467575
Rio de Janeiro,210.276398,205.357574,225.304596,232.054535,228.093796,235.493896,232.633011,233.230667,237.644073,238.19902,232.606598,232.746872
Rio Grande do Norte,40.917717,41.125336,41.435265,41.650776,40.362751,39.764565,40.998714,43.791176,43.352646,42.932224,42.060177,41.712879
Rondônia,31.292349,31.023626,31.811789,34.034172,36.274406,37.147503,38.487091,37.820686,39.871845,38.769894,38.424015,38.052925
Roraima,7.210617,7.299311,7.399745,7.549856,7.402041,7.22883,7.883653,8.545144,8.637756,9.11533,9.01393,8.641491
Santa Catarina,232.906769,233.068436,250.586151,246.223236,240.45224,242.65564,238.102951,241.403168,240.327606,239.733185,239.061691,241.626465
São Paulo,913.917786,915.398438,920.352661,920.492981,912.606445,911.046082,909.039856,909.942871,913.238281,913.202148,911.452148,914.825012
Sergipe,31.484152,31.841486,30.861835,30.917688,28.951004,28.546436,30.94603,30.275249,30.911663,32.735119,33.116844,32.900726
Tocantins,37.540215,35.748211,37.017727,39.27375,42.692589,45.813046,49.416676,50.277225,53.363068,55.318928,53.728966,51.490875
