data,Bahia - PIB - Per Capita,Bahia - PIB - Preços de Mercado,Bahia - PIB - Estadual,Bahia - PIB - Construção Civil,Bahia - População,Bahia - INCC (%),Bahia - IPCA - Variação mensal durante o Plano Real (%),Bahia - IGP-DI,Bahia - Taxa Selic (%),Bahia - IDH - Longevidade,Bahia - IDH - Renda,Bahia - IDH - Educação,Bahia - NFSP - Fluxo Mensal (Milhões de reais),Bahia - Estoque liquido de capital fixo - (R$),Bahia - Desemprego,Bahia - Produção de Cimento (t),Bahia - Valor,Bahia - Consumo de Cimento (t)
2003-01-01,7990762.016885433,4206226.997147483,0.599762430925,7050329.77092363,13323212.0,1.7,12.53,2.7,0.08229309524,0.68,0.594,0.332,3.46,6098524.41582601,10.7354322161,-1.0,0.31,151297.0
2003-02-01,7990762.016885433,4206226.997147483,0.599762430925,7050329.77092363,13323212.0,1.51,2.25,2.17,0.08877068182,0.68,0.594,0.332,3.59,6172460.00795063,10.7354322161,-1.0,0.32,138707.0
2003-03-01,7990762.016885433,4206226.997147483,0.599762430925,7050329.77092363,13323212.0,1.39,3.86,1.59,0.09073265,0.68,0.594,0.332,3.84,6172460.00795063,10.7354322161,-1.0,0.33,135009.0
2003-04-01,7990762.016885433,4206226.997147483,0.599762430925,7050329.77092363,13323212.0,1.38,5.13,1.66,0.092749,0.68,0.594,0.332,3.95,6172460.00795063,10.7354322161,40182.0,0.34,126554.0
2003-05-01,7990762.016885433,4206226.997147483,0.599762430925,7050329.77092363,13323212.0,0.9,6.15,0.41,0.0927578,0.68,0.594,0.332,4.06,6172460.00795063,10.7354322161,105642.0,0.34,137331.0
2003-06-01,7990762.016885433,4206226.997147483,0.599762430925,7050329.77092363,13323212.0,2.84,6.8,-0.67,0.09272338095,0.68,0.594,0.332,3.94,6172460.00795063,10.7354322161,19965.0,0.34,118680.0
2003-07-01,7990762.016885433,4206226.997147483,0.599762430925,7050329.77092363,13323212.0,1.05,6.64,-0.7,0.092025,0.68,0.594,0.332,3.6,6172460.00795063,10.7354322161,65106.0,0.34,131291.0
2003-08-01,7990762.016885433,4206226.997147483,0.599762430925,7050329.77092363,13323212.0,0.99,6.85,-0.2,0.08972826087,0.68,0.594,0.332,3.23,6172460.00795063,10.7354322161,340753.0,0.34,131406.0
2003-09-01,7990762.016885433,4206226.997147483,0.599762430925,7050329.77092363,13323212.0,1.44,7.22,0.62,0.083783,0.68,0.594,0.332,3.17,6172460.00795063,10.7354322161,33598.0,0.35,147495.0
2003-10-01,7990762.016885433,4206226.997147483,0.599762430925,7050329.77092363,13323212.0,0.22,8.05,1.05,0.07573604545,0.68,0.594,0.332,2.7,6172460.00795063,10.7354322161,224502.0,0.35,154944.0
