data,Mato_Grosso - PIB - Per Capita,Mato_Grosso - PIB - Preços de Mercado,Mato_Grosso - PIB - Estadual,Mato_Grosso - PIB - Construção Civil,Mato_Grosso - População,Mato_Grosso - INCC (%),Mato_Grosso - IPCA - Variação mensal durante o Plano Real (%),Mato_Grosso - IGP-DI,Mato_Grosso - Taxa Selic (%),Mato_Grosso - IDH - Longevidade,Mato_Grosso - IDH - Renda,Mato_Grosso - IDH - Educação,Mato_Grosso - NFSP - Fluxo Mensal (Milhões de reais),Mato_Grosso - Estoque liquido de capital fixo - (R$),Mato_Grosso - Desemprego,Mato_Grosso - Produção de Cimento (t),Mato_Grosso - Valor,Mato_Grosso - Consumo de Cimento (t)
2003-01-01,2646115.979861475,1392878.983075375,1.015884099025,2281314.52665068,2604742.0,1.7,12.53,2.7,0.08229309524,0.74,0.689,0.426,3.46,6098524.41582601,7.3542245385,-1.0,0.36,47470.0
2003-02-01,2646115.979861475,1392878.983075375,1.015884099025,2281314.52665068,2604742.0,1.51,2.25,2.17,0.08877068182,0.74,0.689,0.426,3.59,6172460.00795063,7.3542245385,33149.0,0.38,45387.0
2003-03-01,2646115.979861475,1392878.983075375,1.015884099025,2281314.52665068,2604742.0,1.39,3.86,1.59,0.09073265,0.74,0.689,0.426,3.84,6172460.00795063,7.3542245385,47683.0,0.38,44907.0
2003-04-01,2646115.979861475,1392878.983075375,1.015884099025,2281314.52665068,2604742.0,1.38,5.13,1.66,0.092749,0.74,0.689,0.426,3.95,6172460.00795063,7.3542245385,122799.0,0.38,45467.0
2003-05-01,2646115.979861475,1392878.983075375,1.015884099025,2281314.52665068,2604742.0,0.9,6.15,0.41,0.0927578,0.74,0.689,0.426,4.06,6172460.00795063,7.3542245385,103947.0,0.38,56246.0
2003-06-01,2646115.979861475,1392878.983075375,1.015884099025,2281314.52665068,2604742.0,2.84,6.8,-0.67,0.09272338095,0.74,0.689,0.426,3.94,6172460.00795063,7.3542245385,42565.0,0.38,56126.0
2003-07-01,2646115.979861475,1392878.983075375,1.015884099025,2281314.52665068,2604742.0,1.05,6.64,-0.7,0.092025,0.74,0.689,0.426,3.6,6172460.00795063,7.3542245385,696419.0,0.38,66358.0
2003-08-01,2646115.979861475,1392878.983075375,1.015884099025,2281314.52665068,2604742.0,0.99,6.85,-0.2,0.08972826087,0.74,0.689,0.426,3.23,6172460.00795063,7.3542245385,114800.0,0.38,63712.0
2003-09-01,2646115.979861475,1392878.983075375,1.015884099025,2281314.52665068,2604742.0,1.44,7.22,0.62,0.083783,0.74,0.689,0.426,3.17,6172460.00795063,7.3542245385,30166.0,0.38,66987.0
2003-10-01,2646115.979861475,1392878.983075375,1.015884099025,2281314.52665068,2604742.0,0.22,8.05,1.05,0.07573604545,0.74,0.689,0.426,2.7,6172460.00795063,7.3542245385,29969.0,0.38,67214.0
2003-11-01,2646115.979861475,1392878.983075375,1.015884099025,2281314.52665068,2604742.0,0.65,8.37,0.44,0.07083917391,0.74,0.689,0.426,2.65,6172460.00795063,7.3542245385,-1.0,0.38,57793.0
2003-12-01,2646115.979861475,1392878.983075375,1.015884099025,2281314.52665068,2604742.0,1.04,8.74,0.48,0.0667516,0.74,0.689,0.426,2.36,6172460.00795063,7.3542245385,23766.0,0.37,50908.0
2004-01-01,3251827.573337659,1952915.6596455085,1.2264868729666667,1712981.44820377,2651335.0,0.16,9.3,0.6,0.062015,0.74,0.689,0.426,1.57,6172460.00795063,7.4906163467,469070.0,0.37,51972.0
2004-02-01,3251827.573337659,1952915.6596455085,1.2264868729666667,1712981.44820377,2651335.0,0.33,0.76,0.8,0.0599982381,0.74,0.689,0.426,1.43,6261937.06181048,7.4906163467,26577.0,0.34,40729.0
2004-03-01,3251827.573337659,1952915.6596455085,1.2264868729666667,1712981.44820377,2651335.0,1.0,1.37,1.08,0.05993777778,0.74,0.689,0.426,1.27,6261937.06181048,7.4906163467,51287.0,0.34,54446.0
2004-04-01,3251827.573337659,1952915.6596455085,1.2264868729666667,1712981.44820377,2651335.0,1.16,1.85,0.93,0.05956991304,0.74,0.689,0.426,1.24,6261937.06181048,7.4906163467,119679.0,0.32,51788.0
2004-05-01,3251827.573337659,1952915.6596455085,1.2264868729666667,1712981.44820377,2651335.0,0.59,2.23,1.15,0.0587633,0.74,0.689,0.426,1.21,6261937.06181048,7.4906163467,100661.0,0.32,58702.0
2004-06-01,3251827.573337659,1952915.6596455085,1.2264868729666667,1712981.44820377,2651335.0,1.83,2.75,1.46,0.0581277619,0.74,0.689,0.426,1.35,6261937.06181048,7.4906163467,42924.0,0.32,63281.0
2004-07-01,3251827.573337659,1952915.6596455085,1.2264868729666667,1712981.44820377,2651335.0,0.7,3.48,1.29,0.05822585714,0.74,0.689,0.426,1.59,6261937.06181048,7.4906163467,579130.0,0.32,69737.0
2004-08-01,3251827.573337659,1952915.6596455085,1.2264868729666667,1712981.44820377,2651335.0,1.12,4.42,1.14,0.05813868182,0.74,0.689,0.426,1.72,6261937.06181048,7.4906163467,119097.0,0.3,69819.0
2004-09-01,3251827.573337659,1952915.6596455085,1.2264868729666667,1712981.44820377,2651335.0,0.81,5.14,1.31,0.05843936364,0.74,0.689,0.426,1.83,6261937.06181048,7.4906163467,43772.0,0.31,69265.0
2004-10-01,3251827.573337659,1952915.6596455085,1.2264868729666667,1712981.44820377,2651335.0,0.58,5.49,0.48,0.05923480952,0.74,0.689,0.426,1.87,6261937.06181048,7.4906163467,29477.0,0.31,64352.0
2004-11-01,3251827.573337659,1952915.6596455085,1.2264868729666667,1712981.44820377,2651335.0,1.19,5.95,0.53,0.06031435,0.74,0.689,0.426,1.76,6261937.06181048,7.4906163467,-1.0,0.3,66547.0
2004-12-01,3251827.573337659,1952915.6596455085,1.2264868729666667,1712981.44820377,2651335.0,0.71,6.68,0.82,0.0621806,0.74,0.689,0.426,1.71,6261937.06181048,7.4906163467,17423.0,0.3,56044.0
2005-01-01,3770803.2181750746,2440143.86726845,1.3716276217416663,2202455.05111894,2749145.0,0.51,7.6,0.52,0.06401773913,0.74,0.689,0.426,1.74,6261937.06181048,6.2828480898,406056.0,0.3,55998.0
2005-02-01,3770803.2181750746,2440143.86726845,1.3716276217416663,2202455.05111894,2749145.0,0.75,0.58,0.33,0.0654687619,0.74,0.689,0.426,1.57,6344077.42160595,6.2828480898,36696.0,0.29,49346.0
